time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/value_loss,train/clip_range,train/entropy_loss,train/approx_kl,train/loss,train/std,train/n_updates,eval/mean_ep_length,eval/mean_reward
7,2048,257,55.270270270270274,1,270.14403764864863,,,,,,,,,,,,,
17,4096,233,58.1,2,284.1211568714286,0.224951171875,-0.052711410989286375,0.0003,-0.006301760673522949,3750.9521606445314,0.2,-28.383294290304185,0.020060094,1592.3739013671875,1.0000931024551392,10,,
,5000,,,,,0.139453125,-0.04380121662397869,0.0003,0.002383410930633545,3342.554239654541,0.2,-28.35534747838974,0.01588129,1517.0152587890625,0.9982097744941711,20,345.2,1729.3502457536524
45,6144,136,58.05,3,282.89533954,,,,,,,,,,,,,
54,8192,150,58.68,4,286.4360906,0.168115234375,-0.04660156681784429,0.0003,-0.002469778060913086,3053.941753387451,0.2,-28.338052266836165,0.017971907,1318.6829833984375,0.9977392554283142,30,,
,10000,,,,,0.19541015625,-0.05265303854830563,0.0003,0.002293527126312256,3029.4838554382322,0.2,-28.383559906482695,0.020275328,1352.290283203125,1.0015243291854858,40,96.2,486.97453575991096
68,10240,148,58.16,5,283.84765445000005,,,,,,,,,,,,,
78,12288,156,58.66,6,287.47574258000003,0.210400390625,-0.0551669369393494,0.0003,0.0007153153419494629,2947.8347244262695,0.2,-28.421606141328812,0.021106845,1405.4410400390625,1.0021668672561646,50,,
87,14336,163,59.21,7,290.05850612,0.240771484375,-0.05692263142846059,0.0003,0.0005952119827270508,2749.5441024780275,0.2,-28.431218326091766,0.022148214,1296.0994873046875,1.003135085105896,60,,
,15000,,,,,0.231640625,-0.05558923703501932,0.0003,0.0004531741142272949,2598.0856178283693,0.2,-28.455287212133406,0.022220854,1152.56982421875,1.004482626914978,70,71.7,366.2038609653711
101,16384,161,59.18,8,290.89389480000006,,,,,,,,,,,,,
110,18432,166,58.83,9,288.91703411000003,0.240625,-0.057915705675259235,0.0003,0.00023740530014038086,2757.51535949707,0.2,-28.446887451410294,0.021859048,1307.7904052734375,1.0026615858078003,80,,
,20000,,,,,0.26806640625,-0.06149650118022691,0.0003,0.00011938810348510742,2452.9722324371337,0.2,-28.41919939517975,0.025113266,1260.168212890625,1.0015627145767212,90,51.95,264.66243525906464
122,20480,167,61.36,10,300.18901113,,,,,,,,,,,,,
131,22528,171,60.4,11,293.88543071000004,0.28642578125,-0.06189085671794601,0.0003,8.189678192138672e-05,2457.8129093170164,0.2,-28.388102722167968,0.025674794,1009.6729736328125,1.0002878904342651,100,,
140,24576,174,60.46,12,294.48633071,0.28701171875,-0.06375505574978887,0.0003,0.0001251697540283203,2341.159059906006,0.2,-28.37053034901619,0.024513952,910.0525512695312,0.9998533129692078,110,,
,25000,,,,,0.286474609375,-0.06490466855175328,0.0003,0.0019410252571105957,2274.319975280762,0.2,-28.371505403518675,0.023831967,940.5255737304688,0.999787449836731,120,51.5,247.54562475668791
152,26624,174,61.05,13,298.4988129099999,,,,,,,,,,,,,
161,28672,177,61.42,14,300.80051653000004,0.270458984375,-0.06376543168444186,0.0003,0.03065568208694458,2392.392791748047,0.2,-28.379255360364915,0.022858892,1013.3902587890625,1.0003632307052612,130,,
,30000,,,,,0.246875,-0.05932622035907116,0.0003,0.11781221628189087,2125.5179389953614,0.2,-28.394879299402238,0.022548974,1070.08203125,1.0020235776901245,140,53.2,270.0089507516474
174,30720,175,64.62,15,317.50898134,,,,,,,,,,,,,
184,32768,177,65.14,16,320.40598536,0.2939453125,-0.06640866668021772,0.0003,0.0970953106880188,2394.4025493621825,0.2,-28.384013044834138,0.024768839,1309.62646484375,0.9998540878295898,150,,
193,34816,179,66.61,17,327.71926464999996,0.245361328125,-0.05906641635519918,0.0003,0.22118031978607178,2175.074899673462,0.2,-28.39747533798218,0.022041813,934.083984375,1.0019387006759644,160,,
,35000,,,,,0.254052734375,-0.06192996062454768,0.0003,0.3032674193382263,2055.5710624694825,0.2,-28.40183706879616,0.022626352,898.8314819335938,1.0009821653366089,170,53.9,265.63989934111015
206,36864,178,68.05,18,333.43520635,,,,,,,,,,,,,
215,38912,180,64.85,19,317.44812875,0.265087890625,-0.06046040107612498,0.0003,0.2782233953475952,2020.7470375061034,0.2,-28.378738391399384,0.022849895,1056.717041015625,1.0003399848937988,180,,
,40000,,,,,0.260791015625,-0.06124709511059336,0.0003,0.1804923415184021,2191.429210662842,0.2,-28.372511386871338,0.024176434,1012.9989624023438,0.9993214011192322,190,81.45,409.6599328270648
229,40960,178,68.67,20,335.13792903,,,,,,,,,,,,,
237,43008,180,69.15,21,338.21385895,0.225244140625,-0.055261928608524614,0.0003,0.40651142597198486,2036.6624561309814,0.2,-28.340124082565307,0.02166916,980.0580444335938,0.9978696703910828,200,,
,45000,,,,,0.26083984375,-0.061489253951003776,0.0003,0.3713728189468384,2037.5395114898681,0.2,-28.30165548324585,0.022665396,821.248046875,0.9962568283081055,210,83.95,427.4282728433609
249,45056,180,71.81,22,352.33600633000003,,,,,,,,,,,,,
258,47104,182,73.06,23,357.10005692,0.234130859375,-0.058151613501831886,0.0003,0.4173164367675781,2024.3332206726075,0.2,-28.280779045820235,0.02255293,1017.3585815429688,0.9950770735740662,220,,
267,49152,183,73.18,24,360.06502079999996,0.244189453125,-0.058157368355023206,0.0003,0.427148699760437,1895.474923324585,0.2,-28.26903905272484,0.023016527,1004.0933837890625,0.9951721429824829,230,,
,50000,,,,,0.276513671875,-0.06117573987576179,0.0003,0.26859062910079956,2330.7499450683595,0.2,-28.240827614068984,0.025358748,1211.1566162109375,0.992853581905365,240,51.7,265.7606133380905
279,51200,183,74.2,25,365.0753700599999,,,,,,,,,,,,,
289,53248,184,77.82,26,382.66843789000006,0.24453125,-0.058888942177873105,0.0003,0.4273643493652344,2044.4246677398683,0.2,-28.2234726190567,0.022231348,866.0399169921875,0.9926323294639587,250,,
,55000,,,,,0.24775390625,-0.05815436606644653,0.0003,0.4653647541999817,2138.526777267456,0.2,-28.217250269651412,0.022536397,731.1378173828125,0.9926436543464661,260,40.7,209.07582566291094
300,55296,184,80.87,27,398.94695565,,,,,,,,,,,,,
309,57344,185,79.51,28,392.05288339,0.2361328125,-0.057366507171536796,0.0003,0.3270121216773987,2217.557513046265,0.2,-28.22481216788292,0.02013046,946.0635375976562,0.9930512309074402,270,,
317,59392,186,81.16,29,401.8321833299999,0.158056640625,-0.05124504405830521,0.0003,0.3024391531944275,2119.5340312957765,0.2,-28.210661578178406,0.016144173,1118.2738037109375,0.9920574426651001,280,,
,60000,,,,,0.2142578125,-0.055997331900289285,0.0003,0.38291269540786743,1957.894232559204,0.2,-28.178930854797365,0.020243067,1058.431640625,0.9902995228767395,290,44.8,232.4282985702157
328,61440,187,79.59,30,395.282555,,,,,,,,,,,,,
338,63488,187,77.35,31,385.57166796999996,0.214990234375,-0.05650534557062201,0.0003,0.4559028148651123,1848.5813152313233,0.2,-28.15166597366333,0.020271473,1073.6839599609375,0.9889310002326965,300,,
,65000,,,,,0.16103515625,-0.049893455230630934,0.0003,0.3930278420448303,1929.985011291504,0.2,-28.131513947248457,0.016489089,888.0840454101562,0.9881792068481445,310,62.55,330.4756660878658
350,65536,186,81.75,32,406.74801319,,,,,,,,,,,,,
360,67584,187,80.94,33,402.5207752799999,0.202587890625,-0.05539244841202162,0.0003,0.5764683783054352,1559.4487617492675,0.2,-28.14128906130791,0.020474536,657.7119750976562,0.9898359179496765,320,,
369,69632,188,79.32,34,393.87027002,0.192626953125,-0.052180891751777383,0.0003,0.5433138012886047,1551.5796772003173,0.2,-28.1555557012558,0.01906421,545.824951171875,0.9899255633354187,330,,
,70000,,,,,0.22470703125,-0.055173912362079136,0.0003,0.5936754941940308,1449.6895244598388,0.2,-28.163648200035095,0.02101731,750.4974365234375,0.99058598279953,340,75.4,390.6488385204226
383,71680,186,78.57,35,390.45856163999997,,,,,,,,,,,,,
393,73728,187,77.77,36,386.59861921000004,0.1978515625,-0.053075276856543493,0.0003,0.6173918545246124,1259.4108060836793,0.2,-28.181014055013655,0.0190208,481.0662536621094,0.9914452433586121,350,,
,75000,,,,,0.207080078125,-0.05396048086113296,0.0003,0.7235837280750275,1254.8320217132568,0.2,-28.194642901420593,0.019319903,393.9718017578125,0.9919463992118835,360,75.45,392.4128434047103
406,75776,186,81.53,37,405.49830719000005,,,,,,,,,,,,,
416,77824,186,83.23,38,413.0929561799999,0.2484375,-0.06091222471732181,0.0003,0.7076510787010193,1073.2499572753907,0.2,-28.206625586748125,0.024271827,684.5050048828125,0.9930198788642883,370,,
425,79872,187,89.5,39,443.04996765000004,0.24365234375,-0.05838793789444026,0.0003,0.6664807796478271,1310.1424053192138,0.2,-28.205618131160737,0.022368096,637.2985229492188,0.9913954138755798,380,,
,80000,,,,,0.2236328125,-0.056375721551012246,0.0003,0.7079220712184906,1114.3063816070558,0.2,-28.211618876457216,0.02241988,435.21185302734375,0.993194580078125,390,99.3,494.2917002212256
439,81920,186,89.96,40,445.6303778000001,,,,,,,,,,,,,
449,83968,186,93.76,41,463.90675636,0.20185546875,-0.05485972191527253,0.0003,0.7059052288532257,1153.299017906189,0.2,-28.205758756399156,0.019698791,377.6596374511719,0.9917157292366028,400,,
