train/learning_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,time/fps,train/actor_loss,train/n_updates,time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0.001,4,202,50.5,166,-6.14962742545388,86,1,241.9097205,4.231180298896063,,
0.001,8,289,36.125,165,-7.508337844501842,173,1,172.261068625,1.8946121179539224,,
0.001,12,375,31.25,164,-8.542848587036133,259,2,148.81278158333336,2.5606701597571373,,
0.001,16,463,28.9375,162,-9.682906671003861,350,2,137.84227149999998,2.9910929032734463,,
0.001,20,553,27.65,160,-10.792731025002219,440,3,132.41651299999998,4.451616065068678,,
0.001,24,670,27.916666666666668,158,-12.088600667317708,547,4,133.88083279166668,5.368349882864183,,
0.001,28,790,28.214285714285715,155,-14.118741989135742,668,5,135.26602210714287,5.874691741219882,,
0.001,32,909,28.40625,154,-16.21027240753174,787,5,136.2601480625,5.336148413022359,,
0.001,36,1028,28.555555555555557,153,-18.048722675868444,907,6,137.01464730555557,5.127188559236197,,
0.001,40,1149,28.725,154,-19.621526336669923,1027,7,137.892154175,4.092845586038405,,
0.001,44,1288,29.272727272727273,155,-21.378890318029068,1163,8,140.9406353409091,4.228106074473438,,
0.001,48,1426,29.708333333333332,155,-22.79277565900017,1299,9,143.3528733958333,3.4781529682023185,,
0.001,52,1570,30.192307692307693,154,-23.965922991434734,1442,10,145.97339015384614,3.221351143386629,,
0.001,56,1713,30.589285714285715,152,-25.448936125811407,1585,11,148.16751514285716,3.2360849516732353,,
0.001,60,1858,30.966666666666665,150,-26.620599534776474,1730,12,150.23625385000003,2.614278098515102,,
0.001,64,2002,31.28125,148,-28.10383955637614,1874,13,151.901253015625,2.2494012219565254,,
0.001,68,2146,31.558823529411764,146,-28.825461738987972,2018,14,153.38791749999996,2.7513602843155733,,
0.001,72,2288,31.77777777777778,145,-30.125352965460884,2161,15,154.62424472222222,2.1112908489174314,,
0.001,76,2430,31.973684210526315,144,-31.08610845866956,2304,16,155.72955105263156,2.264917468702471,,
0.001,80,2571,32.1375,143,-32.41244865866268,2443,17,156.6302347625,2.0505703845444847,,
0.001,84,2711,32.273809523809526,143,-32.56170777713551,2583,18,157.40203428571425,1.9841154030391148,,
0.001,88,2845,32.32954545454545,142,-33.34021781472599,2722,19,157.75846610227273,2.596456690268083,,
0.001,92,2962,32.19565217391305,141,-34.606825510660805,2839,20,157.10780110869567,1.992837780714035,,
0.001,96,3081,32.09375,141,-35.048866526285806,2959,21,156.62267373958335,2.716646114985148,,
0.001,100,3195,31.95,140,-35.29374395098005,3076,22,155.94206001000003,3.4345850816794803,,
0.001,104,3312,31.1,140,-36.4069573538644,3191,23,152.00939658000001,3.852036041872842,,
0.001,108,3427,31.38,140,-37.481074469430105,3306,24,153.55704636000002,4.642174416118198,,
0.001,112,3539,31.64,140,-38.519978931971956,3420,25,154.98015829,3.0877892758165086,,
0.001,116,3654,31.91,139,-39.278046471732004,3533,26,156.43174255,5.883056163787842,,
0.001,120,3772,32.19,139,-39.77400670732771,3650,27,157.82492081999996,4.945687898567745,,
0.001,124,3885,32.15,138,-40.41034208025251,3765,27,157.74656376000002,4.255806976351245,,
0.001,128,3998,32.08,138,-40.66021646772112,3877,28,157.54038365,2.939330207450049,,
0.001,132,4114,32.05,138,-41.98352187020438,3993,29,157.53966789,3.8311235986906906,,
0.001,136,4227,31.99,138,-41.64656168619792,4106,30,157.36934552,3.3592015504837036,,
0.001,140,4344,31.95,138,-42.54381343296596,4219,31,157.28116945000002,3.751253762415477,,
0.001,144,4453,31.65,137,-43.1694461277553,4334,32,155.78093383,3.7926858195236752,,
0.001,148,4565,31.39,137,-43.175097601754324,4444,33,154.49414259000002,3.3345767480355724,,
0.001,152,4679,31.09,136,-43.38367353166853,4558,34,152.97938309,3.7437266877719333,,
0.001,156,4795,30.82,136,-44.283783721923825,4675,35,151.58003014,4.130431075249949,,
0.001,160,4908,30.5,135,-45.079430389404294,4788,36,149.95333465,3.33959698677063,,
0.001,,5000,,,-44.35462515694754,4904,,,3.265734170164381,141.13495522682788,28.7
,164,5026,30.24,131,,,38,148.67586784000002,,,
0.001,168,5142,29.96,131,-45.19892365591867,5021,39,147.3288367,2.939453334643923,,
0.001,172,5259,29.71,131,-45.74985885620117,5139,39,146.09420577000003,3.287678365049691,,
0.001,176,5372,29.42,131,-46.14565004621233,5251,40,144.61613932,3.4648658900425353,,
0.001,180,5486,29.15,131,-45.88218797956194,5367,41,143.27164411,3.307254741931784,,
0.001,184,5599,28.88,131,-45.64713999430339,5479,42,141.91370391,4.449319883187612,,
0.001,188,5709,28.64,131,-45.31519141564002,5589,43,140.68919542999998,5.090094575175533,,
0.001,192,5824,28.62,131,-46.744067328316824,5704,44,140.643261,3.647194870880672,,
0.001,196,5941,28.6,131,-47.55354952812195,5820,45,140.59299602000002,3.762594876750823,,
0.001,200,6057,28.62,131,-47.74090685163225,5935,46,140.70605501,3.2383392021573822,,
0.001,204,6170,28.58,131,-47.44396373203823,6050,47,140.50579312,4.101414952959333,,
0.001,208,6287,28.6,131,-47.27012532552083,6167,47,140.60432006000002,3.0011869245959866,,
0.001,212,6401,28.62,130,-48.04152842930385,6281,48,140.68869134,3.954291207449777,,
0.001,216,6517,28.63,130,-46.72457613263811,6395,49,140.75686608,3.234146339552743,,
0.001,220,6635,28.63,130,-47.684151785714285,6513,50,140.76933425,3.833065592009446,,
0.001,224,6753,28.68,130,-48.26221489906311,6630,51,140.967059,3.0281675900182417,,
0.001,228,6875,28.77,131,-48.85440278053284,6752,52,141.40642722,3.424492597579956,,
0.001,232,6994,28.8,131,-47.079733784993486,6874,53,141.49521909,3.300156831741333,,
0.001,236,7108,28.81,131,-49.264543093167816,6987,53,141.52550465000002,3.670273842634978,,
0.001,240,7222,28.78,132,-48.65300396510533,7101,54,141.38143352999998,3.3502850121465224,,
0.001,244,7338,28.85,132,-47.97524871826172,7218,55,141.70614397,5.993166512456433,,
0.001,248,7452,28.87,132,-48.886426289876304,7330,56,141.77967631,3.8424874831890237,,
0.001,252,7570,28.91,132,-47.9020151410784,7447,56,141.96883994,5.317274246897016,,
0.001,256,7690,28.95,132,-47.90819958278111,7569,57,142.16743885,3.309672602291765,,
0.001,260,7807,28.99,132,-47.827242234173944,7686,58,142.38059289,3.2524422082034024,,
0.001,264,7920,28.94,132,-48.578248244065506,7797,59,142.11396600999998,4.148664598111753,,
0.001,268,8034,28.92,132,-49.044812883649556,7916,60,141.94350403,5.329300112194485,,
0.001,272,8149,28.9,132,-48.63777187892369,8030,61,141.78557764000004,4.694396628273858,,
0.001,276,8262,28.9,132,-49.032830810546876,8144,62,141.77568250000002,3.1557338073335846,,
0.001,280,8375,28.89,132,-47.34536684476412,8255,63,141.70555073,4.403191045478538,,
0.001,284,8494,28.95,133,-47.29323363304138,8375,63,141.98737194,4.105989523231983,,
0.001,288,8611,29.02,133,-47.19843183244978,8489,64,142.34098679000002,4.251569518021175,,
0.001,292,8723,28.99,133,-47.81398664202009,8604,65,142.16765942,3.930576818329947,,
0.001,296,8844,29.03,133,-47.206356048583984,8723,66,142.32058931,4.378262249628703,,
0.001,300,8963,29.06,133,-47.980892998831614,8843,67,142.46802375,5.851866577352796,,
0.001,304,9080,29.1,133,-46.12123158772786,8958,68,142.65196525,3.818303420625884,,
0.001,308,9197,29.1,133,-47.83251190185547,9074,69,142.62812613,5.8415399173210405,,
0.001,312,9318,29.17,133,-46.08085250854492,9194,70,142.98168929000002,4.217421646471377,,
0.001,316,9434,29.17,133,-45.467955350875854,9314,70,142.95224019000003,3.9054509055229927,,
0.001,320,9553,29.18,133,-45.57610034942627,9430,71,142.95318591,3.7071145349933254,,
0.001,324,9671,29.18,132,-46.2575318472726,9548,72,142.98268596,4.473194854600089,,
0.001,328,9786,29.11,132,-46.9979316166469,9662,73,142.62352725,4.094069613350762,,
0.001,332,9899,29.05,132,-45.87824085780552,9780,74,142.32857018,3.8831786002431596,,
0.001,,10000,,,-45.025263105119976,9892,,,4.3139340196337015,144.56067311713704,29.5
,336,10013,29.05,130,,,76,142.34254495000002,,,
0.001,340,10129,29.07,130,-45.195990153721404,10008,77,142.42552536000002,3.8774571418762207,,
0.001,344,10251,29.13,130,-45.833897181919646,10124,78,142.74388053,6.2021737716816085,,
0.001,348,10396,29.44,130,-46.02126354641385,10268,79,144.30991484000003,6.26558119058609,,
0.001,352,10538,29.68,130,-45.33967378404405,10410,80,145.54918685,3.4732615198407855,,
0.001,356,10682,29.92,130,-45.679269891036185,10554,81,146.73817727,5.410903801789155,,
0.001,360,10825,30.18,130,-45.97973420884874,10697,83,148.05092876,3.8576189279556274,,
0.001,364,10971,30.51,130,-46.47398228115506,10844,84,149.69338062999998,4.289625260565016,,
0.001,368,11115,30.81,130,-45.43021901448568,10987,85,151.23606646,4.921677337752448,,
0.001,372,11257,31.08,129,-46.61248694525825,11130,86,152.65911232,3.939387491771153,,
0.001,376,11404,31.42,130,-46.042873806423614,11275,87,154.39931898999998,3.377083327319171,,
0.001,380,11546,31.71,129,-47.327150008257696,11419,88,155.87760788,5.342140463420323,,
0.001,384,11691,31.97,129,-47.15528700086806,11562,90,157.23484688,7.417550461632865,,
0.001,388,11835,32.24,129,-47.31662517123752,11706,91,158.62087447,3.414160524095808,,
0.001,392,11980,32.57,129,-46.432272593180336,11851,92,160.30670879000002,3.2749468286832175,,
0.001,396,12124,32.8,129,-46.72512118021647,11997,93,161.46510121,3.9245278504159717,,
0.001,400,12269,33.06,129,-47.624572330050995,12140,94,162.741419,4.32217589351866,,
0.001,404,12412,33.32,129,-47.74751853942871,12284,95,164.08322561999998,3.812981939315796,,
0.001,408,12557,33.6,129,-46.609726164076065,12429,97,165.5052716,4.142241232924992,,
0.001,412,12700,33.82,129,-47.836793687608505,12572,98,166.68187869999997,3.655761526690589,,
0.001,416,12842,34.08,129,-46.61917029486762,12714,99,167.97978446000005,3.744638648298052,,
0.001,420,12985,34.32,129,-46.61736615498861,12857,100,169.20290507,3.407917615440157,,
0.001,424,13128,34.57,129,-47.783484352959526,13000,101,170.52453942000002,4.274049798647563,,
0.001,428,13274,34.88,129,-47.70131436516257,13145,102,172.13788997999995,5.000280175890241,,
0.001,432,13417,35.18,129,-48.34107096054975,13289,103,173.66771449,4.739803239277431,,
0.001,436,13560,35.47,129,-48.21293195088705,13432,104,175.1356668,3.632520066367255,,
0.001,440,13707,35.78,129,-47.66145239935981,13579,105,176.68976904999997,3.461073363149488,,
0.001,444,13851,36.0,129,-48.27548705206977,13722,106,177.80773978999997,4.1790575120184155,,
0.001,448,13996,36.0,129,-48.25517929924859,13868,107,177.81045020999997,3.3513988885614605,,
0.001,452,14141,36.03,129,-48.085116704305015,14012,109,177.95178948,4.548147764470842,,
0.001,456,14286,36.04,129,-48.27741940816244,14158,110,178.01477463999998,3.8475038409233093,,
0.001,460,14430,36.05,129,-49.365593180936926,14301,111,178.0103907,3.1483743531363353,,
0.001,464,14577,36.06,129,-48.77869375128495,14448,112,178.11055301999997,3.499626385199057,,
0.001,468,14722,36.07,129,-49.96334012349447,14594,113,178.10562867999997,3.1760146419207254,,
