rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/n_updates,train/clip_fraction,train/value_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/std,train/policy_gradient_loss,train/clip_range,train/loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
55.270270270270274,1,270.14403764864863,2048,437,4,,,,,,,,,,,,,
58.1,2,284.1211568714286,4096,382,10,10,0.224951171875,3750.9521606445314,-0.006301760673522949,0.0003,0.020060094,1.0000931024551392,-0.052711410989286375,0.2,1592.3739013671875,-28.383294290304185,,
,,,5000,,,20,0.139453125,3342.554239654541,0.002383410930633545,0.0003,0.01588129,0.9982097744941711,-0.04380121662397869,0.2,1517.0152587890625,-28.35534747838974,345.2,1729.3502457536524
58.05,3,282.89533954,6144,246,24,,,,,,,,,,,,,
58.68,4,286.4360906,8192,271,30,30,0.168115234375,3053.941753387451,-0.002469778060913086,0.0003,0.017971907,0.9977392554283142,-0.04660156681784429,0.2,1318.6829833984375,-28.338052266836165,,
,,,10000,,,40,0.19541015625,3029.4838554382322,0.002293527126312256,0.0003,0.020275328,1.0015243291854858,-0.05265303854830563,0.2,1352.290283203125,-28.383559906482695,96.2,486.97453575991096
58.16,5,283.84765445000005,10240,264,38,,,,,,,,,,,,,
58.66,6,287.47574258000003,12288,274,44,50,0.210400390625,2947.8347244262695,0.0007153153419494629,0.0003,0.021106845,1.0021668672561646,-0.0551669369393494,0.2,1405.4410400390625,-28.421606141328812,,
59.21,7,290.05850612,14336,283,50,60,0.240771484375,2749.5441024780275,0.0005952119827270508,0.0003,0.022148214,1.003135085105896,-0.05692263142846059,0.2,1296.0994873046875,-28.431218326091766,,
,,,15000,,,70,0.231640625,2598.0856178283693,0.0004531741142272949,0.0003,0.022220854,1.004482626914978,-0.05558923703501932,0.2,1152.56982421875,-28.455287212133406,71.7,366.2038609653711
59.18,8,290.89389480000006,16384,284,57,,,,,,,,,,,,,
58.83,9,288.91703411000003,18432,294,62,80,0.240625,2757.51535949707,0.00023740530014038086,0.0003,0.021859048,1.0026615858078003,-0.057915705675259235,0.2,1307.7904052734375,-28.446887451410294,,
,,,20000,,,90,0.26806640625,2452.9722324371337,0.00011938810348510742,0.0003,0.025113266,1.0015627145767212,-0.06149650118022691,0.2,1260.168212890625,-28.41919939517975,51.95,264.66243525906464
61.36,10,300.18901113,20480,296,69,,,,,,,,,,,,,
60.4,11,293.88543071000004,22528,301,74,100,0.28642578125,2457.8129093170164,8.189678192138672e-05,0.0003,0.025674794,1.0002878904342651,-0.06189085671794601,0.2,1009.6729736328125,-28.388102722167968,,
60.46,12,294.48633071,24576,304,80,110,0.28701171875,2341.159059906006,0.0001251697540283203,0.0003,0.024513952,0.9998533129692078,-0.06375505574978887,0.2,910.0525512695312,-28.37053034901619,,
,,,25000,,,120,0.286474609375,2274.319975280762,0.0019410252571105957,0.0003,0.023831967,0.999787449836731,-0.06490466855175328,0.2,940.5255737304688,-28.371505403518675,51.5,247.54562475668791
61.05,13,298.4988129099999,26624,303,87,,,,,,,,,,,,,
61.42,14,300.80051653000004,28672,305,93,130,0.270458984375,2392.392791748047,0.03065568208694458,0.0003,0.022858892,1.0003632307052612,-0.06376543168444186,0.2,1013.3902587890625,-28.379255360364915,,
,,,30000,,,140,0.246875,2125.5179389953614,0.11781221628189087,0.0003,0.022548974,1.0020235776901245,-0.05932622035907116,0.2,1070.08203125,-28.394879299402238,53.2,270.0089507516474
64.62,15,317.50898134,30720,306,100,,,,,,,,,,,,,
65.14,16,320.40598536,32768,311,105,150,0.2939453125,2394.4025493621825,0.0970953106880188,0.0003,0.024768839,0.9998540878295898,-0.06640866668021772,0.2,1309.62646484375,-28.384013044834138,,
66.61,17,327.71926464999996,34816,313,111,160,0.245361328125,2175.074899673462,0.22118031978607178,0.0003,0.022041813,1.0019387006759644,-0.05906641635519918,0.2,934.083984375,-28.39747533798218,,
,,,35000,,,170,0.254052734375,2055.5710624694825,0.3032674193382263,0.0003,0.022626352,1.0009821653366089,-0.06192996062454768,0.2,898.8314819335938,-28.40183706879616,53.9,265.63989934111015
68.05,18,333.43520635,36864,310,118,,,,,,,,,,,,,
64.85,19,317.44812875,38912,311,124,180,0.265087890625,2020.7470375061034,0.2782233953475952,0.0003,0.022849895,1.0003399848937988,-0.06046040107612498,0.2,1056.717041015625,-28.378738391399384,,
,,,40000,,,190,0.260791015625,2191.429210662842,0.1804923415184021,0.0003,0.024176434,0.9993214011192322,-0.06124709511059336,0.2,1012.9989624023438,-28.372511386871338,81.45,409.6599328270648
68.67,20,335.13792903,40960,307,133,,,,,,,,,,,,,
