eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/std,train/n_updates,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/value_loss
50.0,1000,-13.201591788977385,,,,,,,,,,,,,,,,
50.0,2000,-13.201591788977385,,,,,,,,,,,,,,,,
,2048,,1,414,4,50.0,-60.260884175,,,,,,,,,,,
50.0,3000,-10.795143986493349,,,,,,-0.00510244034230709,0.019047260284423828,0.026123046875,-2.798843718320131,0.9675173163414001,10,59.87679672241211,0.2,0.0003,0.005043051,185.4189252138138
50.0,4000,-10.795143986493349,,,,,,,,,,,,,,,,
,4096,,2,341,11,50.0,-59.37020924691358,,,,,,,,,,,
50.0,5000,-10.797734360396863,,,,,,-0.00540822978655342,0.33219707012176514,0.0171875,-2.7405552193522453,0.9375114440917969,20,18.494569778442383,0.2,0.0003,0.0034058858,94.13589070439339
50.0,6000,-10.797734360396863,,,,,,,,,,,,,,,,
,6144,,3,325,18,50.0,-59.242157289999994,,,,,,,,,,,
50.0,7000,-10.751704020611943,,,,,,-0.006586525245802477,0.26371484994888306,0.054296875,-2.6890242733061314,0.9159549474716187,30,14.067081451416016,0.2,0.0003,0.0072890334,68.5265878200531
50.0,8000,-10.751704020611943,,,,,,,,,,,,,,,,
,8192,,4,313,26,50.0,-59.03445911,,,,,,,,,,,
50.0,9000,-10.856053803116083,,,,,,-0.007523853357997723,0.19637846946716309,0.03564453125,-2.6249839685857297,0.8790433406829834,40,9.855710983276367,0.2,0.0003,0.010350617,60.25228350162506
50.0,10000,-10.856053803116083,,,,,,,,,,,,,,,,
,10240,,5,305,33,50.0,-58.14944386000001,,,,,,,,,,,
50.0,11000,-10.861113658174872,,,,,,-0.007428858536877669,0.18785077333450317,0.047265625,-2.536819935590029,0.8406305313110352,50,6.682564735412598,0.2,0.0003,0.008313197,40.70471333265304
50.0,12000,-10.861113658174872,,,,,,,,,,,,,,,,
