time/time_elapsed,train/actor_loss,rollout/ep_len_mean,train/n_updates,train/critic_loss,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,train/learning_rate,eval/mean_reward,eval/mean_ep_length
1,1.2016046619415284,50.0,50,1.9000651824474335,200,4,-61.05483325,174,0.001,,
2,2.0370721054077148,50.0,250,0.27177642375230787,400,8,-70.93182362499999,186,0.001,,
3,1.2138596057891846,50.0,450,0.09395116284489631,600,12,-51.286166999999985,191,0.001,,
4,1.1851603126525878,50.0,650,0.052226948030292986,800,16,-42.2893974375,189,0.001,,
,1.3003589630126953,,850,0.059853921756148336,1000,,,,0.001,-12.381932871043682,50.0
5,,50.0,,,1000,20,-35.9290932,178,,,
6,1.403315863609314,50.0,1050,0.028117245957255364,1200,24,-31.99229933333333,179,0.001,,
7,1.5204010581970215,50.0,1250,0.03070038463920355,1400,28,-28.882920178571425,177,0.001,,
9,1.6856101369857788,50.0,1450,0.03604191236197948,1600,32,-26.250871812499998,175,0.001,,
10,1.7866537714004516,50.0,1650,0.03837493997067213,1800,36,-24.22026272222222,175,0.001,,
,1.9198997402191162,,1850,0.048132341206073764,2000,,,,0.001,-11.401039028540254,50.0
12,,50.0,,,2000,40,-22.696238775,165,,,
13,2.079351935386658,50.0,2050,0.06313994821161031,2200,44,-21.434475545454546,164,0.001,,
14,2.1873223972320557,50.0,2250,0.0469921625778079,2400,48,-20.494728166666665,164,0.001,,
15,2.332389430999756,50.0,2450,0.04620161518454552,2600,52,-19.81271542307692,163,0.001,,
17,2.4833438205718994,50.0,2650,0.04905322108417749,2800,56,-19.18021164285714,164,0.001,,
,2.654513120651245,,2850,0.039439016096293925,3000,,,,0.001,-10.926251218747348,50.0
18,,50.0,,,3000,60,-18.71123903333333,160,,,
19,2.756882629394531,50.0,3050,0.039719161987304685,3200,64,-18.175448671875,161,0.001,,
20,2.8380785465240477,50.0,3250,0.05248562179505825,3400,68,-17.551632661764703,162,0.001,,
22,3.0113236618041994,50.0,3450,0.05109373606741428,3600,72,-17.07874972222222,162,0.001,,
23,3.0705701732635498,50.0,3650,0.0522325349599123,3800,76,-16.603886223684206,163,0.001,,
,3.199778528213501,,3850,0.03851695902645588,4000,,,,0.001,-14.11047753840685,50.0
24,,50.0,,,4000,80,-16.3198351,161,,,
25,3.315758619308472,50.0,4050,0.04860543396323919,4200,84,-16.186687476190478,162,0.001,,
26,3.4469426918029784,50.0,4250,0.0396000075340271,4400,88,-16.03779425,163,0.001,,
28,3.5963368225097656,50.0,4450,0.04550883132964373,4600,92,-15.755714663043477,164,0.001,,
29,3.727662887573242,50.0,4650,0.0606056160479784,4800,96,-15.591231197916665,165,0.001,,
,3.8592732048034666,,4850,0.03769429761916399,5000,,,,0.001,-12.379214614257217,50.0
30,,50.0,,,5000,100,-15.404201339999997,163,,,
31,3.9982500457763672,50.0,5050,0.04319026898592711,5200,104,-13.5532581,164,0.001,,
32,4.115004959106446,50.0,5250,0.04191872768104076,5400,108,-10.70921695,164,0.001,,
33,4.321960315704346,50.0,5450,0.039296365715563296,5600,112,-10.776618229999999,165,0.001,,
35,4.460348091125488,50.0,5650,0.03998230330646038,5800,116,-10.55835442,165,0.001,,
,4.506140766143798,,5850,0.04527411408722401,6000,,,,0.001,-11.481531191896647,50.0
36,,50.0,,,6000,120,-10.48929451,163,,,
37,4.636795825958252,50.0,6050,0.04026816293597221,6200,124,-10.407693799999999,163,0.001,,
39,4.765055561065674,50.0,6250,0.038016822151839734,6400,128,-10.40294742,164,0.001,,
40,4.896680450439453,50.0,6450,0.039824004620313644,6600,132,-10.537667019999999,164,0.001,,
41,4.983521480560302,50.0,6650,0.032881812565028666,6800,136,-10.60825376,164,0.001,,
,5.091770133972168,,6850,0.035922667048871516,7000,,,,0.001,-10.61022312566638,50.0
42,,50.0,,,7000,140,-10.61446862,163,,,
43,5.156304035186768,50.0,7050,0.0456145129725337,7200,144,-10.655729099999999,164,0.001,,
44,5.298755970001221,50.0,7250,0.039344514831900594,7400,148,-10.63034386,164,0.001,,
46,5.398102207183838,50.0,7450,0.03883385356515646,7600,152,-10.534268050000001,165,0.001,,
47,5.532614231109619,50.0,7650,0.04305046007037163,7800,156,-10.44665066,165,0.001,,
,5.61454029083252,,7850,0.036521517150104044,8000,,,,0.001,-9.832204669527709,50.0
48,,50.0,,,8000,160,-10.330957910000002,163,,,
50,5.770345306396484,50.0,8050,0.04901290066540241,8200,164,-10.39922362,163,0.001,,
51,5.800863056182862,50.0,8250,0.04811202153563499,8400,168,-10.534278899999999,164,0.001,,
52,5.925846920013428,50.0,8450,0.044970059767365456,8600,172,-10.601813500000002,164,0.001,,
53,6.021342697143555,50.0,8650,0.04508210211992264,8800,176,-10.711243539999998,164,0.001,,
,6.154168739318847,,8850,0.039264916256070134,9000,,,,0.001,-9.047065545991064,50.0
54,,50.0,,,9000,180,-10.620227569999999,164,,,
55,6.221602592468262,50.0,9050,0.037805214524269104,9200,184,-10.394477430000002,164,0.001,,
56,6.286309566497803,50.0,9250,0.042667565941810606,9400,188,-10.27356112,165,0.001,,
58,6.398554630279541,50.0,9450,0.035386055633425714,9600,192,-10.291160869999999,165,0.001,,
59,6.4418588066101075,50.0,9650,0.038982261940836906,9800,196,-10.19581117,165,0.001,,
,6.5469268035888675,,9850,0.04211572140455246,10000,,,,0.001,-9.496788349188865,50.0
60,,50.0,,,10000,200,-10.117805220000001,164,,,
61,6.651020336151123,50.0,10050,0.04684509381651878,10200,204,-9.90022181,164,0.001,,
63,6.736850357055664,50.0,10250,0.043068169169127944,10400,208,-9.82419187,164,0.001,,
64,6.776964130401612,50.0,10450,0.042186614945530894,10600,212,-9.60862618,165,0.001,,
65,6.8303125381469725,50.0,10650,0.041688375361263755,10800,216,-9.57906694,165,0.001,,
,6.952525844573975,,10850,0.04461220469325781,11000,,,,0.001,-8.726433372218162,50.0
66,,50.0,,,11000,220,-9.471776100000001,164,,,
67,7.04810173034668,50.0,11050,0.06293888218700885,11200,224,-9.4811462,164,0.001,,
68,7.089890823364258,50.0,11250,0.04257070392370224,11400,228,-9.45054141,165,0.001,,
70,7.22442741394043,50.0,11450,0.03977740455418825,11600,232,-9.372954980000001,165,0.001,,
71,7.301265602111816,50.0,11650,0.04321846604347229,11800,236,-9.23497702,165,0.001,,
,7.389777069091797,,11850,0.04735622949898243,12000,,,,0.001,-8.875056815892458,50.0
72,,50.0,,,12000,240,-9.231819230000001,165,,,
73,7.478816089630127,50.0,12050,0.04753132432699204,12200,244,-9.19944186,165,0.001,,
74,7.527459487915039,50.0,12250,0.05250267926603556,12400,248,-9.16771718,165,0.001,,
76,7.633869323730469,50.0,12450,0.04367717172950506,12600,252,-9.104967020000002,165,0.001,,
77,7.6880706024169925,50.0,12650,0.045332206264138225,12800,256,-9.06639052,166,0.001,,
,7.771730556488037,,12850,0.04854838743805885,13000,,,,0.001,-9.225315895490349,50.0
78,,50.0,,,13000,260,-8.989167669999999,165,,,
79,7.8410272216796875,50.0,13050,0.04509575564414263,13200,264,-8.90542758,166,0.001,,
80,7.966163883209228,50.0,13250,0.049242138490080835,13400,268,-8.73573363,166,0.001,,
81,8.07218463897705,50.0,13450,0.04339662406593561,13600,272,-8.65699097,166,0.001,,
82,8.102875633239746,50.0,13650,0.06112861171364784,13800,276,-8.51946165,167,0.001,,
,8.17484344482422,,13850,0.04897257450968027,14000,,,,0.001,-8.638904742454178,50.0
83,,50.0,,,14000,280,-8.63087981,166,,,
85,8.368211631774903,50.0,14050,0.0480669566616416,14200,284,-8.696346729999998,166,0.001,,
86,8.352584037780762,50.0,14250,0.041641815081238744,14400,288,-8.63444103,167,0.001,,
87,8.477994079589843,50.0,14450,0.04807262018322945,14600,292,-8.549180159999999,167,0.001,,
88,8.513837852478026,50.0,14650,0.058469152972102166,14800,296,-8.45877836,167,0.001,,
,8.646043243408203,,14850,0.04626455068588257,15000,,,,0.001,-8.135723855905235,50.0
90,,50.0,,,15000,300,-8.43871695,166,,,
91,8.69226375579834,50.0,15050,0.04302509047091007,15200,304,-8.3400104,166,0.001,,
92,8.80815372467041,50.0,15250,0.058384866639971736,15400,308,-8.41689469,166,0.001,,
93,8.90501304626465,50.0,15450,0.04602695971727371,15600,312,-8.38120218,167,0.001,,
94,8.936313667297362,50.0,15650,0.04217141926288605,15800,316,-8.282083740000001,167,0.001,,
,9.05325496673584,,15850,0.04420359361916781,16000,,,,0.001,-7.936495620990172,50.0
95,,50.0,,,16000,320,-8.32045552,167,,,
96,9.157664108276368,50.0,16050,0.05476296007633209,16200,324,-8.26580372,167,0.001,,
97,9.26475269317627,50.0,16250,0.049613221064209935,16400,328,-8.17794721,167,0.001,,
98,9.320900764465332,50.0,16450,0.04988228213042021,16600,332,-8.12326868,167,0.001,,
100,9.379069366455077,50.0,16650,0.0419079128280282,16800,336,-8.20285902,167,0.001,,
,9.454688606262208,,16850,0.048189371190965176,17000,,,,0.001,-7.710662761516869,50.0
101,,50.0,,,17000,340,-8.13689892,167,,,
102,9.561467514038085,50.0,17050,0.04864368606358767,17200,344,-8.04369497,167,0.001,,
103,9.637643737792969,50.0,17250,0.045065792575478554,17400,348,-8.02182382,167,0.001,,
105,9.738936729431153,50.0,17450,0.04262021258473396,17600,352,-7.969397700000001,167,0.001,,
106,9.756610527038575,50.0,17650,0.04706424668431282,17800,356,-7.8482841,167,0.001,,
,9.895202293395997,,17850,0.0417104560136795,18000,,,,0.001,-7.7962578615639355,50.0
107,,50.0,,,18000,360,-7.883672469999999,167,,,
108,9.929199600219727,50.0,18050,0.04300330925732851,18200,364,-7.814728129999999,167,0.001,,
109,10.00113971710205,50.0,18250,0.05096067011356354,18400,368,-7.84411646,167,0.001,,
111,10.134260215759276,50.0,18450,0.0445005439221859,18600,372,-7.793220580000001,167,0.001,,
112,10.15619857788086,50.0,18650,0.045645831152796745,18800,376,-7.74594467,167,0.001,,
,10.256647148132323,,18850,0.04772465229034424,19000,,,,0.001,-7.755348592577502,50.0
113,,50.0,,,19000,380,-7.5007860200000005,166,,,
114,10.311181449890137,50.0,19050,0.047551990300416944,19200,384,-7.46079145,166,0.001,,
115,10.386048355102538,50.0,19250,0.05164204180240631,19400,388,-7.374019250000001,167,0.001,,
116,10.504823532104492,50.0,19450,0.05331858817487955,19600,392,-7.33958564,167,0.001,,
118,10.55544376373291,50.0,19650,0.045352508462965485,19800,396,-7.24318823,167,0.001,,
,10.598811149597168,,19850,0.04584186065942049,20000,,,,0.001,-8.02604278093204,50.0
119,,50.0,,,20000,400,-7.14370907,167,,,
120,10.751183052062988,50.0,20050,0.05065743505954742,20200,404,-7.232654040000001,167,0.001,,
121,10.778496932983398,50.0,20250,0.05857313357293606,20400,408,-7.1397452999999995,167,0.001,,
123,10.870476684570313,50.0,20450,0.04866494007408619,20600,412,-7.178336840000001,167,0.001,,
124,10.887932090759277,50.0,20650,0.05343654043972492,20800,416,-7.19143763,167,0.001,,
,11.036456184387207,,20850,0.04594630155712366,21000,,,,0.001,-8.504994188481941,50.0
125,,50.0,,,21000,420,-7.288550689999999,166,,,
127,11.080097694396972,50.0,21050,0.04575189631432295,21200,424,-7.229090210000001,166,0.001,,
128,11.146047096252442,50.0,21250,0.0457502206787467,21400,428,-7.2366047,166,0.001,,
129,11.214952278137208,50.0,21450,0.045801855176687244,21600,432,-7.19779469,166,0.001,,
130,11.292755088806153,50.0,21650,0.04397838406264782,21800,436,-7.161951170000001,167,0.001,,
,11.409056282043457,,21850,0.04775174930691719,22000,,,,0.001,-8.231872823089361,50.0
131,,50.0,,,22000,440,-7.2300039400000005,167,,,
132,11.48561752319336,50.0,22050,0.04426570642739534,22200,444,-7.22869483,167,0.001,,
