train/n_updates,train/actor_loss,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,train/learning_rate,train/critic_loss,time/total_timesteps,eval/mean_reward,eval/mean_ep_length
50,0.7225558507442474,0,50.0,-51.4414505,634,4,0.001,0.4443116334080696,200,,
250,2.3229787731170655,1,50.0,-63.466023375000006,289,8,0.001,0.20166251465678214,400,,
450,1.9275920820236205,2,50.0,-46.87483391666667,255,12,0.001,0.08175094801932574,600,,
650,1.808114356994629,3,50.0,-38.234435625,243,16,0.001,0.02985368225723505,800,,
850,1.8298002004623413,,,,,,0.001,0.04452146366238594,1000,-11.720595094934106,50.0
,,4,50.0,-32.798933850000004,217,20,,,1000,,
1050,1.8564356231689454,5,50.0,-29.332485083333335,216,24,0.001,0.044139674417674545,1200,,
1250,1.8707114744186402,6,50.0,-26.445310428571425,216,28,0.001,0.04945091858506203,1400,,
1450,1.9980173301696778,7,50.0,-24.77936384375,215,32,0.001,0.054237452894449235,1600,,
1650,2.1641155815124513,8,50.0,-23.405854944444446,213,36,0.001,0.05029035497456789,1800,,
1850,2.3220588111877443,,,,,,0.001,0.06557128183543683,2000,-11.785614633560181,50.0
,,9,50.0,-22.217909875000004,203,40,,,2000,,
2050,2.522811279296875,11,50.0,-21.208879409090912,199,44,0.001,0.07294905796647072,2200,,
2250,2.627780694961548,12,50.0,-20.206912625,198,48,0.001,0.09100405227392912,2400,,
2450,2.7467611598968507,12,50.0,-19.44919534615385,200,52,0.001,0.03911633368581533,2600,,
2650,2.8993659019470215,13,50.0,-18.94795483928571,201,56,0.001,0.040870750099420546,2800,,
2850,3.1402694892883303,,,,,,0.001,0.040390970781445504,3000,-11.84502059519291,50.0
,,15,50.0,-18.393940683333334,198,60,,,3000,,
3050,3.190154800415039,15,50.0,-17.59281121875,200,64,0.001,0.036469244062900544,3200,,
3250,3.2736964797973633,16,50.0,-17.063858073529417,201,68,0.001,0.11446846343576908,3400,,
3450,3.4715142154693606,17,50.0,-16.621652055555554,201,72,0.001,0.04048983976244926,3600,,
3650,3.606800060272217,18,50.0,-16.029622657894734,201,76,0.001,0.03933870889246464,3800,,
3850,3.6774186992645266,,,,,,0.001,0.04511441588401795,4000,-11.347722701728344,50.0
,,20,50.0,-15.6708898875,199,80,,,4000,,
4050,3.8822732734680176,21,50.0,-15.557779273809523,198,84,0.001,0.046159791871905324,4200,,
4250,4.002259960174561,22,50.0,-15.222947284090909,198,88,0.001,0.04468517426401377,4400,,
4450,4.082216758728027,23,50.0,-14.772726315217394,198,92,0.001,0.041220559142529964,4600,,
4650,4.246436233520508,24,50.0,-14.642219187499999,198,96,0.001,0.1732540164515376,4800,,
4850,4.391885251998901,,,,,,0.001,0.04296472981572151,5000,-10.966302950307727,50.0
,,25,50.0,-14.30839443,196,100,,,5000,,
5050,4.490994529724121,26,50.0,-12.7981584,196,104,0.001,0.0424437677487731,5200,,
5250,4.572291145324707,27,50.0,-10.07187039,196,108,0.001,0.034008411206305024,5400,,
5450,4.703994331359863,28,50.0,-9.916288640000001,196,112,0.001,0.054861756265163424,5600,,
5650,4.838795356750488,29,50.0,-9.81168092,196,116,0.001,0.5978468736261129,5800,,
5850,4.981140232086181,,,,,,0.001,0.04367412012070417,6000,-11.192050954513252,50.0
,,30,50.0,-9.61502434,194,120,,,6000,,
6050,5.094123096466064,31,50.0,-9.460757330000002,195,124,0.001,0.03744663041085005,6200,,
6250,5.241215553283691,32,50.0,-9.410168930000001,194,128,0.001,0.03580074902623892,6400,,
6450,5.277617912292481,33,50.0,-9.19767633,194,132,0.001,0.041626884303987026,6600,,
6650,5.400895462036133,35,50.0,-9.061600910000001,194,136,0.001,0.04251822229474783,6800,,
6850,5.4776644515991215,,,,,,0.001,0.09755287442356347,7000,-9.365215855278075,50.0
,,36,50.0,-8.96108244,192,140,,,7000,,
7050,5.67093978881836,37,50.0,-8.78051317,192,144,0.001,0.03781464196741581,7200,,
7250,5.810489883422852,38,50.0,-8.76387259,192,148,0.001,0.046239623427391054,7400,,
7450,5.83723747253418,39,50.0,-8.730551339999998,193,152,0.001,0.04789685070514679,7600,,
7650,6.012534980773926,40,50.0,-8.61375829,193,156,0.001,0.03577798314392567,7800,,
7850,6.168021869659424,,,,,,0.001,0.04021556910127402,8000,-9.677415862306953,50.0
,,41,50.0,-8.50823154,192,160,,,8000,,
8050,6.200393657684327,42,50.0,-8.686190340000001,192,164,0.001,0.08433083634823561,8200,,
8250,6.264343147277832,43,50.0,-8.60400926,192,168,0.001,0.03733664382249117,8400,,
8450,6.476113395690918,44,50.0,-8.53644561,192,172,0.001,0.03813577521592379,8600,,
8650,6.491016178131104,45,50.0,-8.67477424,192,176,0.001,0.037023822739720345,8800,,
8850,6.5719797706604,,,,,,0.001,0.04374508559703827,9000,-9.782745748385787,50.0
,,47,50.0,-8.74135019,190,180,,,9000,,
9050,6.701213111877442,48,50.0,-8.71247576,190,184,0.001,0.038704069480299946,9200,,
9250,6.7969811820983885,49,50.0,-8.629338320000002,190,188,0.001,0.0426235631480813,9400,,
9450,6.886243686676026,50,50.0,-8.78164394,191,192,0.001,0.05845461927354336,9600,,
9650,7.089050445556641,51,50.0,-8.79287646,191,196,0.001,0.046638951487839225,9800,,
9850,7.142927341461181,,,,,,0.001,0.04352369599044323,10000,-9.530225336179138,50.0
,,52,50.0,-8.814458120000001,190,200,,,10000,,
10050,7.230376243591309,53,50.0,-8.43554873,191,204,0.001,0.0654543635994196,10200,,
10250,7.343091812133789,54,50.0,-8.576341000000001,191,208,0.001,0.04307341519743204,10400,,
10450,7.485304584503174,55,50.0,-8.650836730000002,191,212,0.001,0.04020023100078106,10600,,
10650,7.48620418548584,56,50.0,-8.65490499,191,216,0.001,0.03834879539906979,10800,,
10850,7.657705249786377,,,,,,0.001,0.19673836536705494,11000,-9.50083584068343,50.0
,,57,50.0,-8.73138497,190,220,,,11000,,
11050,7.817135105133056,58,50.0,-8.71298896,191,224,0.001,0.04263658672571182,11200,,
11250,7.8678429985046385,59,50.0,-8.803054260000001,191,228,0.001,0.04105312705039978,11400,,
11450,8.01314115524292,60,50.0,-8.82174019,191,232,0.001,0.04109179761260748,11600,,
11650,7.975408458709717,61,50.0,-8.8559473,191,236,0.001,0.04189848341047764,11800,,
11850,8.107465686798095,,,,,,0.001,0.04702611770480871,12000,-9.726101220678538,50.0
,,62,50.0,-8.914167500000001,191,240,,,12000,,
12050,8.166229400634766,63,50.0,-9.01043773,191,244,0.001,0.03853790055960417,12200,,
12250,8.238956985473633,64,50.0,-9.02893185,192,248,0.001,0.04204620011150837,12400,,
12450,8.322254676818847,65,50.0,-8.982006080000001,192,252,0.001,0.09024055298417806,12600,,
12650,8.350818634033203,66,50.0,-9.00097796,192,256,0.001,0.04178439427167177,12800,,
