eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
1000.0,-2003.7713379256427,1000,,,,,,,,,
1000.0,-201.4263474650681,2000,0.001,1000,6.340273185133934,1.818082719988888,,,,,
1000.0,-199.572251273226,3000,0.001,2000,5.007481091022491,0.039991524634417144,,,,,
1000.0,-139.479379967507,4000,0.001,3000,5.02134141921997,0.08700315731577575,,,,,
,,4000,,,,,42,4,93,-609.9457567500001,1000.0
1000.0,-212.86576192090288,5000,0.001,4000,5.010034397125244,0.06207336414046585,,,,,
1000.0,-691.4961951131002,6000,0.001,5000,5.60645594215393,0.10437635313905776,,,,,
1000.0,-169.66490351632237,7000,0.001,6000,8.10476661491394,0.13685982868075372,,,,,
1000.0,-159.91193579975516,8000,0.001,7000,8.64636015033722,0.05928448997996748,,,,,
,,8000,,,,,90,8,88,-620.8305762499999,1000.0
1000.0,-163.6813458562363,9000,0.001,8000,8.72779105091095,0.09201778852380813,,,,,
1000.0,-152.38134364106227,10000,0.001,9000,9.191955207824707,0.06744057350233197,,,,,
1000.0,-139.51030456237496,11000,0.001,10000,9.683542028427125,0.08751395471207797,,,,,
1000.0,-146.23913491778075,12000,0.001,11000,9.99267181110382,0.082181342324242,,,,,
,,12000,,,,,137,12,87,-452.68970391666653,1000.0
1000.0,-158.19373704027385,13000,0.001,12000,10.232613248825073,0.06975836354494094,,,,,
1000.0,-139.4878264603205,14000,0.001,13000,10.56656785774231,0.0765711663030088,,,,,
1000.0,-145.8182851165533,15000,0.001,14000,10.817015237808228,0.0946946117579937,,,,,
1000.0,-144.75849358746783,16000,0.001,15000,11.240466859817506,0.07665278522670269,,,,,
,,16000,,,,,184,16,86,-380.90652424999996,1000.0
1000.0,-166.97784824068657,17000,0.001,16000,11.664176681518555,0.0793121930770576,,,,,
1000.0,-167.58223168626427,18000,0.001,17000,11.84044059753418,0.07456597550213337,,,,,
1000.0,-179.84331527668982,19000,0.001,18000,12.177695211410523,0.08051759104803205,,,,,
1000.0,-169.2173240594566,20000,0.001,19000,12.411668548583984,0.07024917419627309,,,,,
,,20000,,,,,230,20,86,-330.6258973,1000.0
1000.0,-180.83611178845166,21000,0.001,20000,12.651129983901978,0.0703257925324142,,,,,
1000.0,-152.90382060017436,22000,0.001,21000,12.892334857940673,0.059558227049186827,,,,,
1000.0,-163.20866455873474,23000,0.001,22000,13.098632667541503,0.06455666997656226,,,,,
1000.0,-168.17824697303587,24000,0.001,23000,13.173531463623046,0.06179821323230863,,,,,
,,24000,,,,,279,24,85,-300.8645215833333,1000.0
1000.0,-171.58342279596255,25000,0.001,24000,13.435673692703247,0.06779331911914051,,,,,
1000.0,-156.51327105034142,26000,0.001,25000,13.611076471328735,0.05620233181864023,,,,,
1000.0,-151.58176086796448,27000,0.001,26000,13.845750055313111,0.056552597142755984,,,,,
1000.0,-172.32847803551704,28000,0.001,27000,14.03703455543518,0.06208980192616582,,,,,
,,28000,,,,,327,28,85,-283.76110092857147,1000.0
1000.0,-206.374021660164,29000,0.001,28000,14.312443771362304,0.0647583272960037,,,,,
1000.0,-180.1430868688971,30000,0.001,29000,14.453620771408081,0.07315095102414489,,,,,
1000.0,-174.49921097811313,31000,0.001,30000,14.680201189041139,0.08191317984834313,,,,,
1000.0,-175.65369725190104,32000,0.001,31000,14.986409755706788,0.08458306320384144,,,,,
,,32000,,,,,376,32,84,-273.36018528125,1000.0
1000.0,-224.80714483726769,33000,0.001,32000,15.273978899002076,0.08938901232928037,,,,,
1000.0,-238.09795317929238,34000,0.001,33000,15.55370987701416,0.09515160094574093,,,,,
1000.0,-262.53587119001895,35000,0.001,34000,15.833973089218139,0.09763130358979107,,,,,
1000.0,-277.491240311414,36000,0.001,35000,16.17294368171692,0.0893374087177217,,,,,
,,36000,,,,,423,36,84,-269.4280461111111,1000.0
1000.0,-222.425852180738,37000,0.001,36000,16.52197434425354,0.09543858684971929,,,,,
1000.0,-221.3788844542578,38000,0.001,37000,16.9127830619812,0.09312176847457886,,,,,
1000.0,-212.84770270548762,39000,0.001,38000,17.27478237915039,0.09298901890590787,,,,,
1000.0,-141.7077458969783,40000,0.001,39000,17.633964736938477,0.09429776877909898,,,,,
,,40000,,,,,472,40,84,-265.6007049,1000.0
1000.0,-145.54602178421337,41000,0.001,40000,17.929783123016357,0.09295803070813417,,,,,
1000.0,-161.60236932858825,42000,0.001,41000,18.25173371887207,0.09063709041476249,,,,,
1000.0,-163.2139490087051,43000,0.001,42000,18.631439418792723,0.08583019948750735,,,,,
1000.0,-156.42488793488593,44000,0.001,43000,18.883906623840332,0.08449748449400067,,,,,
,,44000,,,,,523,44,84,-258.9400215,1000.0
1000.0,-143.55259748138488,45000,0.001,44000,19.21138976287842,0.07905614275857806,,,,,
1000.0,-125.5273212429136,46000,0.001,45000,19.562257614135742,0.0758544471859932,,,,,
1000.0,-119.41811314863153,47000,0.001,46000,19.765983085632325,0.07710221385210753,,,,,
1000.0,-127.10327432025224,48000,0.001,47000,20.008062805175783,0.07766227407380938,,,,,
,,48000,,,,,572,48,83,-254.0231118958333,1000.0
1000.0,-108.23913325760513,49000,0.001,48000,20.239364009857177,0.0809239835999906,,,,,
1000.0,-135.37277554851025,50000,0.001,49000,20.446933322906496,0.07910419486835599,,,,,
1000.0,-118.42670942153782,51000,0.001,50000,20.693171352386475,0.08312169859185815,,,,,
1000.0,-128.5062727069482,52000,0.001,51000,20.959927181243895,0.08659508525207639,,,,,
,,52000,,,,,620,52,83,-244.86299938461536,1000.0
1000.0,-118.64817452142015,53000,0.001,52000,21.18017496871948,0.08768226458877325,,,,,
1000.0,-134.39455808922648,54000,0.001,53000,21.345279193878174,0.08675593441724777,,,,,
1000.0,-138.28965131361036,55000,0.001,54000,21.51911617279053,0.0971860603839159,,,,,
1000.0,-152.87292565656827,56000,0.001,55000,21.719201229095457,0.09187368581816555,,,,,
,,56000,,,,,668,56,83,-234.2743777142857,1000.0
1000.0,-143.1118771383539,57000,0.001,56000,21.91335676956177,0.09430344086140394,,,,,
1000.0,-134.27794691156595,58000,0.001,57000,22.130010665893554,0.09071812863647938,,,,,
1000.0,-139.57989366049878,59000,0.001,58000,22.334564399719238,0.08467344578355551,,,,,
1000.0,-143.3301753602922,60000,0.001,59000,22.517899074554443,0.08887978146225214,,,,,
,,60000,,,,,715,60,83,-225.4587769333333,1000.0
1000.0,-142.71237498936244,61000,0.001,60000,22.67692854309082,0.08480515493452549,,,,,
1000.0,-139.4610772974789,62000,0.001,61000,22.843752170562745,0.08917145128920674,,,,,
1000.0,-141.51196499937214,63000,0.001,62000,23.008561447143556,0.08951937077194452,,,,,
1000.0,-141.11556062644814,64000,0.001,63000,23.16113804626465,0.09546415357664227,,,,,
,,64000,,,,,764,64,83,-223.04380821875,1000.0
1000.0,-142.17470183996483,65000,0.001,64000,23.34839959335327,0.0985570814833045,,,,,
1000.0,-151.14856683588587,66000,0.001,65000,23.500020385742186,0.10779922886192798,,,,,
1000.0,-149.66622629445047,67000,0.001,66000,23.587879081726076,0.10026818370819092,,,,,
1000.0,-142.09317994783632,68000,0.001,67000,23.701175102233886,0.09943251709640026,,,,,
,,68000,,,,,808,68,84,-218.18297357352938,1000.0
1000.0,-134.2562829277478,69000,0.001,68000,23.82925672531128,0.09932642176747322,,,,,
1000.0,-155.67829472357408,70000,0.001,69000,23.967083198547364,0.09876737003028392,,,,,
1000.0,-133.46731446124613,71000,0.001,70000,24.066958461761473,0.1014541670754552,,,,,
1000.0,-139.6330169809982,72000,0.001,71000,24.134648151397705,0.1032812996096909,,,,,
,,72000,,,,,850,72,84,-216.65762170833332,1000.0
1000.0,-148.82402735254726,73000,0.001,72000,24.350631381988524,0.09839280076697468,,,,,
1000.0,-177.10407495656983,74000,0.001,73000,24.540479370117186,0.09912387984991074,,,,,
1000.0,-139.66900415625423,75000,0.001,74000,24.67951252746582,0.09576374280825257,,,,,
1000.0,-150.6824843417853,76000,0.001,75000,24.818830909729005,0.09267894443124533,,,,,
,,76000,,,,,894,76,84,-212.48866803947368,1000.0
1000.0,-156.2779631595593,77000,0.001,76000,24.94707844924927,0.09498487862944603,,,,,
1000.0,-186.81618478987366,78000,0.001,77000,25.103525981903076,0.08890755780786276,,,,,
1000.0,-225.22917096642777,79000,0.001,78000,25.265142280578612,0.09615734285488725,,,,,
