time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/value_loss,train/approx_kl,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/std,train/learning_rate,train/loss
1000,-13.094243630766869,50.0,,,,,,,,,,,,,,,,
2000,-13.094243630766869,50.0,,,,,,,,,,,,,,,,
2048,,,1,50.0,860,-60.265317325,2,,,,,,,,,,,
3000,-10.246071811206638,50.0,,,,,,190.90088691711426,0.005057601,-0.0420762300491333,10,-0.00505631658306811,-2.8008553750813006,0.02861328125,0.2,0.9690121412277222,0.0003,63.35992431640625
4000,-10.246071811206638,50.0,,,,,,,,,,,,,,,,
4096,,,2,50.0,690,-59.50200787654321,5,,,,,,,,,,,
5000,-9.74493064340204,50.0,,,,,,102.54919664859771,0.0032842197,0.2635123133659363,20,-0.004493160150013864,-2.745136573165655,0.014453125,0.2,0.9408484697341919,0.0003,20.17563247680664
6000,-9.74493064340204,50.0,,,,,,,,,,,,,,,,
6144,,,3,50.0,638,-59.37069677,9,,,,,,,,,,,
7000,-10.873913180083036,50.0,,,,,,68.7202928185463,0.0069234665,0.30321717262268066,30,-0.007167402614140883,-2.693853558599949,0.0599609375,0.2,0.9159880876541138,0.0003,13.779868125915527
8000,-10.873913180083036,50.0,,,,,,,,,,,,,,,,
8192,,,4,50.0,606,-59.058420930000004,13,,,,,,,,,,,
9000,-12.030723702535033,50.0,,,,,,61.05322940945625,0.009352587,0.23334014415740967,40,-0.008465427125338465,-2.6261772364377975,0.04208984375,0.2,0.881869912147522,0.0003,11.345022201538086
10000,-12.030723702535033,50.0,,,,,,,,,,,,,,,,
10240,,,5,50.0,584,-58.24795231,17,,,,,,,,,,,
11000,-12.334687403589488,50.0,,,,,,40.270737785100934,0.009137746,0.3527812361717224,50,-0.009409955560113304,-2.547759534418583,0.070849609375,0.2,0.8516672849655151,0.0003,8.176807403564453
12000,-12.334687403589488,50.0,,,,,,,,,,,,,,,,
12288,,,6,50.0,589,-56.60709059999999,20,,,,,,,,,,,
13000,-13.252000537514686,50.0,,,,,,37.70824739933014,0.010558312,0.4122660160064697,60,-0.01351994039141573,-2.4743441633880137,0.076318359375,0.2,0.8177676200866699,0.0003,10.505524635314941
14000,-13.252000537514686,50.0,,,,,,,,,,,,,,,,
14336,,,7,50.0,589,-54.93845880999999,24,,,,,,,,,,,
15000,-15.019406916201115,50.0,,,,,,26.91338005363941,0.008510925,0.46063292026519775,70,-0.011660985293565318,-2.3828355610370635,0.056298828125,0.2,0.7787758111953735,0.0003,5.142244338989258
16000,-15.019406916201115,50.0,,,,,,,,,,,,,,,,
16384,,,8,50.0,575,-53.01819137,28,,,,,,,,,,,
17000,-18.2275269061327,50.0,,,,,,28.40686576962471,0.008441509,0.7353265583515167,80,-0.016799463526695035,-2.319556201994419,0.0923828125,0.2,0.765038788318634,0.0003,17.674074172973633
18000,-18.2275269061327,50.0,,,,,,,,,,,,,,,,
18432,,,9,50.0,576,-52.40312715000001,31,,,,,,,,,,,
19000,-22.564144587516786,50.0,,,,,,25.409300374984742,0.009148708,0.8277447819709778,90,-0.018215730680094567,-2.28137042298913,0.10615234375,0.2,0.7491458058357239,0.0003,9.593724250793457
20000,-22.564144587516786,50.0,,,,,,,,,,,,,,,,
20480,,,10,50.0,575,-52.978638360000005,35,,,,,,,,,,,
21000,-27.598589989542962,50.0,,,,,,25.637233984470367,0.008152397,0.8114386051893234,100,-0.01761326656269375,-2.2419771067798138,0.097412109375,0.2,0.7371274828910828,0.0003,14.451635360717773
22000,-27.598589989542962,50.0,,,,,,,,,,,,,,,,
22528,,,11,50.0,575,-53.69257958,39,,,,,,,,,,,
23000,-31.78332201242447,50.0,,,,,,16.83490000665188,0.010004694,0.8485099226236343,110,-0.01919231857464183,-2.206410535424948,0.113037109375,0.2,0.7211699485778809,0.0003,7.154797077178955
24000,-31.78332201242447,50.0,,,,,,,,,,,,,,,,
24576,,,12,50.0,575,-54.286433339999995,42,,,,,,,,,,,
25000,-38.10010972768068,50.0,,,,,,15.66452470421791,0.01140068,0.9021635055541992,120,-0.018233169699669816,-2.164443252235651,0.12548828125,0.2,0.7079993486404419,0.0003,7.951302528381348
26000,-38.10010972768068,50.0,,,,,,,,,,,,,,,,
26624,,,13,50.0,572,-54.81207224999999,46,,,,,,,,,,,
27000,-46.526074779033664,50.0,,,,,,10.764662384986877,0.01426666,0.9456256367266178,130,-0.018881823361152784,-2.1265183314681053,0.146142578125,0.2,0.6936275959014893,0.0003,4.338413238525391
28000,-46.526074779033664,50.0,,,,,,,,,,,,,,,,
28672,,,14,50.0,574,-55.777412059999996,49,,,,,,,,,,,
29000,-54.33685177266598,50.0,,,,,,8.62390090227127,0.012414804,0.954251404851675,140,-0.013734778678917791,-2.08764169216156,0.10654296875,0.2,0.6823438405990601,0.0003,2.924793243408203
30000,-54.33685177266598,50.0,,,,,,,,,,,,,,,,
30720,,,15,50.0,572,-58.402089100000005,53,,,,,,,,,,,
31000,-57.39371020793915,50.0,,,,,,6.597429550439119,0.010563115,0.9619088768959045,150,-0.013377033034339547,-2.059038609266281,0.11494140625,0.2,0.672498345375061,0.0003,2.7754831314086914
32000,-57.39371020793915,50.0,,,,,,,,,,,,,,,,
32768,,,16,50.0,570,-60.36719366000001,57,,,,,,,,,,,
33000,-58.345411223173144,50.0,,,,,,7.277677188068628,0.007106754,0.9640806689858437,160,-0.01202980478410609,-2.0205128215253354,0.08486328125,0.2,0.6592265367507935,0.0003,2.526411294937134
34000,-58.345411223173144,50.0,,,,,,,,,,,,,,,,
34816,,,17,50.0,570,-61.18036230999999,61,,,,,,,,,,,
35000,-58.424055841565135,50.0,,,,,,4.552953704446554,0.0069834306,0.9707211870700121,170,-0.008473918703384698,-1.9885393176227808,0.096044921875,0.2,0.6491379737854004,0.0003,1.822597622871399
36000,-58.424055841565135,50.0,,,,,,,,,,,,,,,,
36864,,,18,50.0,568,-62.17205583999999,64,,,,,,,,,,,
37000,-58.08155961930752,50.0,,,,,,3.836645847186446,0.008678677,0.9764292407780886,180,-0.010023190535139292,-1.93829076141119,0.066064453125,0.2,0.6270766258239746,0.0003,1.6722267866134644
38000,-58.08155961930752,50.0,,,,,,,,,,,,,,,,
38912,,,19,50.0,569,-62.25403424,68,,,,,,,,,,,
39000,-57.62481154799461,50.0,,,,,,2.2277488220483064,0.008609699,0.9877646965906024,190,-0.01592009303276427,-1.8688982665538787,0.118603515625,0.2,0.6035434007644653,0.0003,1.0726829767227173
40000,-57.62481154799461,50.0,,,,,,,,,,,,,,,,
40960,,,20,50.0,567,-61.86289912,72,,,,,,,,,,,
41000,-57.71374535560608,50.0,,,,,,2.5791675746440887,0.015946953,0.985744752921164,200,-0.01641998739214614,-1.7680961214005948,0.105126953125,0.2,0.5736021399497986,0.0003,1.2136757373809814
42000,-57.71374535560608,50.0,,,,,,,,,,,,,,,,
43000,-57.71374535560608,50.0,,,,,,,,,,,,,,,,
43008,,,21,50.0,564,-62.1952408,76,,,,,,,,,,,
44000,-57.228993928432466,50.0,,,,,,2.4503844998776914,0.0087114675,0.9885384943336248,210,-0.012643739471968729,-1.6817913871258496,0.11083984375,0.2,0.5504773259162903,0.0003,1.3044681549072266
45000,-57.228993928432466,50.0,,,,,,,,,,,,,,,,
45056,,,22,50.0,565,-62.286374450000004,79,,,,,,,,,,,
46000,-56.47194789648056,50.0,,,,,,1.9436085253953934,0.0109010795,0.9904786022379994,220,-0.012543109932448716,-1.5880450934171677,0.0935546875,0.2,0.5248849391937256,0.0003,1.1295881271362305
47000,-56.47194789648056,50.0,,,,,,,,,,,,,,,,
47104,,,23,50.0,564,-62.18177831,83,,,,,,,,,,,
48000,-55.858851313591,50.0,,,,,,1.7426828246563673,0.014708143,0.9916504202410579,230,-0.010936931098694914,-1.5019680593162774,0.1208984375,0.2,0.5039633512496948,0.0003,0.9094119071960449
49000,-55.858851313591,50.0,,,,,,,,,,,,,,,,
49152,,,24,50.0,563,-60.38750308000001,87,,,,,,,,,,,
50000,-55.38401117324829,50.0,,,,,,1.3417420886456966,0.015451477,0.992728357668966,240,-0.01100228491704911,-1.408707558736205,0.1232421875,0.2,0.48015129566192627,0.0003,0.45604458451271057
51000,-55.38401117324829,50.0,,,,,,,,,,,,,,,,
51200,,,25,50.0,562,-59.10450678000001,90,,,,,,,,,,,
52000,-53.71703531742096,50.0,,,,,,1.1892512263730168,0.006252692,0.9924606420099735,250,-0.004818558882107027,-1.3339076925069093,0.11630859375,0.2,0.4682121276855469,0.0003,0.6816684007644653
53000,-53.71703531742096,50.0,,,,,,,,,,,,,,,,
53248,,,26,50.0,563,-57.936452200000005,94,,,,,,,,,,,
54000,-50.676234272122386,50.0,,,,,,1.2436670836061239,0.013463229,0.99308623932302,260,-0.01388286514848005,-1.2717499207705258,0.1068359375,0.2,0.4519191384315491,0.0003,0.9478414058685303
55000,-50.676234272122386,50.0,,,,,,,,,,,,,,,,
55296,,,27,50.0,563,-56.979337130000005,98,,,,,,,,,,,
56000,-50.180892646312714,50.0,,,,,,0.9928734436631202,0.013149925,0.9926574337296188,270,-0.006591957347700373,-1.1957592852413654,0.14365234375,0.2,0.43587133288383484,0.0003,0.3863082230091095
57000,-50.180892646312714,50.0,,,,,,,,,,,,,,,,
57344,,,28,50.0,564,-55.01606691999999,101,,,,,,,,,,,
58000,-48.890899792313576,50.0,,,,,,1.3913799986243247,0.010118405,0.9886824619024992,280,-0.011238539940677583,-1.134051364660263,0.1826171875,0.2,0.42530274391174316,0.0003,0.5238707661628723
59000,-48.890899792313576,50.0,,,,,,,,,,,,,,,,
59392,,,29,50.0,565,-53.30882928,105,,,,,,,,,,,
60000,-49.395890176296234,50.0,,,,,,1.1147641610354184,0.014281539,0.989287605509162,290,-0.01218194524408318,-1.0753851674497128,0.181494140625,0.2,0.41226255893707275,0.0003,0.5315607786178589
61000,-49.395890176296234,50.0,,,,,,,,,,,,,,,,
61440,,,30,50.0,565,-52.474834170000015,108,,,,,,,,,,,
62000,-45.34147152900696,50.0,,,,,,1.045170847326517,0.017696397,0.9909634981304407,300,-0.011109174074954353,-1.015724217519164,0.2017578125,0.2,0.400626540184021,0.0003,0.28155088424682617
63000,-45.34147152900696,50.0,,,,,,,,,,,,,,,,
63488,,,31,50.0,565,-51.62953988,112,,,,,,,,,,,
