train/actor_loss,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,time/episodes,rollout/ep_rew_mean,time/fps,train/n_updates,time/total_timesteps,train/critic_loss,eval/mean_reward,eval/mean_ep_length
1.095876879155636,763.75,11,0.001,4,-1214.6621192500002,265,2000,3055,0.05636408687196672,,
2.9901092798709867,,,0.001,,,,4000,5000,0.17951854142732918,-2927.112160587311,1000.0
5.057324525356293,798.25,40,0.001,8,-1748.422335125,156,6000,6386,0.13478312924131752,,
7.739744186401367,623.5833333333334,47,0.001,12,-1437.3163727500003,155,7402,7483,0.6979511582425663,,
8.486986668904622,480.125,48,0.001,16,-1107.514049375,157,7575,7682,0.8777139832576116,,
7.342532777786255,442.4,54,0.001,20,-1019.4204877500002,161,8703,8848,0.6922657233549327,,
8.440605401992798,377.1666666666667,56,0.001,24,-870.4767607916668,160,8984,9052,0.9866783049973574,,
8.862500940050397,,,0.001,,,,9037,10000,1.1491569181283314,-355.6928826192394,154.7
9.205409655570984,361.7857142857143,63,0.001,28,-837.9815813214285,160,10037,10130,1.588160516947508,,
9.66762389755249,380.03125,74,0.001,32,-782.40724178125,163,12095,12161,0.6895425571650267,,
9.855814456939697,340.80555555555554,74,0.001,36,-698.8759090555556,163,12192,12269,1.070005389777097,,
9.510061831474305,361.025,82,0.001,40,-614.008552375,175,13386,14441,0.9918032288253308,,
9.372016466988457,,,0.001,,,,14566,15000,1.3763183368576897,-72.84860492209263,610.2
8.477181402206421,400.47727272727275,104,0.001,44,-543.0140943409091,169,16566,17621,0.9743462874293327,,
5.889931522716175,,,0.001,,,,19787,20000,1.063406743884626,240.58987398242462,565.2
,434.2083333333333,126,,48,-463.99549404166675,165,,20842,,,
3.9093002049922942,456.40384615384613,141,0.001,52,-401.7546726153847,167,22678,23733,0.9761934785246849,,
3.007326828956604,,,0.001,,,,24678,25000,0.9252285915911198,545.7461649948542,1000.0
1.7043454044535755,495.23214285714283,172,0.001,56,-335.5947445178572,160,26678,27733,0.8215951634049415,,
-0.47712518887461297,,,0.001,,,,29238,30000,0.7654936637197222,661.9995255424867,927.5
-1.0735838427934796,521.55,199,0.001,60,-270.70998219999996,156,30238,31293,0.7916033309996128,,
-4.568456033706665,,,0.001,,,,34238,35000,0.7880668533742428,763.5639447717928,920.3
,551.453125,228,,64,-207.10296010937503,154,,35293,,,
-8.022411755561828,577.8382352941177,250,0.001,68,-147.82381088235297,157,38238,39293,0.8054718035459518,,
-8.907234681129456,,,0.001,,,,39238,40000,0.7859667691290378,685.674812673172,1000.0
-11.53569896888733,601.2916666666666,279,0.001,72,-96.65893893055558,154,42238,43293,0.7791744702458382,,
-13.272538076400757,,,0.001,,,,44238,45000,0.7979641514718533,798.5679864952224,1000.0
-15.100157455444336,622.2763157894736,310,0.001,76,-46.97328784210528,152,46238,47293,0.7900852662324905,,
-18.79614121573312,617.3125,325,0.001,80,-24.220932250000025,151,49252,49385,0.7536473529679435,,
-18.010676114987103,,,0.001,,,,49330,50000,0.8212342522083185,583.1105276263145,901.3
-20.018849273681642,635.5357142857143,351,0.001,84,14.122996214285692,151,52330,53385,0.8692231177985669,,
-21.638554016113282,,,0.001,,,,54330,55000,0.8542859129309655,843.4252194001805,1000.0
-23.257974208831786,652.1022727272727,381,0.001,88,53.21625949999998,150,56330,57385,0.8449157367050648,,
-25.7136455116272,,,0.001,,,,59330,60000,0.8574331203103065,1005.2711205638946,1000.0
-26.490696071624757,667.2282608695652,411,0.001,92,92.40447299999997,149,60330,61385,0.8780307931900024,,
-29.897338329315186,,,0.001,,,,64330,65000,0.907682307779789,1121.7627707948209,1000.0
,681.09375,440,,96,133.88504342708333,148,,65385,,,
-33.38835293579102,693.85,462,0.001,100,172.071226,150,68330,69385,0.9780904486179351,,
-34.22163447189331,,,0.001,,,,69330,70000,1.000009430140257,1075.499941689195,1000.0
-36.79114884948731,703.3,491,0.001,104,265.36127543999993,149,72330,73385,1.0248143604397775,,
-38.41885348510742,,,0.001,,,,74330,75000,1.0489503241181373,1158.5217285342515,1000.0
