time/total_timesteps,time/fps,train/critic_loss,train/learning_rate,rollout/ep_len_mean,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
3014,134,0.33574444144964216,0.001,753.5,2014,-3.158211571339518,-1090.9752469999999,4,22,,
5000,,0.4079914569012268,0.001,,4297,1.5402993995247158,,,,-1025.3999098076486,1000.0
6297,87,0.41976125310361384,0.001,787.125,5297,1.6790344004631041,-1248.936471,8,71,,
7398,90,1.0955563353167639,0.001,616.5,6398,2.3384582740919932,-1045.82154175,12,82,,
9552,93,1.2340530258204256,0.001,597.0,8552,2.4818519077130725,-737.86099925,16,102,,
10000,,0.824838453412056,0.001,,9552,2.2427754724025726,,,,431.1586793783681,1000.0
13552,86,0.650733110010624,0.001,677.6,12552,0.3344950622446777,-486.93733704999994,20,156,,
15000,,0.7020510722100735,0.001,,14552,-0.5448528299522586,,,,445.6302928552497,1000.0
17552,83,0.6467600904405117,0.001,731.3333333333334,16552,-2.0714338384550066,-353.45905270833333,24,210,,
20000,,0.6683285059332847,0.001,,19552,-3.598821276426315,,,,560.6242931234417,921.7
21552,81,0.7194129847884179,0.001,769.7142857142857,20552,-3.945847189426422,-225.30926700000003,28,263,,
25000,,0.9749499611854553,0.001,,24552,-6.3851875,,,,344.9223817715538,1000.0
25552,79,,,798.5,,,-167.48216915625,32,320,,
29552,81,0.9105150824487209,0.001,820.8888888888889,28552,-7.608292908668518,-112.34045725,36,361,,
30000,,0.941567593127489,0.001,,29552,-8.022963613510132,,,,676.7861049408733,959.1
33552,79,0.8589948573708535,0.001,838.8,32552,-9.729630353927613,-28.098424249999987,40,422,,
35000,,0.9757781094908714,0.001,,34563,-11.750252075195313,,,,133.41536225008605,706.6
36563,79,1.141918747007847,0.001,830.9772727272727,35563,-11.823243330001832,2.6941869772727385,44,462,,
40000,,0.818510073363781,0.001,,39563,-12.857777475357056,,,,439.9414581612858,1000.0
40563,78,,,845.0625,,,44.32039841666667,48,516,,
44563,80,0.738001783490181,0.001,856.9807692307693,43563,-14.23418892097473,97.50423909615385,52,554,,
45000,,0.7288107179105282,0.001,,44563,-14.701355987548828,,,,561.8353248970234,807.6
48563,79,0.7111699362695217,0.001,867.1964285714286,47563,-15.878710948944091,142.94960369642857,56,607,,
50000,,0.7419837009012699,0.001,,49563,-16.785027545928955,,,,625.468536760821,1000.0
52563,78,0.7349071379303932,0.001,876.05,51563,-17.819526187896727,164.86226546666666,60,666,,
55000,,0.7346857631504535,0.001,,54563,-18.97661837387085,,,,746.6584114141718,1000.0
56563,78,0.7047188721597195,0.001,883.796875,55563,-19.458405811309813,205.135747078125,64,723,,
60000,,0.6653999894857406,0.001,,59563,-21.39647729110718,,,,748.3028714370263,1000.0
60563,77,,,890.6323529411765,,,227.63528720588235,68,781,,
64563,78,0.6673950150609016,0.001,896.7083333333334,63563,-23.254089134216308,260.9246894583333,72,821,,
