time/episodes,time/fps,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,eval/mean_ep_length,eval/mean_reward
4,125,-4.893345355272293,1000.0,0.06691878448054195,4000,0.001,-1271.757478,31,3000,,
,,-5.443425690174103,,0.07393296036310494,5000,0.001,,,4000,160.2,-196.41323547121138
8,94,-6.205085196393601,642.75,0.5705202562244315,5142,0.001,-877.7488886250001,54,5111,,
12,94,-6.086273156679594,438.5833333333333,0.5643338761650599,5263,0.001,-610.2380996666667,55,5232,,
16,94,-6.164919492360708,336.75,1.1090256624125145,5388,0.001,-476.1115511875,56,5363,,
20,95,-5.859713745117188,277.4,0.8262070894241333,5548,0.001,-407.71319665,58,5464,,
24,94,-5.171504259109497,239.0,1.1368414732542904,5736,0.001,-357.2602484583333,60,5694,,
28,106,-5.244838875293731,312.39285714285717,1.2059704255461692,8747,0.001,-338.7211567857143,81,7747,,
,,-7.306349048614502,,1.300719059228897,10000,0.001,,,9801,718.8,-88.18090707485389
32,92,-7.895550932884216,339.0,1.2288802902102471,10848,0.001,-277.5649599375,117,10801,,
36,98,-8.237625492095948,389.3888888888889,1.568693685233593,14018,0.001,-228.68951130555556,142,13018,,
,,-7.9844877090454105,,1.3609214137196541,15000,0.001,,,14018,1000.0,495.65619959440374
40,94,-7.823989469528199,450.45,1.2019813628196716,18018,0.001,-153.73466472500002,191,17018,,
,,-9.495283627510071,,1.1604196022450923,20000,0.001,,,19018,1000.0,376.4763709437633
44,91,-10.564996039390564,500.40909090909093,1.2005125688910485,22018,0.001,-93.04167636363637,239,21018,,
,,-10.546891041755677,,1.094580298781395,25000,0.001,,,24018,904.4,273.6469260311234
48,90,-11.522759250640869,542.0416666666666,1.0943282249569892,26018,0.001,-58.87938975000001,287,25018,,
,,-12.454719398498534,,1.206070999711752,30000,0.001,,,29018,901.2,401.109717524692
52,89,,577.2692307692307,,30018,,-45.95028578846156,333,,,
56,90,-12.966075658798218,607.4642857142857,0.8365844887495041,34018,0.001,5.845739410714267,374,33018,,
,,-13.124275365829467,,0.7850699290335178,35000,0.001,,,34018,1000.0,384.2735492734704
60,90,-13.62288541984558,633.6333333333333,0.7335935388505459,38018,0.001,39.022985866666644,421,37018,,
,,-14.464494693756103,,0.7307352628409862,40000,0.001,,,39018,1000.0,859.4556628920138
64,89,-15.222472978591918,656.53125,0.6825661647617817,42018,0.001,77.63988118749998,468,41018,,
,,-16.540076387405396,,0.7227311295866966,45000,0.001,,,44039,1000.0,721.3454577410594
68,88,,662.3382352941177,,45039,,107.8521684852941,506,,,
72,89,-18.68900001144409,681.0972222222222,0.649658879339695,49039,0.001,145.8789229027778,548,48039,,
,,-19.184887908935547,,0.6569719794094563,50000,0.001,,,49039,1000.0,878.3416854215669
76,88,-20.616948600769042,697.8815789473684,0.6208499481678009,53039,0.001,181.29804711842107,596,52039,,
,,-21.567793598175047,,0.6737853689342738,55000,0.001,,,54039,1000.0,760.0594693828374
80,88,-22.53820640563965,712.9875,0.6511277784407139,57039,0.001,201.10085825,645,56039,,
,,-24.167793979644774,,0.6489801425337791,60000,0.001,,,59039,1000.0,796.5301464779302
84,87,-24.81679688644409,726.6547619047619,0.6237423601150512,61039,0.001,226.70406085714282,693,60039,,
,,-27.10472407531738,,0.5564265720844269,65000,0.001,,,64039,1000.0,820.1740887112916
88,87,,739.0795454545455,,65039,,253.1547595227273,741,,,
92,88,-29.172074962615966,750.4239130434783,0.5556635161489248,69039,0.001,275.9973842065218,783,68039,,
,,-29.495155628204344,,0.5428938228935003,70000,0.001,,,69039,1000.0,791.4638322383165
96,87,-30.81728747558594,760.8229166666666,0.5916057737320661,73039,0.001,293.80319235416664,833,72039,,
,,-31.461061973571777,,0.541199917525053,75000,0.001,,,74039,1000.0,811.539512897376
100,87,-32.37290769195557,770.39,0.504159608706832,77039,0.001,315.01450015,884,76039,,
,,-33.27503393936157,,0.5114178060293197,80000,0.001,,,79039,1000.0,872.1811838980764
104,86,-33.54337417221069,770.39,0.5062959753125906,81039,0.001,400.14919507999997,938,80039,,
,,-34.801717582702636,,0.5138666046857834,85000,0.001,,,84039,1000.0,873.1941584907472
108,85,,798.97,,85039,,453.85747610000004,991,,,
112,85,-35.97597864532471,837.76,0.4977832206338644,89039,0.001,491.25694848,1039,88039,,
,,-36.34112334442138,,0.490836645513773,90000,0.001,,,89039,1000.0,813.678673414886
116,85,-37.38536355590821,876.51,0.5003247451335192,93039,0.001,529.6598690499999,1093,92039,,
,,-38.051556427001955,,0.504086025133729,95000,0.001,,,94039,1000.0,776.9947948442307
120,84,-38.853657539367674,914.91,0.48847382226586344,97039,0.001,570.29871728,1146,96039,,
,,-39.90097381591797,,0.5143605671972037,100000,0.001,,,99039,1000.0,933.3360873755067
124,84,-40.21197356414795,953.03,0.5246232430636882,101039,0.001,604.3428287300001,1199,100039,,
,,-41.55763182067871,,0.47165356037020684,105000,0.001,,,104039,1000.0,851.1732408653945
128,83,,962.92,,105039,,648.26541181,1253,,,
132,83,-42.9304303894043,981.91,0.46560682344436644,109039,0.001,672.90799295,1302,108039,,
,,-43.222408866882326,,0.5136480749547482,110000,0.001,,,109039,1000.0,789.1240126591059
136,83,-44.06412068939209,990.21,0.49581306910514833,113039,0.001,699.71656426,1356,112039,,
,,-44.533026550292966,,0.5128789460211992,115000,0.001,,,114039,1000.0,876.1944064804702
140,83,-44.93792099761963,990.21,0.523000975817442,117039,0.001,713.84512957,1408,116039,,
,,-45.421667121887204,,0.5054844107180834,120000,0.001,,,119039,1000.0,914.7270617921371
144,82,-45.62142642211914,990.21,0.5033801834881305,121039,0.001,728.4479620899999,1463,120039,,
,,-46.63662912750244,,0.47234689427912235,125000,0.001,,,124039,1000.0,910.7327381583862
148,82,,990.21,,125039,,751.28371074,1517,,,
152,82,-47.56298833465576,990.21,0.4968142525553703,129039,0.001,782.9392325199998,1564,128039,,
,,-47.85080187225342,,0.5277945373654366,130000,0.001,,,129039,1000.0,960.8140475573484
156,82,-48.4864398727417,990.21,0.5252870656102896,133039,0.001,794.43552786,1618,132039,,
,,-49.05131345367432,,0.5277383960783482,135000,0.001,,,134039,1000.0,1034.6599762520054
160,81,-49.50202894592285,990.21,0.5214536416381598,137039,0.001,816.1883098100001,1672,136039,,
,,-50.18667907714844,,0.5654559919834137,140000,0.001,,,139039,1000.0,1144.2796090538147
164,81,-50.58015052032471,990.21,0.604062549367547,141039,0.001,832.78770916,1727,140039,,
,,-51.68380034637451,,0.6648936537802219,145000,0.001,,,144039,1000.0,808.2976358805784
168,81,,1000.0,,145039,,842.8966585299999,1784,,,
172,81,-53.0830390625,1000.0,0.7306854701936245,149039,0.001,838.7273417900001,1834,148039,,
,,-53.33576079559326,,0.7965980272293091,150000,0.001,,,149039,1000.0,70.19380400533555
176,80,-54.10986740875244,1000.0,0.8582507762908935,153039,0.001,832.08239981,1891,152039,,
,,-54.50790795135498,,0.8870082842409611,155000,0.001,,,154039,1000.0,1124.5490214263555
180,80,-55.18200688934326,1000.0,0.9432939310967923,157039,0.001,832.2053867600001,1948,156039,,
,,-56.37854725646973,,1.0864421512186526,160000,0.001,,,159039,1000.0,476.97423229631676
184,80,-56.870573265075684,1000.0,1.1274550880491734,161039,0.001,831.2526015,2003,160039,,
,,-57.57058711242676,,1.118700920343399,165000,0.001,,,164039,1000.0,929.9454925974948
188,80,,1000.0,,165039,,834.3345603100001,2058,,,
192,80,-58.64028569793701,1000.0,1.1653433655500411,169039,0.001,837.12544195,2108,168039,,
,,-58.957630401611326,,1.1554853087067605,170000,0.001,,,169039,1000.0,1378.9258915133773
196,79,-59.59371798706054,1000.0,1.178878822863102,173039,0.001,864.9427323299999,2165,172039,,
,,-60.22718211364746,,1.255337948858738,175000,0.001,,,174039,1000.0,1483.5049340355677
200,79,-60.927551071166995,1000.0,1.2917986038923264,177039,0.001,883.46045237,2221,176039,,
,,-61.85740586853027,,1.3992325181365013,180000,0.001,,,179039,981.4,1295.2504498701078
204,79,-62.019355499267576,1000.0,1.4325270159244536,181039,0.001,901.2178054099999,2278,180039,,
,,-63.375964416503905,,1.6978496797680855,185000,0.001,,,184039,1000.0,1493.4245548836886
208,79,,1000.0,,185039,,913.1128114999998,2334,,,
212,79,-64.2444279827649,993.16,1.9054334405102307,188355,0.001,916.2254220799998,2374,187355,,
,,-64.61391822052002,,2.205753779530525,190000,0.001,,,189355,923.0,-1552.8995864242315
216,79,-63.921880996704104,993.16,2.3750363380908968,192355,0.001,878.9304594199998,2432,191355,,
,,-63.65294709014893,,3.0572591824531554,195000,0.001,,,194355,1000.0,1659.958803821355
220,78,-64.16144709777832,993.16,3.0113306008577347,196355,0.001,877.6076953199997,2490,195355,,
,,-64.61549446868896,,3.1428574723005296,200000,0.001,,,199355,1000.0,1603.5712553005665
224,78,,993.16,,200355,,913.5830518500001,2547,,,
228,78,-65.03966848754882,993.16,3.0190158516168593,204355,0.001,943.8213112799999,2597,203355,,
,,-65.48675992584228,,3.1015999060869217,205000,0.001,,,204355,926.9,1446.8128760030493
232,78,-66.54909382629394,993.16,3.1643581763505937,208355,0.001,977.98324156,2655,207355,,
,,-66.83342200469971,,3.275793650269508,210000,0.001,,,209355,1000.0,1716.0266861765645
236,78,-67.49254969787597,993.16,3.209058885216713,212355,0.001,1014.65923856,2711,211355,,
,,-68.50674873352051,,3.516677927494049,215000,0.001,,,214355,999.1,1401.915193078341
240,78,-68.71564908599854,993.16,3.4189909440279007,216355,0.001,1041.16973826,2768,215355,,
244,78,-69.8564799100358,989.2,3.2078324205038564,219959,0.001,1068.5861949,2813,218959,,
,,-70.34656798553466,,3.343863221883774,220000,0.001,,,219959,1000.0,1731.4500593271107
248,78,-71.60045979309082,989.2,3.2336908375024795,223959,0.001,1101.8459173,2869,222959,,
,,-72.62530673217773,,3.3760119454860686,225000,0.001,,,224959,1000.0,1727.5722487412277
252,77,-73.03458558654785,989.2,3.5766936988830564,227959,0.001,1135.58072487,2926,226959,,
,,-74.55961288452148,,3.204958857893944,230000,0.001,,,229959,825.3,1478.6591761457735
256,77,-75.22837823486329,987.21,3.3586761934757234,231760,0.001,1164.5160997699998,2981,230959,,
,,-77.01606918334961,,3.3349150574207305,235000,0.001,,,234760,945.1,1666.890816163103
260,77,,987.21,,235760,,1194.04129164,3033,,,
264,77,-78.62196936035156,987.21,3.4421366889476777,239760,0.001,1221.6226144800003,3082,238760,,
,,-78.85857336425781,,3.352420707702637,240000,0.001,,,239760,1000.0,1807.5719493566896
268,77,-79.81117846679687,987.21,3.520660043120384,243760,0.001,1259.37877213,3138,242760,,
,,-80.81558592224121,,3.468575627684593,245000,0.001,,,244760,928.6,1722.0875903801993
272,77,-81.87283468627929,987.21,3.624522676229477,247760,0.001,1305.6891627300001,3194,246760,,
,,-83.01313349583766,,4.1950974976502975,250000,0.001,,,249619,855.3,1483.2232153024524
276,77,-83.42188117980957,985.8,3.670800659656525,251619,0.001,1351.0012251399999,3248,250619,,
,,-85.42275660705566,,4.2505090289115905,255000,0.001,,,254619,780.9,791.2805810900521
