time/total_timesteps,train/learning_rate,time/time_elapsed,train/policy_loss,train/value_loss,time/fps,train/entropy_loss,time/iterations,rollout/ep_len_mean,train/std,train/n_updates,train/explained_variance,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
500,0.0007,2,-58.67361068725586,23.28656578063965,232,-11.386675834655762,100,38.0,1.0041133165359497,99,0.2406092882156372,-42.75929166666666,,
1000,0.0007,3,-15.62357234954834,3.2202603816986084,276,-11.369733810424805,200,92.5,1.0027978420257568,199,-0.38020753860473633,-102.7290194,,
1500,0.0007,4,-24.976346969604492,5.79916524887085,317,-11.366386413574219,300,73.0,1.001913070678711,299,-0.21013569831848145,-82.68891275,,
2000,0.0007,5,-32.506324768066406,9.024951934814453,346,-11.370524406433105,400,64.89655172413794,1.002439022064209,399,-0.21973764896392822,-73.01153072413793,,
2500,0.0007,6,-15.568964958190918,3.6295166015625,359,-11.2984037399292,500,64.89655172413794,0.9942952990531921,499,-0.044843316078186035,-73.01153072413793,,
3000,0.0007,8,-26.015790939331055,5.870790958404541,370,-11.307011604309082,600,92.53125,0.9943576455116272,599,-0.008844137191772461,-106.14905225,,
3500,0.0007,9,-25.629043579101562,6.637675762176514,373,-11.282816886901855,700,77.75555555555556,0.9916258454322815,699,-0.00891125202178955,-89.8313891777778,,
4000,0.0007,10,-7.696652889251709,0.8312422633171082,374,-11.254535675048828,800,72.72727272727273,0.9887474775314331,799,0.000483095645904541,-84.12430412727272,,
4500,0.0007,12,-30.916715621948242,6.327401638031006,371,-11.253898620605469,900,68.84615384615384,0.9876226186752319,899,-0.004408478736877441,-79.79884201538462,,
5000,0.0007,,-11.294455528259277,1.4080604314804077,,-11.217412948608398,,,0.9834533333778381,999,0.0014145374298095703,,483.4,299.8801252646837
5000,,20,,,247,,1000,61.8625,,,,-72.25950759999999,,
5500,0.0007,21,-31.2646427154541,7.313503265380859,257,-11.179126739501953,1100,60.266666666666666,0.9784194827079773,1099,0.000700533390045166,-70.54178139999999,,
6000,0.0007,22,-22.3637752532959,4.665306091308594,267,-11.12189769744873,1200,60.266666666666666,0.9719119071960449,1199,6.16312026977539e-05,-70.54178139999999,,
6500,0.0007,23,-10.622504234313965,1.266762137413025,276,-11.065010070800781,1300,69.52688172043011,0.965353786945343,1299,-0.0009210109710693359,-81.07604109677419,,
7000,0.0007,24,-25.02616310119629,5.790898323059082,283,-11.017623901367188,1400,66.49,0.958986759185791,1399,-0.0008404254913330078,-77.44628345999999,,
7500,0.0007,25,-0.43865495920181274,0.105262391269207,290,-10.925336837768555,1500,66.49,0.9484367370605469,1499,0.0009737610816955566,-77.44628345999999,,
8000,0.0007,27,-8.649779319763184,0.6905946135520935,295,-10.817362785339355,1600,76.95,0.9357926845550537,1599,0.00017118453979492188,-88.85754948999998,,
8500,0.0007,28,-9.63598918914795,1.0035440921783447,297,-10.703268051147461,1700,72.11,0.9223634004592896,1699,1.7344951629638672e-05,-83.02530133,,
9000,0.0007,30,-11.644493103027344,1.4462181329727173,298,-10.572818756103516,1800,73.45,0.9075974225997925,1799,-0.0014442205429077148,-84.19470145999999,,
9500,0.0007,31,-18.788442611694336,2.8928146362304688,301,-10.392165184020996,1900,73.45,0.887079119682312,1899,-5.340576171875e-05,-84.19470145999999,,
10000,0.0007,,-23.9332275390625,3.5411438941955566,,-10.268913269042969,,,0.8731667399406433,1999,-0.00022280216217041016,,1000.0,843.1300917804241
10000,,45,,,221,,2000,83.14,,,,-93.19506717999998,,
