time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/std,train/loss,eval/mean_ep_length,eval/mean_reward
2048,1,2,-103.84003023809522,694,97.23809523809524,,,,,,,,,,,,,
4096,2,7,-91.36394565217394,574,86.30434782608695,10,-0.018951773643493652,0.132568359375,-0.028434905875474214,0.2,169.093752348423,-11.264782321453094,0.0003,0.013328476,0.9831029772758484,26.82324981689453,,
5000,,,,,,20,-0.08490109443664551,0.095361328125,-0.023409792644088157,0.2,87.3049285531044,-11.151100924611091,0.0003,0.012242091,0.966560959815979,27.814403533935547,1000.0,984.1698141753674
6144,3,22,-107.49020696,274,103.44,,,,,,,,,,,,,
8192,4,26,-119.74524947142856,307,116.8,30,-0.0036476850509643555,0.103857421875,-0.022206823667511345,0.2,98.19535185098648,-11.017753759026528,0.0003,0.011522716,0.9519685506820679,17.304561614990234,,
10000,,,,,,40,0.0002238750457763672,0.164111328125,-0.032854614857933485,0.2,94.0611063838005,-10.896519634127618,0.0003,0.019689182,0.9394629001617432,31.667789459228516,1000.0,961.9804001808167
10240,5,41,-122.15780459036145,247,119.75903614457832,,,,,,,,,,,,,
12288,6,45,-121.19263704081634,267,119.76530612244898,50,0.01388692855834961,0.1078125,-0.031871902514831164,0.2,90.31305253505707,-10.8092589199543,0.0003,0.012000806,0.9293625950813293,33.89585876464844,,
14336,7,50,-135.82090936000003,284,135.89,60,0.052551448345184326,0.139697265625,-0.03469426748342812,0.2,98.2422994852066,-10.718226572871208,0.0003,0.014170896,0.9192350506782532,48.917320251464844,,
15000,,,,,,70,0.10755831003189087,0.117138671875,-0.02961249621002935,0.2,79.84799193143844,-10.659624600410462,0.0003,0.011851461,0.9156379699707031,27.301862716674805,1000.0,931.38959223032
16384,8,65,-133.27213286000003,249,135.26,,,,,,,,,,,,,
18432,9,70,-104.53425022999998,262,108.41,80,0.16708165407180786,0.14775390625,-0.03083873365249019,0.2,89.1552304983139,-10.608871757984161,0.0003,0.014150241,0.9077430963516235,51.329376220703125,,
20000,,,,,,90,0.024447381496429443,0.079345703125,-0.02453227628720924,0.2,226.71397151947022,-10.565941053628922,0.0003,0.010062125,0.9058008193969727,80.65153503417969,1000.0,933.0200879216194
