time/episodes,rollout/ep_len_mean,time/fps,train/learning_rate,time/time_elapsed,time/total_timesteps,train/actor_loss,train/n_updates,rollout/ep_rew_mean,train/critic_loss,eval/mean_reward,eval/mean_ep_length
4,763.75,271,0.001,11,3055,-5.536925723612309,2000,-1273.91372475,0.1539498689621687,,
8,519.125,253,0.001,16,4153,-2.2217962375053992,3098,-951.090311125,0.17194772225159866,,
12,362.9166666666667,203,0.001,21,4355,-2.5507009029388428,4236,-670.0259646666667,0.18910997254507883,,
,,,0.001,,5000,-2.6494998198289137,4327,,0.33112818554595663,-503.9473646370694,358.0
16,406.375,205,0.001,31,6502,-3.4594361901283266,5447,-689.2791948125,0.26082611704866093,,
,,,0.001,,10000,-8.767158484458923,9447,,0.8734353792071342,485.8698453137942,1000.0
20,525.1,171,,61,10502,,,-534.45572765,,,
24,604.25,178,0.001,81,14502,-11.841391538619995,13447,-378.2491614583333,0.7479048229157924,,
,,,0.001,,15000,-12.880202381134033,14447,,0.5734643408060074,511.7587024884357,1000.0
28,660.7857142857143,170,0.001,108,18502,-15.38646580696106,17447,-235.6713194285714,0.4991620486080647,,
,,,0.001,,20000,-17.307458967208863,19447,,0.4770193539708853,513.900072001433,1000.0
32,703.1875,165,0.001,135,22502,-18.257131006240844,21447,-128.325618375,0.44016810834407805,,
,,,0.001,,25000,-19.803173805236817,24447,,0.3920164811015129,849.1936789728236,1000.0
36,736.1666666666666,159,0.001,165,26502,-20.344461891174316,25447,-26.984535194444458,0.37017331856489183,,
,,,0.001,,30000,-23.153719482421874,29447,,0.38363583911955357,818.0073283974082,1000.0
40,762.55,154,,197,30502,,,55.77584594999998,,,
44,784.1363636363636,157,0.001,219,34502,-26.54804476928711,33447,119.15671190909089,0.33823994927108286,,
,,,0.001,,35000,-27.211360725402834,34447,,0.3300630112737417,556.7287783578271,1000.0
48,802.125,155,0.001,247,38502,-29.26249208831787,37447,172.16870952083332,0.3166040347069502,,
,,,0.001,,40000,-30.909720584869383,39447,,0.3178342295140028,851.8375104734674,1000.0
52,817.3461538461538,153,0.001,276,42502,-32.317740104675295,41447,225.8756935384615,0.30985974246263503,,
,,,0.001,,45000,-34.452001079559324,44447,,0.2929736364632845,873.9138051249087,1000.0
56,830.3928571428571,152,0.001,304,46502,-35.22196963500976,45447,270.6582579107143,0.31038837103545663,,
,,,0.001,,50000,-38.09242713165283,49447,,0.2910824682712555,795.588594937604,1000.0
60,841.7,151,,333,50502,,,309.2307946666667,,,
64,851.59375,152,0.001,356,54502,-40.59823751068115,53447,344.726976984375,0.28407875885814426,,
,,,0.001,,55000,-41.33094126129151,54447,,0.27265738847106696,900.9142989709974,1000.0
68,860.3235294117648,151,0.001,386,58502,-43.07452970886231,57447,377.6075981911765,0.26036756744235756,,
,,,0.001,,60000,-44.10169536590576,59447,,0.24690731984376907,904.7017417982221,1000.0
72,868.0833333333334,151,0.001,413,62502,-45.12719535064697,61447,407.64433793055554,0.2538898116722703,,
,,,0.001,,65000,-46.63918466949463,64447,,0.24802312491834164,938.9449610680342,1000.0
76,875.0263157894736,149,0.001,444,66502,-47.06875693511963,65447,435.30411825,0.25296435528993605,,
,,,0.001,,70000,-48.85680753326416,69447,,0.2445404343381524,933.6838635852561,1000.0
80,881.275,148,,475,70502,,,460.42768495,,,
84,886.9285714285714,149,0.001,498,74502,-50.746657127380374,73447,483.26372448809525,0.23003891609609128,,
,,,0.001,,75000,-51.18171347045899,74447,,0.23282732100784778,943.3642253381898,1000.0
88,892.0681818181819,148,0.001,527,78502,-52.28813645172119,77447,504.19865901136365,0.22465639735758305,,
,,,0.001,,80000,-53.08475213623047,79447,,0.2299840623885393,946.6719219706953,1000.0
92,896.7608695652174,147,0.001,559,82502,-53.85995783233643,81447,523.6771102608695,0.22224196729063989,,
,,,0.001,,85000,-54.93651619720459,84447,,0.2171593058630824,917.7453100524842,1000.0
96,901.0625,146,0.001,589,86502,-55.18134210968017,85447,540.69366790625,0.21219838021695614,,
,,,0.001,,90000,-56.51730332946777,89447,,0.21158025826513768,923.1374872975051,1000.0
100,905.02,146,,619,90502,,,556.65873063,,,
104,914.47,147,0.001,641,94502,-57.85011944580078,93447,645.14802473,0.20007455925643444,,
,,,0.001,,95000,-58.12490113830567,94447,,0.21104355921596288,950.118889632076,1000.0
108,943.49,146,0.001,671,98502,-59.06384272766113,97447,708.3596847599999,0.2469581193253398,,
,,,0.001,,100000,-59.636535346984864,99447,,0.22961977587640287,947.890679576248,1000.0
112,981.47,145,0.001,703,102502,-60.09302751159668,101447,750.4621214700002,0.22069536885991692,,
,,,0.001,,105000,-60.75115734100342,104447,,0.2020874653533101,954.5113132294267,1000.0
116,1000.0,145,0.001,733,106502,-60.99039343261719,105447,818.2776798,0.17869644094258547,,
,,,0.001,,110000,-61.8714757232666,109447,,0.1921647950746119,958.9423848867416,1000.0
120,1000.0,144,,763,110502,,,852.9993008500002,,,
124,1000.0,145,0.001,784,114502,-62.70904444885254,113447,875.2663136299999,0.20150848177447916,,
,,,0.001,,115000,-62.99173818206787,114447,,0.18902845399826765,943.7288890123367,1000.0
128,1000.0,145,0.001,813,118502,-63.59676139831543,117447,888.6675679299999,0.1904717467688024,,
,,,0.001,,120000,-63.98777945709229,119447,,0.19568788385391236,952.0655050992966,1000.0
132,1000.0,145,0.001,840,122502,-64.42787456512451,121447,901.8404707399999,0.19545664919540287,,
,,,0.001,,125000,-64.90786354827881,124447,,0.19858630751818418,945.6104137405753,1000.0
136,1000.0,145,0.001,869,126502,-65.08206669616699,125447,909.0932852299999,0.18659516113623978,,
,,,0.001,,130000,-65.67770009613037,129447,,0.21266803116723895,961.167740178015,1000.0
140,1000.0,145,,899,130502,,,915.7462716100001,,,
144,1000.0,145,0.001,921,134502,-66.24509475708008,133447,924.16812197,0.17901837815344335,,
,,,0.001,,135000,-66.37546141052246,134447,,0.17483784909546377,971.9208796322346,1000.0
148,1000.0,145,0.001,948,138502,-66.75071127319336,137447,932.3015819300001,0.1721659740060568,,
,,,0.001,,140000,-66.93460063171386,139447,,0.18562490892782807,963.9681788414716,1000.0
152,1000.0,145,0.001,977,142502,-67.228546875,141447,935.6865727500001,0.18581594428420067,,
,,,0.001,,145000,-67.56529948425293,144447,,0.18279309800267218,946.809296143055,1000.0
156,1000.0,145,0.001,1006,146502,-67.6950252380371,145447,939.9640149399999,0.16675171875953673,,
,,,0.001,,150000,-68.10037507629394,149447,,0.1757315050214529,955.2568831264973,1000.0
160,1000.0,145,,1035,150502,,,944.1148407599999,,,
164,1000.0,146,0.001,1057,154502,-68.42936415100098,153447,947.02174926,0.16730097890645265,,
,,,0.001,,155000,-68.51319175720215,154447,,0.19618929525464773,957.5426289349795,1000.0
168,1000.0,145,0.001,1090,158502,-68.76072709655762,157447,948.9164393599998,0.18155935189127922,,
,,,0.001,,160000,-68.93109609985352,159447,,0.18389226742088793,953.584583774209,1000.0
172,1000.0,145,0.001,1119,162502,-69.08559834289551,161447,950.56612725,0.20400503823161126,,
,,,0.001,,165000,-69.2673468322754,164447,,0.179593441773206,956.9034973323345,1000.0
176,1000.0,144,0.001,1149,166502,-69.37144709777832,165447,951.0760564999999,0.16687262181565166,,
,,,0.001,,170000,-69.57777987670899,169447,,0.17431177576631307,964.2184073343873,1000.0
180,1000.0,144,,1179,170502,,,951.2838617499999,,,
184,1000.0,145,0.001,1199,174502,-69.82572366333008,173447,951.50483461,0.18151060678437353,,
,,,0.001,,175000,-69.85707810974121,174447,,0.1632951567992568,966.5921358868945,1000.0
188,1000.0,145,0.001,1228,178502,-69.88399420166016,177447,952.3062782099998,0.17629474100843073,,
,,,0.001,,180000,-69.91272412109375,179447,,0.17718076417967676,906.6756638169288,1000.0
