train/n_updates,time/total_timesteps,time/episodes,train/learning_rate,time/fps,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,eval/mean_ep_length,eval/mean_reward
2000,3043,4,0.001,252,12,0.21575587542913854,760.75,-1709.59548,0.7834980232268571,,
4115,5000,,0.001,,,0.1297529119104147,,,4.846470059394837,948.7,-800.8293245386507
5115,6158,8,0.001,165,37,0.14562913984060288,769.75,-1606.070873125,6.203802298545837,,
8228,9271,12,0.001,172,53,0.42170598526299,772.5833333333334,-1380.7900293333332,12.862747983932495,,
9228,10000,,0.001,,,0.35927461288869383,,,14.61006266784668,1000.0,-9.69130292822083
11471,12514,16,0.001,152,81,0.6036196386617888,782.125,-1149.1398615,17.647304913229192,,
14793,15000,,0.001,,,0.6512355364859104,,,19.808761051177978,972.9,605.3086078612047
,15836,20,,143,110,,791.8,-986.0801758,,,
18793,19836,24,0.001,150,131,0.5761052426099778,826.5,-857.6228937916667,22.023875881195067,,
19793,20000,,0.001,,,0.5198457769155502,,,22.68826347732544,1000.0,808.4470567784272
22793,23836,28,0.001,146,162,0.4690994211882353,851.2857142857143,-747.8749325357145,23.68081340789795,,
24793,25000,,0.001,,,0.42607620611786845,,,24.30230665588379,1000.0,841.2555608225987
26793,27836,32,0.001,145,191,0.386516839787364,869.875,-663.5180468125,24.785452377319334,,
29793,30000,,0.001,,,0.3464934987723827,,,25.304631538391114,1000.0,886.5643704600632
30793,31836,36,0.001,142,222,0.34565777049958707,884.3333333333334,-591.6494339722223,25.406509708404542,,
34793,35000,,0.001,,,0.2918988357037306,,,25.5089907951355,1000.0,869.2219321191311
,35836,40,,141,253,,895.9,-533.989508275,,,
38793,39836,44,0.001,144,274,0.27507604244351386,905.3636363636364,-482.4630249090908,25.5709672164917,,
39793,40000,,0.001,,,0.262730110026896,,,25.560825916290284,1000.0,909.7027431309223
42793,43836,48,0.001,143,306,0.24101629013568163,913.25,-439.6370419583333,25.321822345733644,,
44793,45000,,0.001,,,0.214455933354795,,,25.16113204574585,1000.0,950.1756168931722
46793,47836,52,0.001,142,336,0.20090889540314674,919.9230769230769,-402.36434078846145,24.89661520767212,,
49793,50000,,0.001,,,0.1929965122640133,,,24.580061042785644,1000.0,919.4743452429772
50793,51836,56,0.001,141,366,0.18991556616127492,925.6428571428571,-370.0941715,24.40376431274414,,
54793,55000,,0.001,,,0.15352227438241242,,,23.748722946166993,1000.0,958.4997980892658
,55836,60,,140,397,,930.6,-342.0319824666667,,,
58793,59836,64,0.001,142,419,0.14587228847295045,934.9375,-317.0760694375,23.11450760269165,,
59793,60000,,0.001,,,0.15084517650678753,,,22.976545707702638,1000.0,945.8450495660305
62793,63836,68,0.001,142,448,0.12800171552971004,938.7647058823529,-295.3215412647059,22.554129978179933,,
64793,65000,,0.001,,,0.12982532231509686,,,22.282135654449462,1000.0,970.0493223905563
66793,67836,72,0.001,141,478,0.12740631495416163,942.1666666666666,-274.95161281944445,21.95015678024292,,
69793,70000,,0.001,,,0.11839270385354757,,,21.530224166870116,1000.0,946.3508146584034
70793,71836,76,0.001,141,509,0.12681635623425244,945.2105263157895,-257.5244182631579,21.399993698120117,,
74793,75000,,0.001,,,0.10969428627192974,,,20.82805432891846,1000.0,973.4642023146152
,75836,80,,140,540,,947.95,-241.24632913750003,,,
78793,79836,84,0.001,142,561,0.10395199705287814,950.4285714285714,-226.78123373809524,20.3072586517334,,
79793,80000,,0.001,,,0.10435093080252408,,,20.1432840423584,1000.0,974.7988217055797
82793,83836,88,0.001,141,591,0.095600615657866,952.6818181818181,-213.42162879545455,19.740339233398437,,
84793,85000,,0.001,,,0.08851736987009645,,,19.5300461769104,1000.0,957.7407856881618
86793,87836,92,0.001,141,621,0.09005355331674218,954.7391304347826,-201.36986018478257,19.232257137298586,,
89793,90000,,0.001,,,0.09307067807391287,,,18.86574712753296,1000.0,962.8139929234982
90793,91836,96,0.001,140,655,0.092033729955554,956.625,-190.25612511458334,18.757738220214843,,
94793,95000,,0.001,,,0.08210881026089191,,,18.248501152038575,1000.0,980.7115935921669
,95836,100,,138,691,,958.36,-179.48676445,,,
98793,99836,104,0.001,139,715,0.08160063114948571,967.93,-108.24630514999998,17.839860569000244,,
99793,100000,,0.001,,,0.08106093775294722,,,17.72217439651489,1000.0,975.4035226464272
102793,103836,108,0.001,138,751,0.07793900349736213,976.78,-44.97208901000002,17.41228707122803,,
104793,105000,,0.001,,,0.07472364849224687,,,17.238291255950926,1000.0,978.7192259848118
106793,107836,112,0.001,136,788,0.07310979236103594,985.65,-5.006265700000003,17.046871841430665,,
109793,110000,,0.001,,,0.06710514629073441,,,16.783319953918458,1000.0,973.6091781318188
110793,111836,116,0.001,135,824,0.06876916266232729,993.22,16.40886699,16.689666595458984,,
114793,115000,,0.001,,,0.06343689779005944,,,16.380451246261597,1000.0,982.9301528871059
,115836,120,,134,859,,1000.0,32.95731628,,,
118793,119836,124,0.001,135,883,0.06258548195287585,1000.0,44.76785607,16.06597720718384,,
119793,120000,,0.001,,,0.064030712723732,,,15.99645588684082,1000.0,982.3301850378514
122793,123836,128,0.001,135,914,0.06063711311481893,1000.0,51.557116810000004,15.791794687271118,,
124793,125000,,0.001,,,0.060526294814422725,,,15.660487407684327,1000.0,986.4708442986012
126793,127836,132,0.001,135,945,0.06172596508450806,1000.0,57.65116333000001,15.507988716125489,,
129793,130000,,0.001,,,0.06177558289654553,,,15.334666078567505,1000.0,984.2674165010452
130793,131836,136,0.001,135,976,0.060096816321834924,1000.0,61.69416214999999,15.251611431121827,,
134793,135000,,0.001,,,0.0550407344661653,,,15.025168748855592,1000.0,965.7283247351646
,135836,140,,134,1006,,1000.0,64.85246207,,,
138793,139836,144,0.001,135,1028,0.05340144435875118,1000.0,66.58954576000001,14.764397346496581,,
139793,140000,,0.001,,,0.054283604074269534,,,14.713579441070557,1000.0,972.9562581241131
142793,143836,148,0.001,135,1058,0.0568609031084925,1000.0,68.52418981999999,14.557326160430907,,
144793,145000,,0.001,,,0.05981336050853133,,,14.452383485794067,1000.0,966.4362287163734
146793,147836,152,0.001,135,1090,0.054541498528793454,1000.0,69.3195857,14.368323781967163,,
149793,150000,,0.001,,,0.05617340851575136,,,14.236098077774049,1000.0,979.7028721511364
150793,151836,156,0.001,135,1117,0.0545385475140065,1000.0,70.15360367,14.224659189224242,,
154793,155000,,0.001,,,0.05091902222856879,,,14.004464010238648,1000.0,988.0404122710228
,155836,160,,136,1145,,1000.0,71.16713192,,,
158793,159836,164,0.001,137,1165,0.05011573986150324,1000.0,72.07828885999999,13.874634265899658,,
159793,160000,,0.001,,,0.04991923444718122,,,13.855993600845338,1000.0,984.2770640790462
162793,163836,168,0.001,137,1192,0.052108478546142575,1000.0,73.28103482,13.715118074417115,,
164793,165000,,0.001,,,0.05506850003637374,,,13.626145366668702,1000.0,976.7467372238636
166793,167836,172,0.001,137,1220,0.052932362370193005,1000.0,73.55589794000001,13.623857006072997,,
169793,170000,,0.001,,,0.05096137381531298,,,13.519784101486206,1000.0,979.8314939022064
170793,171836,176,0.001,137,1250,0.05922115120850503,1000.0,74.44679725,13.436851608276367,,
174793,175000,,0.001,,,0.05718284981325269,,,13.355433483123779,1000.0,970.7787416338921
,175836,180,,137,1279,,1000.0,74.51909629,,,
178793,179836,184,0.001,138,1298,0.05175146483629942,1000.0,75.17562667,13.221219648361206,,
179793,180000,,0.001,,,0.055276193398982286,,,13.193292932510376,1000.0,972.75127363801
182793,183836,188,0.001,138,1329,0.05304734198562801,1000.0,75.41854183000001,13.080386940002441,,
184793,185000,,0.001,,,0.053121198996901514,,,13.027700782775879,1000.0,976.7417777895928
186793,187836,192,0.001,138,1360,0.052127549652010205,1000.0,75.91107867,12.963553735733033,,
189793,190000,,0.001,,,0.060134655997157095,,,12.913217548370362,1000.0,970.6901638388633
190793,191836,196,0.001,138,1389,0.058600889056921006,1000.0,76.27622332000001,12.86674549293518,,
194793,195000,,0.001,,,0.05290248768776655,,,12.77491075706482,1000.0,962.2859987914562
,195836,200,,137,1420,,1000.0,75.75201571000001,,,
198793,199836,204,0.001,138,1441,0.05406541170179844,1000.0,75.67100425999999,12.67364112663269,,
199793,200000,,0.001,,,0.05614985551126301,,,12.642918001174927,1000.0,973.7952409505845
202793,203836,208,0.001,138,1471,0.05140173890441656,1000.0,75.17199149,12.60148450088501,,
204793,205000,,0.001,,,0.05341358492523432,,,12.549354091644288,1000.0,976.3171821296215
206793,207836,212,0.001,138,1501,0.04973728333413601,1000.0,75.61157107,12.577166702270508,,
209793,210000,,0.001,,,0.05554688925296068,,,12.520672410964966,1000.0,982.9778384387494
210793,211836,216,0.001,138,1531,0.05360036797821522,1000.0,75.2528578,12.511130937576294,,
214793,215000,,0.001,,,0.050245948612689974,,,12.454006237030029,1000.0,979.0030846536159
,215836,220,,138,1562,,1000.0,75.21858592,,,
218793,219836,224,0.001,138,1584,0.05594337707199156,1000.0,75.3926712,12.386675107955933,,
219793,220000,,0.001,,,0.05606611076183617,,,12.374452489852905,1000.0,978.4334341645241
222793,223836,228,0.001,138,1614,0.05574105022847652,1000.0,75.40753042000001,12.341209791183472,,
224793,225000,,0.001,,,0.04872082836925983,,,12.288196352005006,1000.0,975.7227558255196
226793,227836,232,0.001,138,1644,0.048096387535333636,1000.0,75.44095927,12.223252986907958,,
229793,230000,,0.001,,,0.04560150898434222,,,12.200647958755493,1000.0,967.9696721494198
230793,231836,236,0.001,138,1672,0.048038431644439696,1000.0,75.21257,12.188879318237305,,
234793,235000,,0.001,,,0.05016776255704462,,,12.108588756561279,1000.0,981.0986503303051
,235836,240,,138,1703,,1000.0,75.90582259,,,
238793,239836,244,0.001,139,1724,0.04777866432443261,1000.0,75.97693414,12.10340114402771,,
239793,240000,,0.001,,,0.04614794835448265,,,12.082177062988281,1000.0,962.4305996716023
242793,243836,248,0.001,139,1753,0.05246305799111724,1000.0,75.78334923999999,12.05987889289856,,
244793,245000,,0.001,,,0.05083525474742055,,,12.091271654129029,1000.0,969.5550620734691
246793,247836,252,0.001,138,1783,0.053515698498114946,1000.0,76.06036835,12.099111516952515,,
249793,250000,,0.001,,,0.05343871205672622,,,12.097866655349732,1000.0,972.1483249723912
250793,251836,256,0.001,138,1816,0.05306735256500542,1000.0,76.18619385,12.12832848930359,,
254793,255000,,0.001,,,0.050733044339343905,,,12.198310512542724,1000.0,965.5451590180397
,255836,260,,138,1849,,1000.0,75.73782634,,,
258793,259836,264,0.001,138,1871,0.05167699059098959,1000.0,75.59935979,12.264335474014283,,
259793,260000,,0.001,,,0.05241811269521713,,,12.269619657516479,1000.0,973.2448571741581
262793,263836,268,0.001,138,1905,0.049786455258727075,1000.0,75.25541282,12.259288301467896,,
264793,265000,,0.001,,,0.05642681439034641,,,12.308917636871337,1000.0,969.1428675234317
266793,267836,272,0.001,138,1938,0.05002853545919061,1000.0,74.92799614999998,12.345987855911256,,
269793,270000,,0.001,,,0.06325170486047864,,,12.373921085357667,1000.0,961.3138817310333
270793,271836,276,0.001,137,1972,0.0596773292850703,1000.0,74.62158197000002,12.38469083213806,,
274793,275000,,0.001,,,0.05599681141227484,,,12.46090839767456,1000.0,961.3037102103233
,275836,280,,137,2005,,1000.0,74.39000627,,,
278793,279836,284,0.001,137,2027,0.05680576346069574,1000.0,73.59788432999999,12.53259185409546,,
279793,280000,,0.001,,,0.05589813845977187,,,12.560015226364136,1000.0,971.2400906264781
282793,283836,288,0.001,137,2060,0.05974038342013955,1000.0,73.02326503,12.635806491851806,,
284793,285000,,0.001,,,0.11748732397705317,,,12.531400506973267,1000.0,942.8353018552065
286793,287836,292,0.001,137,2092,0.21447046945244075,1000.0,71.08255328,12.683740282058716,,
289793,290000,,0.001,,,0.08009023335948587,,,12.99698659133911,1000.0,880.2576507687569
290793,291836,296,0.001,137,2125,0.07541169629991054,1000.0,68.24880983999999,12.912413999557495,,
294793,295000,,0.001,,,0.07034482870250941,,,13.0382109375,1000.0,953.9063599467278
,295836,300,,137,2158,,1000.0,68.00104972999999,,,
298793,299836,304,0.001,137,2181,0.07353621366247534,1000.0,66.92937801,13.180595308303833,,
299793,300000,,0.001,,,0.06962153526023031,,,13.240456232070922,1000.0,968.3157738685608
302793,303836,308,0.001,137,2213,0.06114946079999208,1000.0,66.90410572,13.343599294662475,,
304793,305000,,0.001,,,0.054506257221102715,,,13.363857591629028,1000.0,959.6634978294372
306793,307836,312,0.001,136,2247,0.05454598235711455,1000.0,66.05480055000001,13.378566673278808,,
309793,310000,,0.001,,,0.0584387687034905,,,13.387063997268676,1000.0,906.9080682694912
310793,311836,316,0.001,136,2280,0.05128371729515493,1000.0,65.58102447,13.406393606185913,,
314793,315000,,0.001,,,0.05330044658109546,,,13.392732231140137,1000.0,958.5029766142368
,315836,320,,136,2314,,1000.0,64.80814371000001,,,
318793,319836,324,0.001,136,2336,0.05058479422703385,1000.0,63.094249420000004,13.351660303115844,,
319793,320000,,0.001,,,0.053902288615703585,,,13.365241777420044,1000.0,955.0159543573857
322793,323836,328,0.001,136,2368,0.054178884729743006,1000.0,62.41593544000001,13.352529169082642,,
324793,325000,,0.001,,,0.0546771568339318,,,13.35487509727478,1000.0,974.2894304871559
326793,327836,332,0.001,136,2401,0.053922857208177445,1000.0,62.07198923,13.363913846969604,,
329793,330000,,0.001,,,0.051995084889233115,,,13.351027387619018,1000.0,971.6232153713703
330793,331836,336,0.001,136,2431,0.05262933839671314,1000.0,61.87947169,13.326645797729492,,
334793,335000,,0.001,,,0.05422941274382174,,,13.303819717407226,1000.0,977.3867308974266
,335836,340,,136,2464,,1000.0,61.62101933000001,,,
338793,339836,344,0.001,136,2485,0.04862429494038224,1000.0,61.163113349999996,13.240027421951295,,
339793,340000,,0.001,,,0.04895046881400049,,,13.233703565597533,1000.0,953.2815500557423
342793,343836,348,0.001,136,2517,0.05052491153217852,1000.0,60.76829471999999,13.214041198730468,,
344793,345000,,0.001,,,0.0518441916462034,,,13.207865776062011,1000.0,964.9772158920765
346793,347836,352,0.001,136,2549,0.04810126531124115,1000.0,60.438409969999995,13.185239349365235,,
349793,350000,,0.001,,,0.05190293100103736,,,13.096560298919679,1000.0,971.8512286245823
350793,351836,356,0.001,136,2583,0.0498207900095731,1000.0,60.23517948,13.074273885726928,,
354793,355000,,0.001,,,0.04629993596114218,,,13.043773010253906,1000.0,977.3808352172375
,355836,360,,135,2618,,1000.0,60.42327085000001,,,
358793,359836,364,0.001,136,2640,0.04849588117562234,1000.0,59.86880044,13.07328881072998,,
359793,360000,,0.001,,,0.04622084717638791,,,13.078843589782714,1000.0,967.7716819405556
362793,363836,368,0.001,136,2673,0.04942144620418549,1000.0,59.79375607000001,13.103595634460449,,
364793,365000,,0.001,,,0.12615139649808407,,,12.937820932388306,1000.0,937.6491826063022
366793,367836,372,0.001,135,2706,0.12269164104014635,1000.0,53.59213881000001,13.618702899932861,,
369793,370000,,0.001,,,0.13401215411350131,,,13.432433313369751,1000.0,969.0169246464968
370793,371836,376,0.001,135,2739,0.15709274988248945,1000.0,51.43052119,13.519310573577881,,
374793,375000,,0.001,,,0.061628229953348636,,,13.47217486000061,1000.0,963.244025272131
,375836,380,,135,2772,,1000.0,50.78478340000001,,,
378793,379836,384,0.001,135,2794,0.062069387521594764,1000.0,50.93986738999999,13.423469339370728,,
379793,380000,,0.001,,,0.06439391135424376,,,13.4292098903656,1000.0,934.2861712813377
382793,383836,388,0.001,135,2827,0.06522610020451247,1000.0,50.39223233,13.494589601516724,,
384793,385000,,0.001,,,0.06841384342685342,,,13.538449831008911,1000.0,965.0481713533402
386793,387836,392,0.001,135,2859,0.06375635243952274,1000.0,51.92465654000001,13.582551595687866,,
389793,390000,,0.001,,,0.06295918262191116,,,13.676307010650635,1000.0,951.3360777258873
390793,391836,396,0.001,135,2892,0.06300519015826285,1000.0,54.03405843,13.67933187675476,,
394793,395000,,0.001,,,0.05616929629817605,,,13.711910959243774,1000.0,947.5830156385898
,395836,400,,135,2925,,1000.0,53.94693193999999,,,
398793,399836,404,0.001,135,2947,0.05284125388227403,1000.0,54.69856237,13.680080129623413,,
399793,400000,,0.001,,,0.053959509119391444,,,13.69952558708191,1000.0,952.4256476223469
402793,403836,408,0.001,135,2981,0.05489379233121872,1000.0,54.36001618999999,13.727462272644043,,
404793,405000,,0.001,,,0.056515007171779874,,,13.765883184432983,1000.0,969.2522128164768
406793,407836,412,0.001,135,3014,0.056496789930388334,1000.0,54.441514270000006,13.754272792816161,,
409793,410000,,0.001,,,0.060305650195106864,,,13.756182451248169,1000.0,959.9300083458423
