time/total_timesteps,time/episodes,train/critic_loss,train/n_updates,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
2059,4,0.013280641790421214,1000,0.001,277,7,-859.6905872499999,0.20507164072990416,514.75,,
5000,,0.15633401127472038,4062,0.001,,,,2.8786014496318755,,-1002.8677933424711,1000.0
5121,8,,,,127,40,-1069.3735972499999,,640.125,,
8194,12,0.24487270444631576,8062,0.001,127,64,-1049.1046018333332,7.72324686908722,682.8333333333334,,
10000,,0.3677155943065882,9135,0.001,,,,8.586311943054199,,188.4035540827863,1000.0
12194,16,0.2940161122530699,11135,0.001,127,95,-913.3870645625,10.63831916999817,762.125,,
15000,,0.25316985207796094,14135,0.001,,,,13.087372482299804,,674.7731561390362,907.3
16194,20,0.23994464360177517,15135,0.001,125,129,-797.4222613499999,13.85212152671814,809.7,,
20000,,0.2266805296987295,19135,0.001,,,,16.693152988433837,,803.5275939699262,1000.0
20194,24,,,,123,163,-698.0428334583333,,841.4166666666666,,
24194,28,0.1748926935493946,23135,0.001,129,186,-616.9348492857143,18.271622371673583,864.0714285714286,,
25000,,0.15770245572179556,24135,0.001,,,,18.653955520629882,,848.1635583399329,1000.0
28194,32,0.1530421420633793,27135,0.001,126,222,-555.66770975,19.42774365234375,881.0625,,
30000,,0.13336250361055135,29135,0.001,,,,19.80318328475952,,841.0818620047532,1000.0
32194,36,0.13544884446635844,31135,0.001,125,256,-509.5015440555556,20.289492736816406,894.2777777777778,,
35000,,0.11476440673321485,34135,0.001,,,,20.76052812576294,,910.1642355814577,1000.0
36194,40,0.1292706424333155,35135,0.001,124,290,-468.9114440249999,20.86794659423828,904.85,,
40000,,0.10645993235707284,39135,0.001,,,,21.220096389770507,,920.8958182126283,1000.0
40194,44,,,,123,324,-435.02313527272725,,913.5,,
44194,48,0.0952116090171039,43135,0.001,127,346,-404.13990487499996,21.590199565887453,920.7083333333334,,
45000,,0.1029619831815362,44135,0.001,,,,21.662167388916014,,960.353222732246,1000.0
48194,52,0.10760114502534271,47135,0.001,126,380,-376.18356811538456,21.75713719558716,926.8076923076923,,
50000,,0.08858282643184066,49135,0.001,,,,21.82105389022827,,962.9684801638126,1000.0
52194,56,0.09045973897725344,51135,0.001,126,413,-351.81448825,21.84108429336548,932.0357142857143,,
55000,,0.07422489666566252,54135,0.001,,,,21.804017150878906,,940.3953129388392,1000.0
56194,60,0.07369589062780142,55135,0.001,125,446,-330.75987408333333,21.82404386138916,936.5666666666667,,
60000,,0.07355891264975072,59135,0.001,,,,21.732646949768068,,968.1172476768494,1000.0
60194,64,,,,122,489,-311.97885323437504,,940.53125,,
64194,68,0.06928739308565855,63135,0.001,123,519,-296.3930608676471,21.706966209411622,944.0294117647059,,
65000,,0.06915576676093042,64135,0.001,,,,21.69506217956543,,944.3654019594193,1000.0
68194,72,0.06664544930122793,67135,0.001,122,555,-282.2104601388889,21.625810661315917,947.1388888888889,,
70000,,0.06510664178058505,69135,0.001,,,,21.56436420440674,,955.1960834085942,1000.0
72194,76,0.06262525682151318,71135,0.001,121,592,-269.2013506447368,21.50695036697388,949.921052631579,,
75000,,0.0571235120780766,74135,0.001,,,,21.37950756072998,,975.0334950208664,1000.0
76194,80,0.057566539885476234,75135,0.001,122,620,-256.80238611249996,21.33739803314209,952.425,,
80000,,0.05328049872815609,79135,0.001,,,,21.17571063232422,,978.3335468530655,1000.0
80194,84,,,,122,655,-245.7894112023809,,954.6904761904761,,
84194,88,0.050392552956938744,83135,0.001,123,680,-235.645567,20.999124099731446,956.75,,
85000,,0.05146914373151958,84135,0.001,,,,20.957118461608886,,979.3940801620483,1000.0
88194,92,0.04945417344197631,87135,0.001,123,715,-226.3893959347826,20.832121826171875,958.6304347826087,,
90000,,0.04872200222313404,89135,0.001,,,,20.75228215408325,,976.206691288948,1000.0
92194,96,0.04709964128211141,91135,0.001,122,749,-217.86611902083328,20.671758838653563,960.3541666666666,,
95000,,0.04387175044231117,94135,0.001,,,,20.567747638702393,,984.0807716310024,1000.0
96194,100,0.044926500249654056,95135,0.001,122,787,-209.92374965999997,20.545893444061278,961.94,,
100000,,0.03979312561266124,99135,0.001,,,,20.442189460754395,,965.6893456101418,1000.0
100194,104,,,,121,823,-176.82583377999998,,981.35,,
104194,108,0.03956290471553803,103135,0.001,122,847,-126.3443246,20.344688209533693,990.73,,
105000,,0.04370499162189662,104135,0.001,,,,20.326231426239012,,976.4464584410191,1000.0
108194,112,0.045672789696604016,107135,0.001,122,881,-87.09019371000002,20.2671485748291,1000.0,,
110000,,0.04231636986881494,109135,0.001,,,,20.22407685470581,,976.6004612982273,1000.0
112194,116,0.03805928003042936,111135,0.001,122,918,-67.65658339000001,20.178428581237792,1000.0,,
115000,,0.04239751018956304,114135,0.001,,,,20.132151889801026,,972.7765955448151,1000.0
116194,120,0.037856207605451345,115135,0.001,122,950,-55.108848359999996,20.111398414611816,1000.0,,
120000,,0.040688207756727934,119135,0.001,,,,20.06656224822998,,958.7023749887943,1000.0
120194,124,,,,122,982,-48.11224709000001,,1000.0,,
124194,128,0.03737747161276638,123135,0.001,123,1005,-43.59532319000001,20.05068293762207,1000.0,,
125000,,0.039612697219476106,124135,0.001,,,,20.042936859130858,,971.2995810210705,1000.0
128194,132,0.03714511568658054,127135,0.001,123,1040,-39.440758300000006,20.015175888061524,1000.0,,
130000,,0.036627764036878944,129135,0.001,,,,20.008147636413575,,986.895444625616,1000.0
132194,136,0.040105800477787855,131135,0.001,123,1074,-34.62812667000001,20.000900184631348,1000.0,,
135000,,0.04447310351394117,134135,0.001,,,,19.996879947662354,,970.0384529411792,1000.0
136194,140,0.04011375653557479,135135,0.001,122,1108,-31.435034610000002,19.992873764038087,1000.0,,
140000,,0.03825770837068558,139135,0.001,,,,20.000901050567627,,986.5096294224262,1000.0
140194,144,,,,122,1141,-28.14922336000001,,1000.0,,
144194,148,0.03600006070546806,143135,0.001,123,1165,-26.20144545,19.979475204467775,1000.0,,
145000,,0.036668641328811646,144135,0.001,,,,19.974788749694824,,985.1097865879535,1000.0
148194,152,0.03846909870393574,147135,0.001,123,1201,-25.23315986,19.970908256530763,1000.0,,
150000,,0.03820282962918282,149135,0.001,,,,19.959843173980712,,986.0742629826069,1000.0
152194,156,0.033719506427645686,151135,0.001,123,1235,-24.6208487,19.956826320648194,1000.0,,
155000,,0.03758373927883804,154135,0.001,,,,19.921273277282715,,983.1165584266186,1000.0
156194,160,0.03840859909541905,155135,0.001,123,1269,-23.957172349999997,19.91240463256836,1000.0,,
160000,,0.033322241546586154,159135,0.001,,,,19.869849029541015,,982.3938521623611,1000.0
160194,164,,,,122,1303,-23.446918330000003,,1000.0,,
164194,168,0.037471223689615724,163135,0.001,123,1327,-22.246360910000003,19.833532890319823,1000.0,,
165000,,0.03783213445171714,164135,0.001,,,,19.82423014450073,,937.8148984849453,1000.0
168194,172,0.036579638911411166,167135,0.001,123,1361,-21.857189160000008,19.827926803588866,1000.0,,
170000,,0.036994802174158396,169135,0.001,,,,19.79125988769531,,972.783015203476,1000.0
172194,176,0.03451515108998865,171135,0.001,123,1395,-21.29491351,19.783666305541992,1000.0,,
175000,,0.037192910913378,174135,0.001,,,,19.795301376342774,,983.4281242311001,1000.0
176194,180,0.034569057989865544,175135,0.001,123,1429,-21.069953740000003,19.792295108795166,1000.0,,
180000,,0.038485678061842915,179135,0.001,,,,19.823286209106445,,987.1794965386391,1000.0
180194,184,,,,123,1464,-20.63652132,,1000.0,,
184194,188,0.03406193354912102,183135,0.001,123,1487,-20.368094000000003,19.797198497772218,1000.0,,
185000,,0.03518103986978531,184135,0.001,,,,19.794613636016845,,985.0594917535782,1000.0
188194,192,0.03380896733421832,187135,0.001,123,1522,-20.35996846,19.78039761734009,1000.0,,
190000,,0.04217203720659018,189135,0.001,,,,19.75709248352051,,984.5580696880818,1000.0
192194,196,0.03548004299774766,191135,0.001,123,1555,-20.458862480000004,19.71778946685791,1000.0,,
195000,,0.03523174307309091,194135,0.001,,,,19.7228000831604,,983.7523790121079,1000.0
196194,200,0.03707036263309419,195135,0.001,123,1588,-20.58709372,19.7157578125,1000.0,,
200000,,0.034397985266521575,199135,0.001,,,,19.725582481384276,,984.5485855698586,1000.0
200194,204,,,,123,1622,-19.9827728,,1000.0,,
204194,208,0.03400283369980753,203135,0.001,124,1645,-20.24928844,19.780806312561037,1000.0,,
205000,,0.03745195098500699,204135,0.001,,,,19.78760556793213,,984.3423691868782,1000.0
208194,212,0.03822671964019537,207135,0.001,124,1675,-19.784655770000004,19.816955673217773,1000.0,,
210000,,0.03842507902905345,209135,0.001,,,,19.85934399795532,,982.5185329318047,1000.0
212194,216,0.03756843515485525,211135,0.001,124,1706,-19.53884384,19.90475943374634,1000.0,,
215000,,0.04286440809629857,214135,0.001,,,,19.986775089263915,,983.6794613599777,1000.0
216194,220,0.03847723950818181,215135,0.001,124,1739,-19.64612007,20.014514873504638,1000.0,,
220000,,0.041009631514549255,219135,0.001,,,,20.106930309295656,,935.2130549192428,1000.0
220194,224,,,,124,1772,-19.907153119999997,,1000.0,,
224194,228,0.044836229326203465,223135,0.001,124,1795,-20.392304780000003,20.081546482086182,1000.0,,
225000,,0.04748011066578329,224135,0.001,,,,20.068261165618896,,965.7625527143479,1000.0
228194,232,0.2702831350415945,227135,0.001,124,1829,-32.05139697,20.319297515869142,1000.0,,
230000,,0.06946385093592107,229135,0.001,,,,20.545441543579102,,930.7801983833313,1000.0
232194,236,0.06193569821119309,231135,0.001,124,1864,-33.893987089999996,20.610812171936036,1000.0,,
235000,,0.06494758344069124,234135,0.001,,,,20.81881630706787,,951.7171709239483,1000.0
236194,240,0.0609119385946542,235135,0.001,124,1896,-35.50437978,20.903085124969483,1000.0,,
240000,,0.0701766793988645,239135,0.001,,,,21.243037143707276,,946.3094720184803,1000.0
240194,244,,,,124,1928,-37.08151925,,1000.0,,
244194,248,0.1255366527289152,243135,0.001,125,1949,-40.088454569999996,21.967203441619873,1000.0,,
245000,,0.11997762833535672,244135,0.001,,,,22.20650245285034,,889.2165857210755,1000.0
248194,252,0.0991711846627295,247135,0.001,125,1979,-43.684599289999994,22.68919881057739,1000.0,,
250000,,0.09100481984391809,249135,0.001,,,,22.792381706237794,,943.7603657066823,1000.0
