time/total_timesteps,time/fps,train/actor_loss,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,rollout/ep_rew_mean,train/n_updates,eval/mean_reward,eval/mean_ep_length
4000,241,-1.6064040633309633,16,0.03871248210035264,1000.0,4,0.001,-1140.97491625,3000,,
5000,,-1.8459453105926513,,0.10559483617544174,,,0.001,,4051,-86.5143413066864,35.4
5051,225,,22,,631.375,8,,-828.573535625,,,
6162,192,-3.669452742526406,31,0.2805806763078037,513.5,12,0.001,-671.7667968333333,6113,,
6464,193,-3.577151119709015,33,0.24937229737257346,404.0,16,0.001,-523.9516401249999,6400,,
9678,208,-4.513336495637894,46,0.21063361740112305,483.9,20,0.001,-336.01481414999995,8678,,
10000,,-5.370572028636932,,0.19992910223454238,,,0.001,,9678,729.2589326063637,1000.0
13678,178,-9.04893427658081,76,0.19228404364734888,569.9166666666666,24,0.001,-156.09544566666668,12678,,
15000,,-11.813433395385742,,0.23232747431844472,,,0.001,,14678,830.2813032925129,1000.0
17678,163,-14.79092601776123,108,0.26804792565852403,631.3571428571429,28,0.001,-13.792497000000013,16678,,
20000,,-19.42475989532471,,0.3263483642339706,,,0.001,,19678,933.819047343731,1000.0
21678,156,-20.980432064056398,138,0.34853228634595873,677.4375,32,0.001,95.90408565624998,20678,,
25000,,-27.705587211608886,,0.5436607267260551,,,0.001,,24678,884.2003691375255,1000.0
25678,151,,169,,713.2777777777778,36,,174.75834205555552,,,
29678,155,-34.5193983001709,191,0.959608175367117,741.95,40,0.001,242.13448132499997,28678,,
30000,,-36.378090789794925,,1.328857904970646,,,0.001,,29678,35.05662315140944,314.1
32696,155,-44.72810425567627,210,4.11428741145134,743.0909090909091,44,0.001,164.92314840909086,31696,,
35000,,-49.262306953430176,,2.835429083585739,,,0.001,,34696,611.5665163770434,1000.0
36696,152,-49.89508544921875,241,2.480935583412647,764.5,48,0.001,186.38059145833333,35696,,
40000,,-51.07124843597412,,1.956731772184372,,,0.001,,39696,758.6798003979027,901.6
40696,149,,271,,782.6153846153846,52,,226.94465973076922,,,
43312,150,-54.31152816045852,287,3.2033903683934892,773.4285714285714,56,0.001,195.33856217857146,42738,,
45000,,-56.2123454146915,,5.030882211927753,,,0.001,,44648,-110.36134231453761,725.2
45648,149,,304,,760.8,60,,180.3826625333334,,,
49648,152,-56.198457847595215,326,2.858242169737816,775.75,64,0.001,194.6022705,48648,,
50000,,-56.7364056930542,,3.680080070197582,,,0.001,,49648,790.3065444239066,1000.0
53648,149,-56.2311602935791,359,2.266720739245415,788.9411764705883,68,0.001,231.4277945147059,52648,,
55000,,-55.984961227416996,,2.03620188832283,,,0.001,,54648,875.4471249848605,1000.0
57648,146,-56.28269049072266,394,1.7765154844522477,800.6666666666666,72,0.001,265.0109719166667,56648,,
60000,,-56.35723547363281,,1.7774386410713197,,,0.001,,59648,908.4118344426155,1000.0
61648,143,-56.38937401580811,428,1.6020299473404884,811.1578947368421,76,0.001,295.5077128684211,60648,,
65000,,-56.60616352081299,,1.432383008480072,,,0.001,,64648,745.3129017169588,901.9
65648,141,,462,,820.6,80,,321.4506830125,,,
69648,143,-56.6094087600708,486,1.132449660629034,829.1428571428571,84,0.001,346.86715898809524,68648,,
70000,,-56.59975707244873,,1.0885362124443054,,,0.001,,69648,908.5670929372311,1000.0
73648,141,-56.43234729766846,522,0.9227837620973587,836.9090909090909,88,0.001,370.53199710227267,72648,,
75000,,-56.4035883102417,,0.8197768418639898,,,0.001,,74648,920.1170290837996,1000.0
77648,139,-56.31436876678467,557,0.7351641086190939,844.0,92,0.001,391.0802875760869,76648,,
80000,,-56.30022170257568,,0.6735554149150849,,,0.001,,79648,944.1870749477297,1000.0
81648,138,-56.00442247009277,591,0.9749356363415718,850.5,96,0.001,393.1762482291667,80648,,
85000,,-55.74793963623047,,0.7322874673306942,,,0.001,,84648,905.2814788326621,1000.0
85648,136,,626,,856.48,100,,411.5627351299999,,,
89648,137,-56.00992132568359,650,0.5966254760622978,856.48,104,0.001,493.07739152,88648,,
90000,,-56.17735452270508,,0.5904831191599369,,,0.001,,89648,937.6841240420938,1000.0
93648,136,-56.49484864807129,684,0.5155972999334335,885.97,108,0.001,549.4966825199999,92648,,
95000,,-56.810070762634275,,0.541573859423399,,,0.001,,94648,943.8521725317463,1000.0
97648,135,-57.079718757629394,719,0.49949508845806123,914.86,112,0.001,599.21029592,96648,,
