time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/learning_rate,eval/mean_reward,eval/mean_ep_length,train/actor_loss,train/n_updates,train/critic_loss
4,262.0,2,1048,158.86640674999998,448,,,,,,
,,,5000,,,0.001,739.816377646476,1000.0,-4.157141590118409,4000,0.09262037011235952
8,631.0,39,5048,-268.44292212499994,127,,,,,,
12,732.4166666666666,62,8789,-0.8783581666666294,140,0.001,,,-9.734810689926148,7741,0.1184765866920352
,,,10000,,,0.001,875.0509565711021,1000.0,-12.485690225601196,9741,0.11675085474550724
16,799.3125,99,12789,150.1267239375,128,0.001,,,-15.059411722183228,11741,0.11966469746083021
,,,15000,,,0.001,906.9008041828871,1000.0,-19.089694480895997,14741,0.12524648076295852
20,839.45,136,16789,247.99263885,123,0.001,,,-20.348516387939455,15741,0.12349881058186293
,,,20000,,,0.001,941.4004862368107,1000.0,-24.98473052597046,19741,0.1369016819447279
24,866.2083333333334,171,20789,311.2831945833334,120,,,,,,
28,878.7857142857143,193,24606,358.9298535000001,127,0.001,,,-29.266729000436648,23558,0.21298977657878998
,,,25000,,,0.001,945.6553714990616,1000.0,-30.276903949737548,24558,0.11862879130244255
32,858.125,224,27460,375.30833515625,122,0.001,,,-32.88124241638184,27089,0.37996006886661055
,,,30000,,,0.001,942.7171184360981,1000.0,-35.097369911193844,29412,0.2629039860293269
36,873.8888888888889,254,31460,408.4225828611111,123,0.001,,,-35.96382057952881,30412,0.2871723417788744
40,873.9,274,34956,427.57326785000004,127,0.001,,,-38.92571404266357,33908,0.24957865913957358
,,,35000,,,0.001,940.5379123568534,1000.0,-39.7545389251709,34908,0.3501769437789917
44,884.0909090909091,309,38900,449.95021418181824,125,0.001,,,-42.12539511871338,37852,0.3342731457054615
,,,40000,,,0.001,953.4715147316456,1000.0,-43.6703602142334,39852,0.24130949477106334
48,893.75,346,42900,470.0634229791667,123,0.001,,,-45.12830252075195,41852,0.27504373570531604
,,,45000,,,0.001,955.3199907004833,1000.0,-47.235708984375,44852,0.19799013283103706
52,897.25,382,46657,484.38116428846166,122,0.001,,,-47.86197677612304,45852,0.19329814545065166
,,,50000,,,0.001,971.0034926533699,1000.0,-50.31594641876221,49609,0.268274065926671
56,904.5892857142857,418,50657,496.9257762142857,121,,,,,,
60,910.95,443,54657,510.9205735333333,123,0.001,,,-52.609703125,53609,0.22141787397861482
,,,55000,,,0.001,971.7367567479611,1000.0,-53.19458689117432,54609,0.18093198554217815
64,916.515625,479,58657,523.3034225000001,122,0.001,,,-54.827181900024414,57609,0.19111400574445725
,,,60000,,,0.001,961.3423073470592,1000.0,-56.0360159072876,59948,0.2638032826520503
68,911.7058823529412,511,61996,527.0361956617649,121,0.001,,,-56.5649150390625,60948,0.3495555272176862
,,,65000,,,0.001,968.705462127924,1000.0,-58.35778063201904,64948,0.17497017526626588
72,916.6111111111111,545,65996,536.7570096111111,120,,,,,,
76,921.0,570,69996,545.3021576447369,122,0.001,,,-60.02680889892578,68948,0.23726506812870501
,,,70000,,,0.001,965.5921558976173,1000.0,-60.43413928222656,69948,0.23524882142990827
80,924.95,606,73996,553.1997304125,122,0.001,,,-61.580680114746094,72948,0.188473141040653
,,,75000,,,0.001,959.5212106406689,1000.0,-62.29688346099854,74948,0.25788737314194443
84,928.5238095238095,643,77996,559.9451021666666,121,0.001,,,-62.98644885253906,76948,0.22217580944299697
,,,80000,,,0.001,965.4411316871643,1000.0,-63.93205632781982,79948,0.18125743195414543
88,926.5227272727273,676,81534,562.602241,120,0.001,,,-64.1851078870128,80486,0.4021741174729229
,,,85000,,,0.001,969.9096600234509,1000.0,-65.27062998962403,84486,0.15997892108559608
92,929.7173913043479,713,85534,568.2044220978261,119,,,,,,
96,932.6458333333334,737,89534,573.4402796145833,121,0.001,,,-66.26969856262207,88486,0.3025039522536099
,,,90000,,,0.001,950.6805950760842,1000.0,-66.50363319396973,89486,0.20229449933767318
100,935.34,773,93534,578.20744874,120,0.001,,,-67.12838307189942,92486,0.19356187780946493
