train/learning_rate,train/n_updates,train/critic_loss,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,time/fps,eval/mean_reward,eval/mean_ep_length
0.001,2151,0.07408261474295957,4,787.75,15,3151,-1.8192555729548137,-881.2599984999999,208,,
0.001,4631,0.09061723356693983,,,,5000,-2.1806350909471512,,,-51.72349889259476,1000.0
0.001,5631,0.13337244443595409,8,828.875,49,6631,-3.9983452286720276,-471.13133774999994,132,,
0.001,9631,0.11975445617735386,,,,10000,-8.910202213287354,,,913.35328447707,1000.0
,,,12,885.9166666666666,88,10631,,-113.62556599999998,120,,
0.001,13631,0.1161736777573824,16,914.4375,113,14631,-14.21215425300598,69.90439656250001,128,,
0.001,14631,0.1189247813820839,,,,15000,-15.48020325088501,,,885.5180589497089,1000.0
0.001,17631,0.11304450000450016,20,901.45,151,18029,-19.325758129119873,166.33175440000005,118,,
0.001,19029,0.15467607352137566,,,,20000,-21.103366775512697,,,947.9480995714664,1000.0
0.001,21029,0.13686339484155177,24,917.875,186,22029,-23.558745124816895,247.084922375,118,,
0.001,24029,0.129824252769351,,,,25000,-27.07404662322998,,,939.3215045034885,1000.0
0.001,25029,0.13234315922111273,28,929.6071428571429,225,26029,-28.195661472320555,304.9913548571429,115,,
0.001,28328,0.5188706435985788,32,916.5,246,29328,-32.12006163279216,337.39451525000004,119,,
0.001,29328,0.1928090196400881,,,,30000,-32.727723556518555,,,949.2309661626816,1000.0
0.001,32328,0.20328784386441112,36,925.7777777777778,285,33328,-35.71356036376953,376.77384250000006,116,,
0.001,34328,0.16074053764343263,,,,35000,-37.55330928039551,,,960.8120146512986,1000.0
0.001,36328,0.1611972460746765,40,933.2,323,37328,-39.379991065979006,408.56706374999993,115,,
0.001,39328,0.12677667463198306,,,,40000,-41.98219762420654,,,959.3832801997662,1000.0
0.001,40328,0.13486815685406328,44,939.2727272727273,361,41328,-42.83433514404297,435.46210943181813,114,,
0.001,44328,0.1272721138894558,,,,45000,-46.063235748291014,,,963.4983449161052,1000.0
,,,48,944.3333333333334,400,45328,,454.17987850000003,113,,
0.001,48328,0.1247154470346868,52,948.6153846153846,425,49328,-48.830184425354005,472.62614761538464,115,,
0.001,49366,0.11897879721302736,,,,50000,-49.817711077238386,,,960.8533698379994,1000.0
0.001,51366,0.1903912271745503,56,935.1071428571429,457,52366,-50.82787948608399,477.51432398214286,114,,
0.001,54366,0.12860042000934482,,,,55000,-52.642135383605954,,,961.4916780889034,1000.0
0.001,55366,0.2320138614177704,60,939.4333333333333,495,56366,-53.2478091506958,492.2609132333333,113,,
0.001,59366,0.28673897752910854,,,,60000,-55.408105072021485,,,965.0657168269157,1000.0
,,,64,943.21875,533,60366,,504.8106126875,113,,
0.001,63250,0.22480921750888228,68,944.8529411764706,558,64250,-57.27410481262207,514.826240132353,115,,
