rollout/ep_len_mean,train/n_updates,train/learning_rate,time/total_timesteps,time/fps,train/actor_loss,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,eval/mean_reward,eval/mean_ep_length
42.0,33,0.001,168,468,1.397804044187069,4,-57.55876525000001,0,1.0125641524791718,,
164.5,1227,0.001,1316,143,2.0945876704321966,8,-261.047381,9,0.12412835636900531,,
124.91666666666667,1354,0.001,1499,147,2.4801628589630127,12,-196.14482991666668,10,0.08551074052229524,,
101.6875,1531,0.001,1627,143,2.8422650609697615,16,-157.6248165625,11,0.0933080551524957,,
99.35,1715,0.001,1987,153,3.1083438668932235,20,-148.28446294999998,12,0.17749597898251573,,
172.54166666666666,3068,0.001,4141,177,3.2500555129051207,24,-226.19490029166664,23,0.1276492150723934,,
162.25,4244,0.001,4543,150,2.167858875881542,28,-209.87064710714282,30,0.088847408646887,,
,4719,0.001,5000,,1.823493944108486,,,,0.09600007270248781,852.1503793358803,1000.0
181.0,,,5792,117,,32,-226.48726909375,49,,,
169.66666666666666,5917,0.001,6108,108,0.7400487462679545,36,-210.9971334722222,56,0.06258201238609129,,
164.175,6410,0.001,6567,110,0.399544548529845,40,-202.51292792499999,59,0.06580447851150643,,
155.0681818181818,6711,0.001,6823,111,0.25373560782860627,44,-190.79971577272727,61,0.06516073673794215,,
167.4375,7903,0.001,8037,115,-0.47307343284289044,48,-202.52863645833335,69,0.05200984748993434,,
164.0,8219,0.001,8528,118,-0.6279248641087458,52,-197.53722842307693,72,0.061502501792922805,,
162.08928571428572,8965,0.001,9077,118,-1.045641722281774,56,-194.36973673214285,76,0.060439395244981424,,
154.68333333333334,9168,0.001,9281,118,-1.110206690994469,60,-185.21277030000002,78,0.06192840686807894,,
146.578125,9296,0.001,9381,118,-1.1996122087751115,64,-175.50731351562501,79,0.05619769836110728,,
140.83823529411765,9474,0.001,9577,119,-1.2544079422950745,68,-168.40940052941178,80,0.06774152773009105,,
135.26388888888889,9635,0.001,9739,119,-1.3441650108857588,72,-161.40661755555556,81,0.07453941994092682,,
,9917,0.001,10000,,-1.5022105007636837,,,,0.06945872324995878,918.3136595726013,1000.0
131.75,,,10013,102,,76,-156.8184864342105,97,,,
127.0625,10010,0.001,10165,103,-1.6507321000099182,80,-151.0977941875,98,0.06823010928928852,,
126.69047619047619,10550,0.001,10642,104,-1.8746909911815937,84,-150.1866743095238,102,0.08641630138915318,,
123.67045454545455,10657,0.001,10883,105,-1.975360918045044,88,-146.2178513977273,103,0.08558065712451934,,
120.98913043478261,10981,0.001,11131,105,-2.200733494758606,92,-142.79805561956525,105,0.10876014899639856,,
137.16666666666666,13084,0.001,13168,109,-4.156360145568848,96,-160.37132159375003,120,0.21055486968159676,,
133.31,13233,0.001,13331,109,-5.071971599872295,100,-155.96102855,121,0.24401953141644317,,
134.34,13474,0.001,13602,110,-5.352276384830475,104,-156.77668788,123,0.3055637748911977,,
126.44,13813,0.001,13960,111,-5.6712866104566135,108,-142.12897951,125,0.3209074615285947,,
126.33,14006,0.001,14132,111,-6.061599204414769,112,-141.40378309999997,126,0.33416311581929525,,
,14059,0.001,15000,,-6.082521750376775,,,,0.31767211123457495,769.8444625586271,1000.0
146.0,15154,0.001,16227,106,-7.989108585176014,116,-163.44375419,152,0.380535842441931,,
144.03,16277,0.001,16390,102,-9.94175459543864,120,-160.84271923000003,160,0.4921542800241901,,
124.53,16499,0.001,16594,102,-10.339993000030518,124,-138.78911638000002,161,0.5873867474934634,,
131.86,17563,0.001,17729,104,-11.36954999923706,128,-147.04859098999998,169,0.583475668489933,,
122.72,17881,0.001,18064,105,-12.723860334842763,132,-137.23020543,171,0.5584830814286282,,
121.08,18128,0.001,18216,105,-13.194661053744229,136,-135.56611285000002,173,0.8808264190500433,,
118.11,18256,0.001,18378,105,-13.430075883865356,140,-132.43803796,174,0.7905815660953521,,
,19371,0.001,20000,,-14.604392189025878,,,,0.8092842405438423,531.7484439454914,1000.0
146.21,20371,0.001,21444,104,-16.38209171104431,144,-165.01473146,205,0.835832668185234,,
145.71,22508,0.001,22608,103,-20.243506141662596,148,-165.25621380999996,219,0.9780099847316742,,
142.71,22693,0.001,22799,103,-21.405347575312074,152,-161.94998203,220,0.907744935218324,,
149.52,23882,0.001,24029,104,-22.511121257781983,156,-170.48595262999999,229,1.235170735836029,,
,24039,0.001,25000,,-23.4490566814647,,,,1.1991492194287918,627.7506542979681,1000.0
158.76,25039,0.001,25157,99,-24.280120334625245,160,-181.32893063000003,253,1.26182665258646,,
179.57,27251,0.001,27338,101,-27.154140480041505,164,-205.85556858999996,270,1.3268856570124625,,
184.53,27851,0.001,28030,101,-28.16322152323313,168,-211.75548211,275,1.7209410364002125,,
,29112,0.001,30000,,-29.632312774658203,,,,1.5881901518865065,542.4852197284229,1000.0
204.46,,,30185,100,,172,-235.52938038,300,,,
205.74,30485,0.001,30587,98,-30.98525665283203,176,-237.31474122000003,309,1.723671644341712,,
209.31,30908,0.001,31096,99,-31.296410064697266,180,-241.61378358,312,1.9508137522321758,,
226.99,32268,0.001,33341,103,-32.45362502336502,184,-263.16733569999997,323,1.7314663249999285,,
229.61,33555,0.001,33844,102,-33.221347055937116,188,-266.60717175999997,331,1.977934191753338,,
230.6,34106,0.001,34191,101,-33.513547579447426,192,-268.11653782999997,335,1.8154796798464279,,
212.49,34329,0.001,34417,102,-33.598325764049186,196,-248.27317251,336,2.4965823878039113,,
,34385,0.001,35000,,-33.61576461791992,,,,2.7270036993957145,542.7496167344682,1000.0
232.36,35494,0.001,36567,101,-34.09499588012695,200,-271.60343416,361,2.455028819381644,,
232.1,36682,0.001,36812,99,-34.379703776041666,204,-271.30250265,369,2.169029931227366,,
231.89,37056,0.001,37149,99,-34.63010722569057,208,-271.2789831,371,2.7495188747133525,,
232.83,37293,0.001,37415,100,-34.79977299616887,212,-272.72040921,373,2.3478078482285984,,
214.3,37508,0.001,37657,100,-34.6374663511912,216,-251.83464657999994,375,2.976815037978323,,
217.29,37966,0.001,38119,100,-34.88813556137905,220,-255.23666551000002,378,2.6875303899919665,,
216.99,38210,0.001,38293,100,-35.17883231423118,224,-254.95560779,379,3.545929185368798,,
