time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/episodes,train/n_updates,train/learning_rate,train/actor_loss,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0,42.25,169,1228,-52.416019250000005,4,,,,,,
2,74.875,599,225,-115.85993825,8,483,0.001,1.6387252410252888,0.11343072096092834,,
8,143.25,1719,205,-220.03664458333333,12,1587,0.001,2.6488641103108725,0.061450806880990666,,
9,123.3125,1973,202,-186.2429165625,16,1863,0.001,3.126687581722553,0.06751494882283388,,
15,152.95,3059,200,-214.62326615,20,2941,0.001,3.1182512926018755,0.0813638998762421,,
21,177.04166666666666,4249,199,-234.90968108333337,24,4089,0.001,2.265596376525031,0.06182134027282397,,
23,164.10714285714286,4595,197,-215.04939546428574,28,4487,0.001,2.013048030436039,0.08943108870432927,,
,,5000,,,,4501,0.001,1.9832367726734705,0.08102438279560634,783.487225407362,1000.0
43,207.8125,6650,153,-258.89980415624996,32,6529,0.001,0.25856308319738935,0.049125987105071545,,
45,216.94444444444446,7810,171,-265.3087425555555,36,6716,0.001,0.17522182781249285,0.056180460502703984,,
51,221.8,8872,173,-268.195891175,40,7778,0.001,-0.5905325412750244,0.05213775920371214,,
55,204.79545454545453,9011,161,-247.20625904545452,44,8889,0.001,-1.1501851990109397,0.05781008909608042,,
,,10000,,,,8917,0.001,-1.1727224247796195,0.05447718580918653,884.1414095580578,1000.0
71,211.04166666666666,10130,142,-252.09331641666665,48,9959,0.001,-2.020900766054789,0.0697814730497507,,
71,197.42307692307693,10266,142,-235.40227821153846,52,10133,0.001,-2.1538636445999146,0.07914611659944057,,
73,203.19642857142858,11379,154,-240.46537944642856,56,10285,0.001,-2.2980311234792072,0.09468352962886134,,
79,195.96666666666667,11758,147,-231.59694434999997,60,11608,0.001,-4.059384076034322,0.1641360828652978,,
81,200.828125,12853,157,-235.88896201562497,64,11759,0.001,-4.339402914047241,0.1732884286902845,,
85,190.47058823529412,12952,150,-223.74831751470586,68,12825,0.001,-5.922542969385783,0.22222228806752425,,
87,184.75,13302,151,-216.88807879166666,72,13158,0.001,-6.331525578218348,0.24713491823743372,,
