time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
131,1704,0,32.75,-43.590517000000006,4,,,,,,
1312,215,6,164.0,-253.249285,8,1082,2.2277900955893775,0.09220876747911627,0.001,,
2423,189,12,201.91666666666666,-287.34840925,12,2307,2.80927850649907,0.06593912796905407,0.001,,
2637,190,13,164.8125,-230.7839325625,16,2524,2.8713301560458016,0.09625206800068126,0.001,,
2783,191,14,139.15,-193.03246855,20,2657,2.8185226009005593,0.10440480877600965,0.001,,
3908,239,16,162.83333333333334,-214.8153115,24,2819,2.7828175737744285,0.10844601778423085,0.001,,
5000,,,,,,4900,0.9901575446128845,0.054166351755460106,0.001,1000.0,820.8445431232452
5049,122,41,180.32142857142858,-228.2447925357143,28,,,,,,
5318,124,42,166.1875,-209.085056125,32,5189,0.7915013535269375,0.06837448644740828,0.001,,
6515,132,49,180.97222222222223,-221.6642612777778,36,6321,0.2537994950644206,0.07415732457302511,0.001,,
7634,136,55,190.85,-230.24350342500003,40,7500,-0.9752237677574158,0.063262335171825,0.001,,
7865,138,56,178.75,-215.26062290909093,44,7667,-1.0400698889385571,0.0783060489465361,0.001,,
9113,152,59,189.85416666666666,-226.0368818333333,48,8024,-1.2050806228931135,0.08498708350727191,0.001,,
9399,144,65,180.75,-214.43444874999994,52,9135,-2.1805721124013266,0.09834190675367911,0.001,,
10000,,,,,,9358,-2.417069980076381,0.11070701320256505,0.001,1000.0,831.1961590051651
10504,125,83,187.57142857142858,-221.0121307857143,56,10358,-2.9820606145858766,0.138132106654346,0.001,,
12014,127,94,200.23333333333332,-234.17024335,60,11635,-4.456137699127197,0.18473873092979193,0.001,,
12188,125,97,190.4375,-222.68459675000003,64,12076,-5.457941940852574,0.18772833049297333,0.001,,
12633,127,98,185.77941176470588,-216.7806319411765,68,12297,-5.688056098090278,0.20567573842249418,0.001,,
13754,126,108,191.02777777777777,-222.2016927361111,72,13621,-7.1844162940979,0.19437032975256444,0.001,,
14927,134,111,196.4078947368421,-227.42983639473684,76,13838,-7.457324288926035,0.25338210629404717,0.001,,
15000,,,,,,14852,-8.479387419564384,0.23922444134950638,0.001,1000.0,668.8837138630449
15146,114,132,189.325,-219.31189875,80,14993,-8.881568321814903,0.2446208690051679,0.001,,
15227,114,133,181.27380952380952,-209.98521798809526,84,15118,-8.930269082387289,0.2881826680639516,0.001,,
15457,114,135,175.64772727272728,-203.29653439772727,88,15345,-9.203688467702557,0.40258379824577817,0.001,,
16676,116,143,181.2608695652174,-209.23908409782607,92,16454,-9.978958776473998,0.33562314917147157,0.001,,
17744,117,151,184.83333333333334,-213.2692591458333,96,17619,-12.161067128181458,0.3398679337080787,0.001,,
18937,122,154,189.37,-218.24094283999995,100,17848,-12.506109343634712,0.4488694843123941,0.001,,
19035,118,161,189.04,-217.59173094,104,18932,-13.932899753252665,0.43562290009031907,0.001,,
20000,,,,,,18946,-13.979893275669642,0.4268024478639875,0.001,1000.0,732.4505450233817
21118,114,184,198.06,-222.80798196000003,108,20029,-15.592382467710054,0.46995062254509834,0.001,,
23344,113,205,209.21,-233.76068111999996,112,23109,-19.15495788192749,0.5573943853676319,0.001,,
24534,114,213,218.97,-245.11587472999997,116,24356,-20.717917339324952,0.6420270426273346,0.001,,
24695,114,215,219.12,-245.18576492,120,24592,-21.591419219970703,0.7329475600272417,0.001,,
25000,,,,,,24849,-21.87239280113807,0.7045193360402033,0.001,1000.0,723.6074917376042
25001,107,231,210.93,-235.81780761,124,,,,,,
26218,109,240,211.69,-237.66548819000002,128,26074,-23.20352266001147,0.7492889921332515,0.001,,
27509,110,248,221.91,-249.00259938,132,27358,-24.422971348186117,0.7816703635684693,0.001,,
27901,110,251,213.86,-240.62476109,136,27705,-24.758442878723145,1.2846523132817498,0.001,,
28090,111,253,204.56,-230.42993673,140,27952,-24.95767185904763,1.3425106350765672,0.001,,
28293,111,254,204.28,-230.14711167000002,144,28109,-25.12517809867859,0.9679747067391873,0.001,,
28679,111,256,195.66,-220.84954892000002,148,28524,-25.357633972167967,0.9583623886108399,0.001,,
30000,,,,,,29626,-25.96859312057495,0.9921002460718155,0.001,1000.0,604.2633000992239
30768,107,285,213.69,-241.39531187,152,30626,-26.69819207763672,0.9611753360331059,0.001,,
31896,108,293,213.92,-241.87721450000004,156,31745,-27.78466562124399,0.8646381364928352,0.001,,
33133,111,296,211.19,-239.06049054000002,160,32044,-28.092486304205817,1.084905193464176,0.001,,
34368,112,304,221.8,-250.77688357,164,33279,-28.862663576679846,0.9146204509081379,0.001,,
34498,111,310,218.65,-247.53395978999998,168,34390,-29.546907778139467,0.9833676759843473,0.001,,
34713,111,312,209.59,-237.55171940999998,172,34579,-29.800022467588768,1.135306329299242,0.001,,
35000,,,,,,34692,-29.727587643791647,0.9692208390025532,0.001,1000.0,678.527289058268
35967,107,334,210.4,-238.66040696999994,176,35768,-30.18876552581787,1.3143111483046883,0.001,,
37275,107,345,221.29,-250.46512163,180,37160,-30.82478281167837,1.045560009433673,0.001,,
37453,107,347,222.26,-251.75193312,184,37348,-31.023565899242055,1.050447472117164,0.001,,
39586,110,357,241.29,-272.58097527,188,38497,-31.310746688842773,1.2125299668312073,0.001,,
40000,,,,,,39555,-32.19265018809926,1.111496539219566,0.001,1000.0,703.6511424146593
40734,105,385,240.58,-271.83504576,192,40555,-32.35487448120117,1.086494795203209,0.001,,
41066,105,387,233.22,-263.45304382,196,40920,-32.917532730102536,1.0222871868233931,0.001,,
41197,105,388,222.6,-251.52068455,200,41031,-32.615718841552734,1.171206358075142,0.001,,
41610,106,391,225.75,-255.09297472000003,204,41494,-32.87838732942622,1.3242039326677986,0.001,,
41886,106,393,207.68,-234.53867019,208,41680,-32.75514929635184,1.5878143928669117,0.001,,
42092,106,395,187.48,-211.74342964,212,41975,-33.08871612548828,1.845919668674469,0.001,,
42358,106,397,178.24,-201.09041639999998,216,42238,-33.07049909844456,1.8021823081103239,0.001,,
42568,106,399,178.73,-201.78847134,220,42459,-32.975143804782775,2.028114081882849,0.001,,
42780,106,400,177.79,-200.6602402,224,42647,-33.15772859673751,2.125826137630563,0.001,,
42947,106,401,167.29,-188.43975714000004,228,42788,-33.30246373226768,2.6493395969674394,0.001,,
44803,108,414,172.94,-194.79714488,232,44652,-33.91090288162231,1.4475334075432789,0.001,,
45000,,,,,,44876,-33.92951384834621,1.5761370789873732,0.001,1000.0,743.9294138459488
46188,105,436,182.87,-205.32029654,236,45876,-34.00084451293945,1.6627130187153816,0.001,,
47380,106,446,192.9,-216.31736291,240,47270,-34.34310176086426,1.5317947548627853,0.001,,
47572,106,447,192.79,-216.17322203000003,244,47425,-34.529054505484446,1.8140558611069406,0.001,,
48854,107,456,201.75,-225.94497573000004,248,48708,-34.6054130859375,1.5649936518669127,0.001,,
49114,107,458,183.46,-205.2979093,252,48981,-34.832785914494444,1.8384641731968363,0.001,,
49371,107,460,174.75,-195.48621261999998,256,49222,-34.844889879226685,1.4458386907501826,0.001,,
49553,107,461,164.2,-183.71595697,260,49451,-34.94260438283285,2.0181378698349,0.001,,
49818,107,463,154.5,-173.07166604000005,264,49704,-34.88001609802246,1.5952522519863013,0.001,,
50000,,,,,,49729,-34.91124312082926,1.5001827144622804,0.001,1000.0,729.0409253776073
50924,105,484,164.26,-183.6511891,268,50799,-35.377671241760254,1.6086546705990303,0.001,,
53047,106,498,183.34,-204.30648804000003,272,52895,-35.612399927775066,1.5881435841321945,0.001,,
54210,107,506,182.43,-203.43535039000002,276,54046,-35.939050967876724,1.504904870893441,0.001,,
54532,107,508,172.57,-192.4788208,280,54399,-36.04994201660156,1.8802824507157008,0.001,,
54759,107,509,173.06,-192.75205003000002,284,54583,-36.31265735626221,1.3718580183657734,0.001,,
54959,107,511,153.73,-171.63609843999998,288,54831,-36.25336368267353,2.036234031885098,0.001,,
55000,,,,,,54870,-36.24106922149658,2.1056799537096267,0.001,1000.0,758.9617590944748
56311,105,531,155.77,-173.29474358,292,56116,-36.58630188197306,1.7187009642864095,0.001,,
57471,107,534,164.05,-182.25675148000002,296,56382,-36.57806037454044,1.2900148485646104,0.001,,
59602,108,549,184.05,-204.50559375,300,58513,-37.28770065307617,2.2226728286061967,0.001,,
59837,107,556,182.27,-202.38701679,304,59658,-37.568618059158325,2.343035476282239,0.001,,
60000,,,,,,59854,-37.546741192157455,2.1425182475493503,0.001,1000.0,666.6196055077947
60019,104,572,181.33,-201.19538216,308,,,,,,
60162,104,573,180.7,-200.52279254999996,312,60059,-37.68667245680286,1.6407554565914093,0.001,,
61326,105,582,189.68,-210.18137231999998,316,61131,-37.991692013210724,2.045360955927107,0.001,,
61512,105,583,189.44,-209.84855379999996,320,61360,-38.09602828979492,1.795970013141632,0.001,,
61627,105,585,188.47,-208.72344801,324,61518,-38.04955348968506,2.113971974605169,0.001,,
61811,105,586,188.64,-208.81908385,328,61676,-38.098971538054634,2.1882127399568434,0.001,,
61894,105,586,170.91,-189.12473923,332,61786,-38.373467127482094,1.4155532880262895,0.001,,
62212,105,588,160.24,-177.59977200999995,336,61959,-38.29879117012024,1.6712617110460997,0.001,,
62346,105,590,149.66,-166.11309648999998,340,62229,-38.292879558744886,2.5405544383185252,0.001,,
63703,106,599,161.31,-178.93789537,344,63435,-38.41983995819092,2.3501792244911193,0.001,,
64804,106,608,159.5,-177.08389051999995,348,64684,-38.832903348482574,2.456894099712372,0.001,,
65000,,,,,,64879,-39.101052856445314,2.0909268081188204,0.001,1000.0,608.2024297393393
65968,105,624,168.54,-187.01252510999998,352,,,,,,
66147,104,630,167.76,-186.15836841,356,66034,-39.09696578979492,1.830642032623291,0.001,,
66270,104,631,167.17,-185.48294413999997,360,66122,-39.11736068725586,2.4757646560668944,0.001,,
67405,105,638,175.87,-195.07198411000002,364,67255,-39.7257229198109,1.6155010949481616,0.001,,
67821,105,640,168.97,-187.49495492999995,368,67540,-39.74344380696615,1.8111522843440373,0.001,,
69071,106,650,160.24,-178.16722192000006,372,68964,-39.910774506244465,1.8986800061058753,0.001,,
69269,106,651,150.59,-167.43629696000005,376,69146,-40.019309743245444,1.8287321855624517,0.001,,
69375,106,652,148.43,-165.30629946999997,380,69269,-39.93773412704468,1.824101246893406,0.001,,
69824,106,654,150.65,-167.92039846,384,69580,-39.98131804630674,2.101375979444255,0.001,,
70000,,,,,,69867,-40.100127191254586,2.0899370177225634,0.001,1000.0,672.1863520605723
70053,104,670,150.94,-168.32511939,388,69943,-40.24991353352865,2.2402761856714886,0.001,,
70662,104,674,143.51,-160.61153215000002,392,70496,-40.54856803200462,2.845083870671012,0.001,,
71779,105,682,143.08,-159.97777737,396,71657,-40.4668946762085,2.5053498277664183,0.001,,
71969,105,684,123.67,-138.30907390000004,400,71853,-40.62766647338867,2.9472665855517755,0.001,,
72484,105,686,126.47,-141.54208144,404,72087,-40.56201180544767,2.59593985522731,0.001,,
73803,105,696,137.84,-153.93969106999998,408,73606,-41.06785897647633,2.341432912092583,0.001,,
74071,105,699,139.09,-155.38742462,412,73931,-41.171303537156845,2.5960966528278506,0.001,,
74673,106,701,133.47,-149.56433701999998,416,74183,-41.20652348654611,2.3230601904685035,0.001,,
74823,106,704,133.11,-149.18954910000002,420,74712,-41.33038544654846,2.2244031839072704,0.001,,
75000,,,,,,74891,-41.189828378182874,2.834124591372429,0.001,1000.0,538.758417528891
75047,104,719,134.2,-150.28144403000002,424,74932,-41.27367964245024,2.67843759059906,0.001,,
75297,104,721,134.86,-151.10403883,428,75117,-41.12267220538595,2.5335177494132,0.001,,
76493,105,724,145.99,-163.25888419,432,75404,-41.30986919403076,2.6929639914096932,0.001,,
77795,105,737,155.83,-174.27550709000002,436,77559,-41.727316612243655,2.711067232966423,0.001,,
78081,105,740,157.35,-175.82975052,440,77979,-41.96322527323684,2.6486343194027335,0.001,,
78264,105,741,145.61,-162.97043254000002,444,78160,-41.87143882115682,2.551609325916209,0.001,,
78388,105,742,135.84,-152.06225807,448,78264,-41.954650477359166,3.4958570725039433,0.001,,
78604,105,743,126.36,-141.7333716,452,78484,-42.13469352722168,2.4622291514748023,0.001,,
78842,105,744,126.95,-142.38587914,456,78725,-41.96263241767883,2.8286986170393047,0.001,,
