train/n_updates,train/actor_loss,time/total_timesteps,time/time_elapsed,train/critic_loss,time/episodes,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/learning_rate,eval/mean_ep_length,eval/mean_reward
77,1.233954713532799,1138,1,0.5140691534071774,4,284.5,864,-470.08484075,0.001,,
1207,2.2097072387352967,1409,5,0.1474067442402055,8,176.125,234,-282.08873975,0.001,,
2462,2.577445960044861,2673,12,0.10606090560302896,12,222.75,219,-316.3999421666667,0.001,,
3113,2.3326845251280686,4174,16,0.10688175582166376,16,260.875,257,-338.0832039375,0.001,,
4134,1.402126128023321,5000,,0.060631882754110154,,,,,0.001,1000.0,774.988002385199
5213,0.6153415548495758,5311,33,0.06277324622379074,20,265.55,156,-333.3245348,0.001,,
5364,0.5477626298864683,5528,34,0.07304120281090339,24,230.33333333333334,158,-288.1091072916667,0.001,,
5672,0.368397902358662,5772,36,0.06591904044828632,28,206.14285714285714,159,-256.45897775000003,0.001,,
6780,-0.029220822983654218,6955,41,0.07249373973160982,32,217.34375,167,-265.2336695625,0.001,,
7951,-0.9471070369084676,8033,47,0.05854184759987725,36,223.13888888888889,169,-268.1407806944444,0.001,,
8074,-1.027380947409005,8152,47,0.06666359941250291,40,203.8,169,-244.53054204999998,0.001,,
8259,-1.096336368471384,8390,48,0.07839885936118662,44,190.6818181818182,171,-228.38263809090904,0.001,,
8601,-1.2477499757494246,8815,50,0.07745177927426994,48,183.64583333333334,174,-219.29770460416668,0.001,,
8923,-1.4180657500806062,9014,52,0.08132503100711366,52,173.34615384615384,172,-206.56599176923075,0.001,,
9207,-1.612788023772063,9315,53,0.08642265193716243,56,166.33928571428572,173,-197.59899523214287,0.001,,
9340,-1.6996380746364594,9471,54,0.09239369372908886,60,157.85,174,-187.28574866666668,0.001,,
9615,-1.8591611300195967,9759,55,0.10284602276065893,64,152.484375,175,-180.41918870312503,0.001,,
9850,-2.0040567164518395,10000,,0.10666037578972018,,,,,0.001,1000.0,878.682014042139
10850,-2.599113361120224,10933,70,0.13981160101294518,68,160.77941176470588,154,-188.584564,0.001,,
11979,-4.876260578632355,12133,76,0.2355712923933478,72,168.51388888888889,157,-196.77317079166667,0.001,,
12229,-5.01846466308985,13290,78,0.2730214182711855,76,174.8684210526316,168,-203.40457106578947,0.001,,
13359,-6.707370801405474,13538,83,0.3374421081759713,80,169.225,161,-196.80613167500002,0.001,,
13570,-6.808656493822734,13667,84,0.37426677087078924,84,162.70238095238096,161,-189.12679691666668,0.001,,
13768,-7.015205521737376,13885,85,0.3756693914051979,88,157.7840909090909,161,-183.43994144318182,0.001,,
14866,-7.896096826553345,15000,,0.4091921864449978,,,,,0.001,1000.0,657.9126557793177
,,15927,101,,92,173.1195652173913,157,-200.63789361956518,,,
16014,-10.176816603716683,16102,106,0.4711726097499623,96,167.72916666666666,151,-194.23457054166667,0.001,,
16223,-10.461305005209786,16335,107,0.5427976846694946,100,163.35,152,-189.23133907,0.001,,
16559,-10.724283896201898,16677,108,0.560559895289831,104,155.39,153,-174.30907156,0.001,,
16795,-11.271913788535379,16877,109,0.5567874921692743,108,154.68,153,-172.91852524,0.001,,
17941,-12.143253116607665,18019,115,0.6464605086743832,112,153.46,156,-170.85132054000002,0.001,,
19042,-14.343580968452223,19113,121,0.773991027703652,116,149.39,157,-167.34887416,0.001,,
19052,-14.316757583618164,20000,,1.0366626024246215,,,,,0.001,1000.0,683.1238113221247
21126,-16.97053497314453,21334,140,0.8805896797180176,120,160.23,152,-180.43839224999996,0.001,,
22350,-19.39664008400657,22491,146,1.0137703674180167,124,169.63,153,-191.40916759000004,0.001,,
22776,-20.187778415101945,22979,148,1.3638561138739953,128,172.07,155,-194.49175184000003,0.001,,
23016,-20.695118522644044,23303,149,1.296045604505037,132,163.48,156,-185.19699638999998,0.001,,
23439,-21.33176037802625,24500,152,1.5031826576190208,136,164.67,161,-187.05342005,0.001,,
24439,-22.323070430755614,25000,,1.6341880573034286,,,,,0.001,1000.0,550.324286098202
26576,-25.928200702667237,26658,175,1.9483107892274856,140,185.06,151,-211.22910868,0.001,,
26971,-27.268380440606013,27081,177,2.2738867243131002,144,186.91,152,-213.72660456000003,0.001,,
27242,-27.6293308306963,27339,178,2.8212476869424186,148,185.24,152,-212.0854721,0.001,,
28394,-28.70659656906128,28486,184,2.6910925476551055,152,194.72,154,-223.51099244,0.001,,
29591,-31.312783390283585,29806,190,3.5709221122800843,156,204.91,156,-236.6422056,0.001,,
29745,-31.44567566413384,30000,,3.3133246619980055,,,,,0.001,1000.0,455.76099054751757
30978,-32.82020943832397,31178,206,3.7921639969348906,160,217.07,151,-251.35396367,0.001,,
31414,-34.16169854572841,31660,208,4.302911230495998,164,219.01,152,-253.97879621,0.001,,
31776,-34.96262686593192,31884,209,4.126058395092304,168,209.51,151,-243.94122234000002,0.001,,
32447,-35.61609209500826,32580,213,5.411279152454942,172,204.47,152,-238.99961498000002,0.001,,
32884,-36.29199077772058,32998,215,5.366831149743951,176,197.08,153,-231.07277326000002,0.001,,
33916,-37.24953406197684,34977,221,5.241471272248488,180,214.39,158,-252.44678398999997,0.001,,
34916,-37.55793476104736,35000,,5.600795055866241,,,,,0.001,1000.0,445.12693456844426
35981,-39.282785186767576,36069,238,6.882755641937256,184,224.02,151,-264.49819059000004,0.001,,
37232,-39.0501018447876,37430,244,6.773100424528122,188,235.45,153,-278.71774863999997,0.001,,
37685,-39.31492394916082,37863,246,7.420667746487786,192,219.36,153,-261.17564484999997,0.001,,
39898,-39.601517990112306,40000,,6.973819798707962,,,,,0.001,1000.0,366.32998532956697
,,40027,266,,196,239.25,150,-286.33355948999997,,,
40272,-39.76739902031131,40370,268,7.48072219918842,200,240.35,150,-287.86853763,0.001,,
40616,-39.93201020184685,40765,269,7.181535080367444,204,240.88,151,-288.87317948,0.001,,
41768,-39.861555694580076,41856,275,8.331715373516083,208,249.79,152,-300.50830076,0.001,,
42306,-40.00762462615967,42494,278,7.743253090164878,212,244.75,152,-295.28175437,0.001,,
42755,-39.418127144707576,42898,280,8.791089513566758,216,237.85,153,-288.09634673,0.001,,
43945,-38.60151412270286,45000,,7.432152710177681,,,,,0.001,1000.0,347.43928893779014
,,45006,295,,220,236.72,152,-288.89050566,,,
45035,-38.10980551583426,45249,300,6.734609092984881,224,227.58,150,-278.61798187999995,0.001,,
45336,-37.748803244696724,45549,301,6.725902199745178,228,225.7,150,-276.53702936,0.001,,
46607,-37.09458499526978,46695,307,7.711663081169128,232,233.92,151,-287.14909179,0.001,,
47740,-36.05819900512695,47939,313,6.69787522315979,236,234.39,153,-289.19520059,0.001,,
48103,-35.88954322568832,48187,315,8.449459980010987,240,215.29,152,-266.90206396,0.001,,
48822,-35.25994957371762,48899,318,7.503956817445301,244,218.18,153,-270.74416878000005,0.001,,
48978,-35.11969542503357,49062,319,8.854494571685791,248,217.23,153,-269.72493869000004,0.001,,
49397,-35.09151291673201,49549,321,8.101175055886706,252,210.63,154,-262.06765522,0.001,,
49499,-33.733258438110354,50000,,6.275384426116943,,,,,0.001,987.1,473.18149192848944
51499,-33.05886841583252,52560,340,6.331368929862976,256,227.54,154,-282.27704084,0.001,,
52655,-31.414777194752414,52814,345,6.555664693608003,260,216.36,152,-269.0210031099999,0.001,,
52947,-30.763385411855335,53085,347,5.694908693030074,264,214.25,152,-266.83244529,0.001,,
53161,-31.39373557632034,53256,348,6.427126251856486,268,213.72,152,-266.27749138,0.001,,
53689,-31.17048992216587,53766,350,6.456642971892301,272,211.86,153,-264.1145863,0.001,,
54785,-29.869905742645265,54931,356,6.095854698419571,276,219.33,154,-273.07099875,0.001,,
54870,-29.916894602221113,55000,,4.887067822849049,,,,,0.001,932.9,402.13109038079057
55984,-28.50799576441447,56068,370,5.48772754934099,280,210.91,151,-262.20316808,0.001,,
56416,-27.662963790893556,56491,372,5.164624146052769,284,204.22,151,-253.82151274000003,0.001,,
56690,-27.502383570517264,56762,373,5.742069088044714,288,193.32,152,-240.42431402000005,0.001,,
57987,-26.746430225372315,58067,379,5.185976813554764,292,202.04,152,-249.83222909,0.001,,
58239,-26.328140653412916,59300,382,5.357918944852106,296,192.73,155,-236.8349434,0.001,,
59525,-25.27605996131897,60000,,4.519121491390726,,,,,0.001,1000.0,441.2340954368989
60525,-24.562198562622072,61586,402,4.1985620312690735,300,212.16,153,-259.08882858,0.001,,
61693,-22.88260214669364,62754,408,3.6664676912899674,304,219.89,153,-267.29957596,0.001,,
62958,-22.57724323272705,63049,413,4.0866913318634035,308,211.93,152,-256.8674534,0.001,,
64046,-21.718465169270832,64137,418,3.268443300610497,312,216.43,153,-261.154007,0.001,,
64076,-21.30642992655436,65000,,3.6119170347849527,,,,,0.001,1000.0,458.36624121291095
65096,-21.540764808654785,65197,433,3.4016137664968316,316,222.99,150,-268.07301032000004,0.001,,
66173,-20.364008853912352,66306,438,3.137174968242645,320,213.0,151,-254.20791646,0.001,,
67374,-19.885050964355468,67462,444,2.7048889875411986,324,222.13,151,-264.20430792,0.001,,
68564,-19.35238030377556,68668,449,2.4451422438477026,328,231.19,152,-274.3748248,0.001,,
69765,-19.209282330104283,69861,455,2.369754467691694,332,231.66,153,-273.34691914,0.001,,
69911,-19.080704896346383,70000,,2.871094447501162,,,,,0.001,1000.0,408.629848085143
,,70008,465,,336,220.69,150,-259.55086201,,,
70995,-18.161248916625976,71159,470,2.429742006421089,340,229.72,151,-269.10014078000006,0.001,,
71349,-18.04540165265401,71454,472,2.2728934610883393,344,225.55,151,-263.75053926,0.001,,
71526,-18.45216808319092,71629,473,3.293851482240777,348,225.67,151,-263.52969473999997,0.001,,
71670,-18.045453731830303,72731,474,2.127564576955942,352,231.82,153,-269.77904749000004,0.001,,
73780,-17.603532915115355,73925,484,2.081850318670273,356,213.65,152,-247.11160878000007,0.001,,
74178,-17.3153537040533,74294,486,2.262593757274539,360,214.8,152,-248.34992304000002,0.001,,
74460,-17.21557260596234,74572,487,2.2205096690551094,364,214.87,152,-248.00356432,0.001,,
74609,-17.625649134318035,74688,488,2.768209546804428,368,214.32,152,-247.07930925999997,0.001,,
74933,-17.478880489573758,75000,,2.0833941689372932,,,,,0.001,1000.0,530.3766391999922
74959,-17.65069477374737,76020,499,2.0793437086618862,372,222.54,152,-256.12265256999996,0.001,,
77180,-17.269350087201154,77272,509,1.756653020411362,376,223.41,151,-256.04857422,0.001,,
77273,-17.332261902945383,77471,509,1.9078421337263924,380,214.03,151,-244.98450060999997,0.001,,
77570,-17.2750254044166,77645,511,1.8498440522413988,384,211.54,151,-241.99999386999997,0.001,,
77739,-17.043048005355033,77864,512,1.8413335398623818,388,211.02,152,-241.21248362999998,0.001,,
77945,-17.186403342655726,78114,513,1.900950838779581,392,200.47,152,-229.15379916000006,0.001,,
78316,-17.524200439453125,78486,515,2.393479958628163,396,191.86,152,-219.40829786999998,0.001,,
79502,-17.319932733535765,79613,521,1.9405193434357644,400,180.27,152,-205.65119602000001,0.001,,
79552,-17.39416831970215,80000,,1.7676432466506957,,,,,0.001,1000.0,586.2931120777736
80752,-17.423391552858575,80838,535,1.7624041749987491,404,180.84,150,-206.11372314999997,0.001,,
81820,-17.40150224685669,81898,540,1.830334748506546,408,188.49,151,-214.48346223999997,0.001,,
81993,-17.907666206359863,82152,541,1.633901562690735,412,180.15,151,-205.03749572,0.001,,
83157,-17.60346391926641,83302,547,1.5992737503155419,416,181.05,152,-205.35164476999995,0.001,,
84313,-18.056626955668133,84497,553,1.6716339190800984,420,181.91,152,-206.31379786000002,0.001,,
84740,-17.932601106276206,84831,555,1.5880747459451174,424,173.69,152,-197.03558017,0.001,,
84879,-18.04877792705189,85000,,1.743373571501838,,,,,0.001,1000.0,577.9229253744959
84976,-18.018489604093592,85150,565,1.5847999029552813,428,164.82,150,-186.88445355,0.001,,
85575,-18.16105852629009,85800,568,1.7284309911100488,432,159.39,151,-180.98031338000004,0.001,,
85847,-18.173852040217472,85961,569,1.6514392816103423,436,159.53,150,-181.09130435999995,0.001,,
85964,-18.14561388227675,86039,569,1.6841879265648978,440,148.8,150,-169.37026262,0.001,,
86211,-18.400233459472656,86324,571,2.1468484962687775,444,148.7,151,-169.26138192,0.001,,
86365,-18.402228900364467,86450,571,1.7432889650607932,448,148.21,151,-168.88955825000005,0.001,,
87480,-18.858032621186354,87631,577,1.566899912399158,452,149.0,151,-169.85729691999998,0.001,,
87794,-19.024000697665745,87879,578,1.5989745408296585,456,139.54,151,-158.74836160999996,0.001,,
87871,-18.915874481201172,87963,579,1.705258748110603,460,136.69,151,-155.30966665999998,0.001,,
89060,-19.061842727661134,89201,584,1.7532509982585907,464,146.29,152,-165.98345826000002,0.001,,
89200,-19.093004608154295,90000,,1.602344630161921,,,,,0.001,1000.0,644.114250739527
91200,-19.742313861846924,91451,604,1.5387699321508408,468,167.63,151,-189.84074214999998,0.001,,
93496,-20.502314380645753,93575,616,1.5046707383990288,472,175.55,151,-197.61182756000002,0.001,,
93821,-20.88503424326579,93898,617,1.4612944026788075,476,166.26,152,-187.50392329999994,0.001,,
94073,-20.97299934835995,94162,618,1.4783985053283581,480,166.91,152,-188.23527234000002,0.001,,
94240,-21.01257568856944,94332,619,1.7493725812042153,484,166.87,152,-188.02263992000005,0.001,,
94577,-21.037775896908194,94662,621,1.490977367323436,488,167.98,152,-189.39167274,0.001,,
94709,-21.115465247112773,94826,621,1.873806426058645,492,167.12,152,-188.31436277000003,0.001,,
94875,-21.176374253772554,94980,622,1.640480936992736,496,164.94,152,-185.80082686000003,0.001,,
94919,-21.288258032365277,95000,,1.4254725507714532,,,,,0.001,1000.0,587.7395361388772
96019,-21.668055407206218,96135,636,1.5096314777930577,500,165.22,150,-185.85474288,0.001,,
97233,-22.116087251239353,97328,642,1.5752022558245165,504,164.9,151,-185.50057615999998,0.001,,
98387,-22.489819522857665,98490,648,1.5365559399724007,508,165.92,151,-186.51583960000005,0.001,,
98595,-22.720295979426457,98759,649,1.5420494675636292,512,166.07,152,-186.59120956000004,0.001,,
99869,-23.479674530029296,100000,,1.3276077963057018,,,,,0.001,1000.0,608.149277918593
,,100930,665,,516,176.28,151,-197.57556249,,,
101963,-24.23868682167747,102056,674,1.3508123321966692,520,175.59,151,-196.38400207000004,0.001,,
102196,-24.375981203715007,102359,675,1.6058860663640298,524,175.28,151,-196.02044013,0.001,,
102433,-24.603295163410465,102613,677,1.5847739060241055,528,174.63,151,-195.3730921,0.001,,
103714,-25.018508499145508,103851,683,1.5938044592142104,532,180.51,151,-201.48729237999999,0.001,,
103934,-25.345784829587352,104040,684,1.3433496276127923,536,180.79,151,-201.88334880000002,0.001,,
104070,-25.26836597919464,104152,685,1.5142625051160012,540,181.13,151,-202.14698254000004,0.001,,
104537,-25.541445686156493,104679,687,1.6518405885309786,544,183.55,152,-204.79785239999998,0.001,,
104821,-25.764412959416706,104892,688,1.5355842475233408,548,184.42,152,-205.67243331999998,0.001,,
104859,-25.73030390058245,105000,,1.62590334883758,,,,,0.001,1000.0,587.5879965502157
105971,-26.081951469421387,106065,703,1.6583693830370902,552,184.34,150,-205.35617680999997,0.001,,
106107,-26.395903214164402,106181,704,1.7377601071544315,556,183.02,150,-203.77351198999997,0.001,,
106264,-26.43550241404566,106415,705,1.6782723665237427,560,184.52,150,-205.48476262999998,0.001,,
106622,-26.52175734215176,106900,707,1.7367779004205133,564,176.99,151,-197.42301335,0.001,,
107016,-26.703965135054155,107119,709,1.921349477226084,568,156.68,150,-174.85254516,0.001,,
108133,-27.086915969848633,108219,714,1.4700934115578146,572,146.44,151,-163.81827851999998,0.001,,
108290,-27.645154432816938,108422,715,1.5664677846999395,576,145.24,151,-162.36817765,0.001,,
109420,-27.82289168948219,109662,721,1.7092492609489254,580,155.0,152,-173.18213824999998,0.001,,
109601,-27.85285324520535,110000,,1.7250479677105477,,,,,0.001,1000.0,701.4984524934086
111652,-28.626816219329832,111749,740,1.6422269693017006,584,174.17,150,-194.38274045999998,0.001,,
111861,-29.139100029355003,111988,741,1.5471516875993638,588,173.26,151,-193.08994182999996,0.001,,
112205,-29.267981719970702,112304,742,1.576929912155057,592,174.78,151,-194.83548533,0.001,,
112436,-29.013864864002574,112522,743,1.6215196233529312,596,175.42,151,-195.58211495999996,0.001,,
112525,-28.98940944671631,112600,744,1.9357928410172462,600,164.65,151,-183.73567205000003,0.001,,
112660,-29.12146422203551,112758,745,1.8597625173548216,604,154.3,151,-172.39898093,0.001,,
112922,-29.248445864076967,113000,746,1.7926917605929904,608,145.1,151,-162.27574855,0.001,,
113986,-29.452770233154297,114069,751,1.6765606318201338,612,153.1,151,-171.2504645,0.001,,
114084,-29.503414756373356,115000,,1.77215249914872,,,,,0.001,1000.0,603.0691234728263
115133,-30.0747172832489,115222,765,1.5103997454351308,616,142.92,150,-160.37169853999998,0.001,,
116284,-30.520519856044224,116465,771,1.8874319774517114,620,144.09,150,-161.89906683,0.001,,
116515,-30.794919674213116,116607,772,1.853285734470074,624,142.48,150,-160.0513308,0.001,,
116695,-30.7117168991654,116888,773,1.8135140714821991,628,142.75,151,-160.22274029999997,0.001,,
117252,-30.8030528452859,117351,776,1.8698738020165522,632,135.0,151,-152.3842761,0.001,,
117457,-31.123937606811523,118518,778,1.5309518690292652,636,144.78,152,-163.04886192,0.001,,
118663,-31.47661760875157,118801,783,1.487144221152578,640,146.49,151,-165.12692298000002,0.001,,
118852,-31.418424494126263,118926,783,1.7160703171701992,644,142.47,151,-160.58152557,0.001,,
119050,-31.610492161342076,119178,785,2.2700204849243164,648,142.86,151,-161.09198764,0.001,,
119337,-31.45364404336,119460,786,1.6252232086964142,652,133.95,151,-151.45884469,0.001,,
119628,-31.58443066052028,119787,787,2.082865722477436,656,136.06,152,-154.00979013,0.001,,
119850,-31.61710810661316,120000,,1.7968330206349492,,,,,0.001,1000.0,525.4089400395751
,,120911,798,,660,144.96,151,-163.84380185999999,,,
121888,-32.65111446380615,122949,809,1.9314435979594355,664,160.49,151,-180.31745703,0.001,,
123036,-33.14931460789272,123171,813,1.7376159571465992,668,160.52,151,-180.31281440000004,0.001,,
124165,-33.30341039276123,124300,819,1.8527553698420525,672,160.81,151,-180.70032715000002,0.001,,
124816,-33.638056506281316,124899,822,1.753953964060003,676,164.77,151,-184.97511869,0.001,,
124838,-33.479190999811344,125000,,1.697327202016657,,,,,0.001,1000.0,631.4547329297814
125964,-34.18683012476507,126162,836,1.8030063082587044,680,165.0,150,-185.01415028,0.001,,
126215,-34.08091693454318,126309,837,1.9985127581490412,684,145.6,150,-163.54289663,0.001,,
126477,-34.20156127214432,127538,839,1.8017880805703097,688,155.5,151,-174.59988554,0.001,,
