train/learning_rate,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,train/n_updates,time/total_timesteps,train/actor_loss,time/fps,eval/mean_ep_length,eval/mean_reward
0.001,4,755.5,-592.36195375,13,0.085336470680142,2022,3022,-4.777926011518999,224,,
0.001,8,523.75,-705.437009375,24,0.44332184529665747,4155,4190,-3.1037204265594482,174,,
0.001,,,,,0.41954428042684283,4190,5000,-3.0284142361746893,,740.6,-674.1062744558033
0.001,12,519.6666666666666,-511.31621,42,0.43307799597581226,6211,6236,-3.4631195068359375,147,,
0.001,16,396.3125,-397.7316993125,42,0.5056167585509164,6326,6341,-2.9494427272251675,147,,
0.001,20,329.05,-338.56151695,43,0.6431202045508794,6495,6581,-2.6534990002127254,149,,
0.001,,,,,0.48208221447467803,9581,10000,-2.239555634498596,,1000.0,429.35932546597905
,24,440.875,-232.1324383333333,70,,,10581,,149,,
0.001,28,520.75,-127.11673199999998,92,0.5125197818875313,13581,14581,-3.2794246938228606,158,,
0.001,,,,,0.649410693347454,14581,15000,-3.854729252576828,,902.9,373.7858014269732
0.001,32,580.65625,-49.0755538125,123,0.8063911716043949,17581,18581,-4.635924050807953,150,,
0.001,,,,,0.6034724473059178,19581,20000,-4.007909929513931,,1000.0,644.7328924360685
0.001,36,627.25,33.1312225,156,0.49460835763812067,21581,22581,-4.579860779285431,144,,
0.001,,,,,0.49827623020112516,24581,25000,-6.075700744628906,,1000.0,556.4928156689275
0.001,40,664.525,91.62401179999999,190,0.4990277877599001,25581,26581,-6.499038017272949,139,,
0.001,,,,,0.36852266582846643,29581,30000,-8.136953911781312,,1000.0,808.5767362412065
,44,695.0227272727273,152.06485370454544,224,,,30581,,136,,
0.001,48,720.4375,169.96872560416668,248,0.29533493845164777,33581,34581,-10.67236208152771,138,,
0.001,,,,,0.2822134720236063,34581,35000,-10.983773279190064,,1000.0,822.652596337162
0.001,52,741.9423076923077,220.4983158076923,283,0.2703159354478121,37581,38581,-13.284667621612549,135,,
0.001,,,,,0.2671568385064602,39581,40000,-14.737150758743287,,1000.0,905.774136627093
0.001,56,760.375,260.0795615535714,317,0.29488457542657853,41581,42581,-16.247486209869386,134,,
0.001,,,,,0.3117014490365982,44581,45000,-18.24196215438843,,1000.0,860.8201959431171
0.001,60,776.35,299.58937426666665,349,0.31229818941652776,45581,46581,-19.009433296203614,133,,
0.001,,,,,0.30492781443893907,49581,50000,-21.26687243270874,,1000.0,888.8044719725847
,64,790.328125,328.07736453125,381,,,50581,,132,,
0.001,68,791.8088235294117,337.4739185441176,405,0.3244009047597647,53581,53843,-23.45820257949829,132,,
0.001,,,,,0.36270859111845494,54843,55000,-24.04891026687622,,1000.0,525.3459598688991
0.001,72,803.375,352.4015562083333,436,0.35239914266765116,56843,57843,-24.719729290008544,132,,
0.001,,,,,0.3340478808283806,59843,60000,-25.98255001449585,,1000.0,381.34157836709636
0.001,76,813.7236842105264,373.85966546052623,477,0.3414689304232597,60843,61843,-26.34005582809448,129,,
0.001,,,,,0.31459728422760963,64843,65000,-27.290905403137206,,1000.0,784.2734271496535
,80,823.0375,396.7964860125,511,,,65843,,128,,
0.001,84,831.4642857142857,411.81124761904755,533,0.2998951473534107,68843,69843,-28.759836868286133,130,,
0.001,,,,,0.29901159668713806,69843,70000,-29.128836002349853,,1000.0,790.3063446253539
0.001,88,839.125,427.1623403863637,568,0.30087608048319814,72843,73843,-30.41813056182861,129,,
0.001,,,,,0.3154258875399828,74843,75000,-30.929804149627685,,1000.0,903.6246035031975
0.001,92,846.1195652173913,445.39707230434794,599,0.34780889973044393,76843,77843,-31.392299308776856,129,,
0.001,,,,,0.354328562900424,79843,80000,-32.39947880554199,,1000.0,761.2636663245969
