time/fps,train/critic_loss,time/time_elapsed,train/n_updates,time/episodes,train/actor_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
216,0.06265353658632375,14,2000,4,-4.729121731221676,3043,-864.7237070000001,0.001,760.75,,
,0.2652866594195366,,4000,,-5.8128232679367065,5000,,0.001,,-753.6191014409065,1000.0
154,0.5992449980527162,45,6000,8,-6.852870749473571,7043,-1197.2429165,0.001,880.375,,
142,0.9710812321523341,50,7090,12,-6.334648858933222,7190,-819.7396410833334,0.001,599.1666666666666,,
142,1.001892610390981,51,7273,16,-6.331433550516764,7381,-629.8616489999999,0.001,461.3125,,
142,1.1089123200487208,52,7456,20,-5.717276613886764,7512,-516.52944865,0.001,375.6,,
143,1.2113421992432298,53,7668,24,-5.279048534802028,7719,-442.3777739166667,0.001,321.625,,
160,0.9700497218540737,61,8784,28,-6.1037525449480325,9827,-334.8669202142857,0.001,350.9642857142857,,
,1.095035524368286,,9784,,-6.3282450551986695,10000,,0.001,,387.0526109830942,808.8
144,1.1593827946186066,95,12784,32,-6.465204070091247,13827,-231.45521456249998,0.001,432.09375,,
,1.0763436450362205,,14784,,-6.279827163219452,15000,,0.001,,517.5519073395524,1000.0
136,1.0438109633922577,130,16784,36,-5.778193320274353,17827,-162.1164884722222,0.001,495.19444444444446,,
,0.8267090667188167,,19784,,-6.707025352478027,20000,,0.001,,688.101407250762,1000.0
132,0.951209922939539,165,20784,40,-7.5373116302490235,21827,-104.09640722499998,0.001,545.675,,
,0.6519417360424995,,24784,,-9.62922346496582,25000,,0.001,,583.3194331701845,1000.0
129,,199,,44,,25827,-52.391610045454534,,586.9772727272727,,
134,0.5120042739361524,222,28784,48,-12.002877691268921,29827,-12.28455547916665,0.001,621.3958333333334,,
,0.48689449605345725,,29784,,-12.524289991378785,30000,,0.001,,477.57051281370224,1000.0
130,0.4162672061175108,258,32784,52,-14.564200603485107,33827,17.801551730769244,0.001,650.5192307692307,,
,0.41516862526535986,,34784,,-15.565804401397704,35000,,0.001,,672.0238693686435,1000.0
128,0.460298144236207,294,36784,56,-16.35055567932129,37827,51.739284500000004,0.001,675.4821428571429,,
,0.5106481377631426,,39784,,-17.326404726028443,40000,,0.001,,727.2401693062857,1000.0
126,0.47498449477553367,330,40784,60,-17.746506717681886,41827,93.57147885,0.001,697.1166666666667,,
,0.5423509003221989,,44784,,-19.15873861694336,45000,,0.001,,415.12123310173337,1000.0
125,,364,,64,,45827,129.91647053125,,716.046875,,
128,0.43183621554076673,388,48784,68,-20.926002868652343,49827,152.51222274999998,0.001,732.75,,
,0.4334281803667545,,49784,,-21.528797885894775,50000,,0.001,,416.9655241156026,1000.0
126,0.4198286745399237,424,52784,72,-23.537487506866455,53827,180.63658994444444,0.001,747.5972222222222,,
,0.42237731873989104,,54784,,-24.608947246551512,55000,,0.001,,706.7991951420438,1000.0
